country,iso,EPI_score,EPI_rank,BHI_mean,BHI_latest,BHI_trend,CDA_mean,CDA_latest,CDA_trend,CDO_mean,CDO_latest,CDO_trend,GDP_mean,GDP_latest,GDP_trend,GPC_mean,GPC_latest,GPC_trend,PMD_mean,PMD_latest,PMD_trend,POP_mean,POP_latest,POP_trend,TCL_mean,TCL_latest,TCL_trend,UWD_mean,UWD_latest,UWD_trend
Italy,ITA,61.56,22,0.620202277285173,0.619021593425961,-0.00016017993238481404,-0.004492595122976347,-0.0134769416851239,-0.0014167398799387312,12.863231174611824,12.651692817766996,-0.02714657433930889,28.711615427117188,28.768377958662597,-0.0010233226877109003,10.80926855292625,10.87545947312008,-0.0015668939921664627,686.0300918741863,501.76043005358,-25.413514398650907,17.90236712178036,17.8929374194848,0.0005436034021523309,0.0022547268293782786,0.0040727306460605,0.0001863937082085251,1.108588929144375,0.9228561206893752,-0.015218474639238621
Jamaica,JAM,44.08,73,0.7507324706443821,0.737699435491498,-0.0020211187375083796,-0.0029910272679572626,-0.0012650784316174,-0.00036933027633880754,9.046071222901782,8.99589828369966,-0.01728480700705035,24.078521578700997,24.200503677104592,0.006314042262961417,9.240388019512366,9.341352146480356,0.0031783891328282412,1126.8840585192754,1130.02700363018,11.058875142611868,14.838231052146108,14.859239607324747,0.0031353539957330247,0.0033211739890604895,0.0023557454998857,-0.00010657350819347176,4.596410302897966,4.445079882001442,-0.01774007583741992
Japan,JPN,63.15,16,0.6546434034801902,0.652109775119092,-0.00037766981350105164,-0.006171429478240169,-0.026582071895463,-0.001672978261704507,13.982825423175559,13.802335269609717,-0.012982845444961259,29.32439085282764,29.373269325872524,0.004913107425429821,10.664247404279944,10.7333411318999,0.00621886740038401,416.40917842545053,370.32693430161,-7.121370381981138,18.660166841063354,18.63995000789813,-0.0013059050159590945,0.0015222918041706737,0.0019122191932778,3.510283541104572e-05,2.4844680491068645,2.1528439214866366,-0.009327776615536175
Jordan,JOR,46.72,54,0.6983071394883422,0.696997824287824,-0.00017181179383224594,0.02254987681049796,-0.0218735691112655,-0.0035335695688418814,10.038589999769172,10.0484647243893,0.006070522609034075,25.17789833800269,25.399037167528938,0.028520115182904406,9.203814490280653,9.146586008412738,-0.009013589517343245,2343.525614398587,1847.34431517096,-59.70519095349539,15.974184875634759,16.252557835261833,0.03753461289112395,0.0001512869292920216,0.0001034624626774,-7.040336537181858e-06,4.10074741603551,3.6341150493354304,-0.05647626503270656
Kazakhstan,KAZ,41.26,84,0.6792501112336847,0.678089539463684,-0.00021875217191365124,0.03739863466937768,-0.0156706819688657,-0.003299219968043477,12.473136034854674,12.564362049815195,0.019249552056040398,26.96916842403676,27.282201488385105,0.03891835993383187,10.269773139467901,10.454617002541795,0.025035551453110223,2204.442658011036,1617.69515390328,-71.17186913494295,16.69943038546928,16.827613350372303,0.013881898583140826,0.0007176726305072894,0.0013015243904019,-3.57608207009477e-05,3.3208097575253124,2.9548805898206196,-0.08698245008572929
Kenya,KEN,36.1,116,0.6858667215936718,0.684350629883435,-0.0003001301833827145,0.03881364519354911,0.0510997441421224,0.00398557740326892,9.543700115053973,9.961130010073653,0.05081671568379728,26.064609734774184,26.4757747537675,0.04482939843751017,8.433270544291727,8.64696191264308,0.020857546726058537,436.5015363328684,436.25143769661,0.8082649846876147,17.631558187396973,17.828988534329504,0.02396733112484523,0.005236202210895622,0.0036425179568697,-6.759400772347507e-05,7.649358975895663,7.0462220982651536,-0.06549865097342511
Kiribati,KIR,36.26,115,0.7230849535622884,0.723534625342085,-0.0001883115056740759,0.03664428598852807,0.0274598383830718,-0.0019728624259266365,4.087479825273416,4.2525890657820105,0.02343968040564499,19.48506687395025,19.84672813070178,0.039764272618290346,7.834098687192404,8.052482175933717,0.023623109129016894,135.25118266271525,126.64178855467,-1.0144059277552704,11.651376805660723,11.794571859307663,0.016131781133782403,0.0035016278291566,0.0035016278291566,9.261760726393226e-21,6.821809264801103,6.398531999245506,-0.05047208072172307
Kuwait,KWT,39.19,99,0.7012446645734736,0.699671270998396,-0.0001994932925938758,0.030214291588766325,0.0297925076551004,-0.0020304127333475195,11.425832234838705,11.721318492308306,0.01944118081305164,26.075704065364715,26.169502198090626,0.01301640838288962,11.010861923983361,10.77432895921667,-0.029690652466376633,2508.6904440705757,2025.77705417615,-72.07122625229795,15.064859186460131,15.39519437508838,0.04270753300020839,0.0035016278291566,0.0035016278291566,9.261760726393226e-21,3.1519034215094717,2.9815648613824997,-0.016624819977604063
Kyrgyzstan,KGZ,33.75,131,0.7047356857677606,0.70409288201505,-9.502845812359563e-05,0.03742854393395701,0.0083476881846962,-0.0010420812807806566,9.052463891044564,9.318784548723693,0.03597490630721628,24.18134217706015,24.56671791375945,0.039790731300033896,8.580382727162597,8.791299845372262,0.02100257447121395,994.191996773051,949.01985082787,-11.083147247887984,15.60114881852808,15.775570270974027,0.01878411174168909,0.00013394943268790608,5.06959619145353e-05,-1.6106608634474377e-05,4.4771202618348145,3.8965193456423077,-0.09574969668437175
Laos,LAO,21.78,177,0.7300000266254614,0.72470209,-0.0007780101460664191,0.1718100071179413,0.147883932435964,0.01062175768031312,8.789828325318311,10.092373688530074,0.18159344239049327,24.421328890000144,24.88484086428837,0.0640168471833466,8.701751145796589,9.032786143641474,0.049199611154549384,1488.2110979597899,1708.08174308815,14.142850793442593,15.719750775541357,15.85217428750888,0.01480853276206944,0.010883750048876158,0.0189020358846649,0.000969697915502088,7.410703462852744,6.819859260112501,-0.07674499478887103
