country,iso,BHI_mean,CDA_mean,CDO_mean,GDP_mean,GPC_mean,PMD_mean,POP_mean,TCL_mean,UWD_mean,cluster,distance_from_india
Cameroon,CMR,0.7647826230740176,0.030797899527814514,9.040074124321183,25.332982424447305,8.423804038222102,1452.8182183836925,16.90939837053863,0.002716238206743711,8.159253506740825,1,4.93281883933336
Canada,CAN,0.8426797397093406,0.0004116319501020157,13.235939961388357,28.300533671572417,10.91449287184693,244.24092475046635,17.386059032173456,0.005581533021646595,1.4539931479393458,2,6.268236175748156
Chad,TCD,0.6781882207038789,0.0844093717682495,7.474105566480417,24.334846052252306,7.873233999663068,1274.5353636185278,16.461993558904155,0.007017716714988748,9.157742770714801,1,5.288119606721406
Chile,CHL,0.7870588030081592,0.021559454087828726,11.253649486138134,26.872856022747584,10.168859776095692,795.0192631153449,16.704034861026354,0.005538038439787426,2.8517142162332774,2,5.357866058453597
China,CHN,0.6565991382456867,0.05620977812313582,16.041424918873506,30.52588699689213,9.490139986528758,1825.0003548254026,21.035828480396276,0.0033620377450766688,3.427987995533037,0,2.4888884170923538
Colombia,COL,0.8216053736897733,0.025108484719034346,11.303734095543009,27.31170993139109,9.649487241540598,920.2059354959999,17.662287693367208,0.00289922939632351,4.480304637827618,0,5.047468251386438
Comoros,COM,0.7383703987999113,0.06530166904053891,5.370672588411561,21.567946442134343,8.094249856411517,189.3224219218037,13.474003624757769,0.0022299239752756788,7.369018018087519,3,7.550683912207696
Costa Rica,CRI,0.8051900237576731,0.01709655179451576,8.932226053053324,25.30102786304171,9.931205623451362,786.1970295228183,15.369871536646464,0.0031729525090609632,3.6551992382983856,3,6.210941080019753
Croatia,HRV,0.6159760635212693,-0.0003302821158274363,9.880165413027273,25.590622926490003,10.356534657555267,1291.720811762277,15.234120504621067,0.0018049805654778476,2.2876893934665614,2,5.284033810245113
Cyprus,CYP,0.6702761432681077,0.006170885775407584,8.92250139988031,24.3111652213281,10.318635636850868,1007.483266744014,13.992563569624648,0.0017462475408375003,1.9727503257766295,2,6.262412600025447
Czechia,CZE,0.6307864506860814,-0.012167130942573998,11.590736689787855,26.81508028369049,10.646592715157851,1090.6851873164562,16.168511546406684,0.00816468900156259,2.6350635243215703,2,4.987655594719375
Dem. Rep. Congo,COD,0.8042636955406604,0.036198039968298124,8.12419627360836,25.338413143099444,7.15939090720457,793.011122008452,18.179806368786767,0.004299375021165516,7.2598899797164425,1,5.5592626750677105
Denmark,DNK,0.6278504434191564,-0.03184144360103731,10.578145605905657,26.612926201504024,11.063609980718127,406.0833543252253,15.549332089151978,0.0068599323461899465,1.5344797359832296,2,6.00225804195369
Djibouti,DJI,0.6897205137970011,0.014409860596636672,6.106396764150519,22.279896155771613,8.469476185374957,1668.8934754109075,13.8106344693419,0.0035016278291566,7.871036000063387,3,6.675403572642609
Dominica,DMA,0.8094935431992392,0.030150684246150142,5.104594970477565,20.87117598031903,9.734919910942871,703.7217221633201,11.13632991874332,0.018506976668525243,4.33022164775745,3,9.723547901683094
Dominican Republic,DOM,0.7293845798790924,0.019180970869798676,10.0444786391124,25.89401180546714,9.748626686923233,1064.435347651789,16.145444761358377,0.0065640417909233586,5.3513752070941685,0,4.901897909593099
Ecuador,ECU,0.824501208635645,0.027885763167821053,10.522820711824144,26.04301021678433,9.456910234642962,1130.1167053319336,16.586178602771795,0.0023306382853873313,4.565429990004408,0,5.462016837150794
Egypt,EGY,0.7254100620210009,0.03488536555572945,12.306419979504673,27.903025224808,9.513126003191338,5131.16802023285,18.3899736158823,0.0005375655217928211,4.985094507462341,0,5.131509994975843
El Salvador,SLV,0.7181593053576436,0.009497297369807815,8.800765362292228,24.789164299089258,9.157945223384676,1262.4908588907365,15.631325133570394,0.0035449645042767526,5.240316508142859,3,5.294965015581579
