"code","iso","country","TBN.ind.1996","TBN.ind.1997","TBN.ind.1998","TBN.ind.1999","TBN.ind.2000","TBN.ind.2001","TBN.ind.2002","TBN.ind.2003","TBN.ind.2004","TBN.ind.2005","TBN.ind.2006","TBN.ind.2007","TBN.ind.2008","TBN.ind.2009","TBN.ind.2010","TBN.ind.2011","TBN.ind.2012","TBN.ind.2013","TBN.ind.2014","TBN.ind.2015","TBN.ind.2016","TBN.ind.2017","TBN.ind.2018","TBN.ind.2019","TBN.ind.2020","TBN.ind.2021","TBN.ind.2022","TBN.ind.2023","TBN.ind.2024","TBN.ind.2025"
40,"AUT","Austria",62.9456357539717,66.9649349986333,69.899718188384,70.7299797467337,71.2243917860963,73.2072798230673,77.370254430568,77.5101377735997,78.8260418868413,79.860084666545,83.448449311901,83.6592826273883,83.9256346612797,84.1672178222797,84.2898890423467,85.862428860158,85.862432522559,85.9215858596237,86.1046593124,86.1472710043287,86.1472770468417,86.1511492717293,86.1891133856757,86.192666365427,86.527336941424,86.9060786110693,86.95199508217,86.958241447665,87.3500796320843,87.3500796320843
31,"AZE","Azerbaijan",64.8097394583307,64.8097394583307,64.8097394583307,64.8097394583307,64.8097394583307,65.1172036425383,65.1172036425383,65.5232426778083,66.091574115512,66.091574115521,66.610229184077,66.610229184077,66.628380465309,66.6283804652293,66.6283804652293,66.6283804652293,66.6283804652293,66.6283804652293,66.6283804652293,66.6283804652293,66.6283804652293,66.6283804652293,66.6283798398807,66.6283798398807,66.6283798398807,66.6283798398807,66.6283798398807,66.6283798398807,66.6283798398807,66.6283798398807
44,"BHS","Bahamas",2.54340379978193,21.1928684594796,21.1928684594796,21.1928684594796,21.1928684594796,21.1928684594796,28.298558100773,28.298558100773,28.298558100773,28.298558100773,28.298558100773,28.298558100773,28.298558100773,28.3010815047378,28.3010815047378,28.3010815047378,79.34473094717,79.34473094717,79.34473094717,82.5670686977527,82.5670686977527,82.5670686977527,82.5670686977527,82.5670686977527,82.5670686977527,82.5670686977527,82.5670686977527,82.5670686977527,82.5670686977527,82.5670686977527
48,"BHR","Bahrain",2.70624531060068,2.70624531060068,2.70624531060068,2.70624531060068,2.70624531060068,2.70624531060068,2.70624531060068,2.92623686488203,2.92623686488203,2.92623686488203,8.6845572346339,8.6845572346339,8.6845572346339,8.6845572346339,8.6845572346339,8.6845572346339,8.6845572346339,8.6845572346339,8.6845572346339,8.6845572346339,8.6845572346339,8.6845572346339,8.6845572346339,8.6845572346339,8.6845572346339,8.6845572346339,8.6845572346339,8.6845572346339,8.6845572346339,8.6845572346339
50,"BGD","Bangladesh",11.6499779646173,11.6499779646173,11.6499779646173,11.7869746631082,12.0059923549814,12.1527257506894,12.1527257506894,12.1527257506894,12.1616434894844,12.1674455976093,12.1846522982118,12.2340005159436,12.2340005159436,12.5057906624613,13.0123772029855,13.0566431071046,13.0588338628984,13.072397761997,13.072397761997,13.0772578948495,13.0774511661677,13.4749923573373,13.4768466267295,13.6606166271016,13.9386452010948,13.9561855899015,13.9561855899015,14.0128981029956,14.0128981029956,14.0142938616496
52,"BRB","Barbados",1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472,1.58995574700472
112,"BLR","Belarus",23.3477816606087,23.3477816606087,23.3477816606087,23.4677067154721,23.4677067154721,26.113920955212,26.4373656578448,26.4373656578448,26.4373656578448,26.5128720477658,26.5128720477658,26.5128720477658,26.5128720477658,26.5128720477658,26.5649077224385,26.5649077224385,27.309282007533,28.1997531677409,29.4872724110295,30.0258416758822,30.0258416758822,30.0258416758822,30.0258416758822,30.0258416758822,30.0258416758822,30.0258416758822,30.0258416758822,30.0258416758822,30.0258416758822,30.0258416758822
56,"BEL","Belgium",11.10134117099,11.1772130365646,11.1925057009758,11.4603980684425,12.1632249679402,12.1961975180862,12.2472872742976,19.8832877756856,23.009469553892,23.0784973882317,23.0859065754315,23.1732228330179,23.1994077205296,23.58494704422,23.6004807732028,23.616946679415,23.6359475471945,23.6801747244912,28.3645692531325,30.0131563096673,48.451330628317,48.4796513024753,48.6626675732067,48.80710083987,48.9146153424567,49.2070576192223,52.0199793167233,53.9933875633903,54.5034580529197,54.5101619173673
84,"BLZ","Belize",92.9651129161283,92.9651129161283,93.6091444693937,93.6091444693937,93.609144469374,94.1051249907183,94.1857262567587,94.1857262566957,94.1857262566957,94.189313154667,94.18936334433,94.2515741970673,94.251574197239,94.251665101315,94.3482775896513,94.3482775896513,94.3482775896513,94.3517285444433,94.3517285444433,94.5564510846097,94.5564510846097,94.5564510846097,94.5564510846097,94.5564510846097,94.5564510846097,94.5564510846097,94.7830458147183,94.7830458147183,94.7830458147183,94.7830458147183
204,"BEN","Benin",79.103949048476,79.103949048476,79.103949048476,79.103949048476,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
