"code","iso","country","VOE.ind.1996","VOE.ind.1997","VOE.ind.1998","VOE.ind.1999","VOE.ind.2000","VOE.ind.2001","VOE.ind.2002","VOE.ind.2003","VOE.ind.2004","VOE.ind.2005","VOE.ind.2006","VOE.ind.2007","VOE.ind.2008","VOE.ind.2009","VOE.ind.2010","VOE.ind.2011","VOE.ind.2012","VOE.ind.2013","VOE.ind.2014","VOE.ind.2015","VOE.ind.2016","VOE.ind.2017","VOE.ind.2018","VOE.ind.2019","VOE.ind.2020","VOE.ind.2021","VOE.ind.2022","VOE.ind.2023","VOE.ind.2024","VOE.ind.2025"
578,"NOR","Norway",NA,NA,NA,NA,NA,NA,NA,52.2421525231334,53.1032387922968,56.7811142936888,54.3134650681693,56.8439103283983,55.5860546156573,55.6666004220812,57.4710802588226,58.2040763032834,60.173602380935,59.1221896540218,59.2171372233651,61.8394800780181,59.2786074387123,59.2911037238712,58.7047903066917,57.946934748008,61.6818205698267,58.8834504597092,59.5641456961449,58.0043412891878,58.4241753969153,NA
512,"OMN","Oman",NA,NA,NA,NA,NA,NA,NA,38.2196600360689,37.0110034918995,36.7065321810531,35.9524043208962,35.987035185426,34.9420853414779,35.0526593669921,33.9252190656172,35.4737404582701,34.6601165003889,36.3058356499744,36.3522097366985,35.4705583171935,35.3911011123317,33.5509609244847,32.8715039643011,35.1056427778755,35.3829703366707,33.2639374187596,33.6065831048596,34.2624486741549,34.8316785718882,NA
586,"PAK","Pakistan",NA,NA,NA,NA,NA,NA,NA,22.986798880702,19.7379004332308,22.5067036857659,24.101211454858,21.0257035336489,20.5541510988295,20.6159173352786,19.0531640497171,19.0963009979382,19.2611361510297,17.7146357429613,16.6862008828049,13.7249287009798,19.0506729227809,19.5511104770074,18.2547699231396,18.8495978871275,17.7639316247523,17.9237705543337,17.193552726135,18.1844094852784,17.6988865946498,NA
585,"PLW","Palau",NA,NA,NA,NA,NA,NA,NA,87.1229822745232,85.3170225426146,87.2090233899605,86.1224161820721,86.5598513388162,88.4667765062793,84.4184329307248,85.553162120514,86.4226112430172,86.2290427460806,85.5845683803188,84.9188894899709,82.516296511394,88.930402649402,94.3028159131295,90.356734429064,89.1341275053897,91.8641867461295,91.6587906529455,91.9802583724388,89.8784964446531,90.7491332824484,NA
591,"PAN","Panama",NA,NA,NA,NA,NA,NA,NA,37.7380281115671,36.9724882462504,36.206994747725,35.5099523574508,36.6088363864825,37.7137518272057,35.4555190054242,35.2787123964817,32.9334050570196,31.8638434653396,31.3514900433693,31.808470921257,30.9601442387947,29.9784278418345,30.1477283395858,31.1620170524264,32.6839884639233,33.414365993836,31.6617533929736,32.5237539114558,32.9463438325519,32.6800355019079,NA
598,"PNG","Papua New Guinea",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
600,"PRY","Paraguay",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,3.51966789534121,0,0,0,0,0,8.29206547440251,4.11292431546788,0,0,0,0,0,0,0,NA
604,"PER","Peru",NA,NA,NA,NA,NA,NA,NA,8.34687239043099,11.5205185182941,10.0657149046661,13.5314777990153,17.2723998592725,19.1444564655799,15.5778410603047,10.5117663926356,13.9470773522027,11.8604791353772,11.3116452351474,14.3436877227522,11.7761871087407,10.6709432579319,15.3835107980841,12.2537514988864,12.0743877874971,11.6542864362179,11.4737106523891,10.8385876327418,11.4821412986639,11.0698256281335,NA
608,"PHL","Philippines",NA,NA,NA,NA,NA,NA,NA,21.9953509068978,20.4587147467697,20.3318805355397,20.6319518974929,23.358672400592,23.8740733962747,22.8386911313371,17.0219436295696,21.7008490694566,19.4042475678874,18.8970937065935,19.7279454896457,17.2688338035823,17.0629891346057,21.291970570868,21.0567490299333,21.1010143577926,20.1776441720461,19.4133742482511,19.0415810999045,20.1083818161988,21.2738795627246,NA
616,"POL","Poland",NA,NA,NA,NA,NA,NA,NA,56.3510217505726,63.097645256982,61.4858145172902,62.5498609453297,65.7868525935282,60.8615893669482,60.0843302018846,62.133873787967,62.3778826116469,60.3766935084886,61.6997645115447,62.7057450687219,61.2586767407689,61.0988720062859,64.1889867452208,63.1132662297757,63.6873509333571,62.6818979443699,61.6728633433263,63.3099988208219,61.1786513714083,62.1249700041134,NA
