"code","iso","country","BER.ind.1996","BER.ind.1997","BER.ind.1998","BER.ind.1999","BER.ind.2000","BER.ind.2001","BER.ind.2002","BER.ind.2003","BER.ind.2004","BER.ind.2005","BER.ind.2006","BER.ind.2007","BER.ind.2008","BER.ind.2009","BER.ind.2010","BER.ind.2011","BER.ind.2012","BER.ind.2013","BER.ind.2014","BER.ind.2015","BER.ind.2016","BER.ind.2017","BER.ind.2018","BER.ind.2019","BER.ind.2020","BER.ind.2021","BER.ind.2022","BER.ind.2023","BER.ind.2024","BER.ind.2025"
499,"MNE","Montenegro",NA,NA,NA,NA,25.0371762489027,24.4793366623215,24.0416966645298,24.3146443542589,23.5589699793664,23.1606308706682,23.2523691724227,23.4059438111869,23.3936510627001,23.3180463273018,23.2748879156177,23.578857192378,23.4007400968534,23.0067581589772,23.0903918211616,22.9207400673105,22.6390178716688,23.4842301718207,23.3506593460381,23.1322372741878,22.8932975265806,22.9406009742107,22.9502845250317,22.6207973263738,22.3052895700344,NA
504,"MAR","Morocco",NA,NA,NA,NA,37.7497925808134,37.3641986354973,38.6569287626475,38.5841149837404,37.9895286174649,37.5134805991059,37.6208925463424,37.6474733884187,37.6943514781602,38.1684102520234,38.102911425181,37.7230793259986,37.8356998842527,37.2254582547623,37.4225765869619,36.9751137996173,37.403896672824,37.1443663051709,38.1897090774166,36.8547774424444,37.1576633560472,36.7335881913161,36.5206838328878,35.9041082060335,35.6767821177846,NA
508,"MOZ","Mozambique",NA,NA,NA,NA,80.7817216366873,77.2014135359179,72.8459818313367,71.6755845270522,72.1725184770971,69.7272410579103,70.7448259132041,70.9306685397478,69.5605641484253,68.3758257571102,68.8097658105031,66.2250096038912,66.4927238007699,67.7442977610398,67.8728599357721,64.2813245018164,64.2725006579246,65.7892849354728,65.8282955848386,64.9023282857818,64.7096444100084,65.1530810190262,65.0148239446824,65.0357013267542,64.2301435167249,NA
104,"MMR","Myanmar",NA,NA,NA,NA,65.505738443329,62.0162856510749,60.7147244593065,59.4636086402909,59.3172077201776,58.5960337223815,58.4361398768984,57.6655069900033,58.7532400893047,57.9246395107943,57.5716376136758,55.9233580176478,57.8034405358655,56.0862442606266,55.7361363872866,54.6188905113328,54.9556920495143,55.4474447412095,55.3365713537185,55.8923390478795,55.5625395068593,55.5578845438489,55.4051568861375,55.4698746841999,55.7667959873705,NA
516,"NAM","Namibia",NA,NA,NA,NA,58.5882989406692,59.0911699897464,60.6877933424558,64.3304101816804,60.6814747418814,60.669406800069,55.9670655895989,62.1018615728738,57.8441014745389,58.6547095391409,59.7413722209701,54.4147328604085,55.8931079655304,63.4646213305433,56.8769262469292,57.5847406223645,60.8931187655219,58.5344640439699,58.7782096899492,62.7418811900273,59.0641830470169,58.6389961834759,54.9801203324313,60.5106245661322,60.8254334039238,NA
520,"NRU","Nauru",NA,NA,NA,NA,8.86762370503098,6.76355815222856,6.10382562759022,6.67096931086651,6.72827566851886,6.9569014708742,5.85933837702945,5.94717268725835,7.73285787251288,5.66356305426918,7.0318942784094,6.14902112522826,5.97931196216554,6.74276298934767,5.91558096452782,3.44403053399096,6.39867734163206,7.03784796528448,6.88604736443753,6.7769720940847,6.17132759664646,6.93454225134645,7.22504667896041,7.43456211406858,7.01208228069072,NA
524,"NPL","Nepal",NA,NA,NA,NA,27.8343220574672,26.3240235179423,25.6953211053141,25.0867269318773,25.3265457479945,25.3111935633959,24.5990806342817,24.48584916711,24.9323594757981,24.8774468208151,24.782351515426,24.0135727513066,24.6419130850176,24.0528105884533,23.5962725468204,23.3960876651599,23.8815728550718,23.5860079098931,23.6256981377047,23.2129768295421,23.4820750716802,23.7621492048641,23.4973899216714,23.4912168861519,22.9331437672373,NA
528,"NLD","Netherlands",NA,NA,NA,NA,6.39399608011356,5.3437704107929,4.9089637224153,4.84557421678714,3.99160859741464,4.37322178950697,4.3255077170077,4.16001068263497,4.21414488480082,4.1298259445053,3.99169855149783,3.97295156550675,3.71108397891009,3.94662562088651,3.93795713049112,3.93502872896942,4.19719929779823,4.31807611209193,4.43623987552582,4.4779108215065,4.39957259055538,4.24322361933007,4.41871940001947,4.39046364553756,4.3899180368843,NA
540,"NCL","New Caledonia",NA,NA,NA,NA,99.8915343231564,95.165275208263,93.2330029885535,91.7209037343452,91.468795638539,91.5569292148267,91.9675920815701,92.1300471021304,92.6073281701288,92.9986577729489,92.7968551522766,92.8795133349519,92.5643493000294,92.6859037490359,91.293142819842,91.2422259166172,91.21912116536,90.598391393968,90.8256533591198,90.4286024702273,90.2502616024595,89.908780179666,89.8357858020799,89.77915110295,89.4203797050815,NA
554,"NZL","New Zealand",NA,NA,NA,NA,62.1312080546064,59.8342760326108,59.638720337928,60.5143364766505,59.2856793448312,60.2035647714607,59.649992352074,57.7029882078505,58.4090293024226,58.5926552444011,58.1395000529619,58.0583647208486,57.8104139806867,58.4112548065669,57.783179503454,58.0630113689817,59.0807486666984,58.1003427161231,60.4259066357938,57.1348171684805,59.5430183395336,57.2557939673503,58.382181812025,58.478439564653,57.2222116006013,NA
558,"NIC","Nicaragua",NA,NA,NA,NA,88.6282040245364,85.0725311894688,83.6467978396166,78.8929495011867,80.1499688783499,79.8690541876997,78.9314972205924,78.5777657317178,77.8915649732881,77.7028351291345,69.0500038224985,67.8138061861332,67.2960576911143,66.0899226181794,66.9486209538178,68.3297502380513,66.8862909469184,64.4544316650524,64.4938170043862,64.1668420268448,63.8241987881914,63.7070342103375,63.5012301894879,61.5772224614228,61.5409316149528,NA
562,"NER","Niger",NA,NA,NA,NA,41.2684419351895,40.5883017609191,40.8683760358265,40.3447864786955,40.871007013048,40.2476748013258,40.0462702688766,39.5033686344427,40.0482327948588,40.711166099908,39.3803431003493,39.9937184585684,39.1301421540097,39.3148279365325,39.3911089525036,37.6917365267054,38.1963990777223,38.1878632318862,37.5716891878235,37.8536065145633,36.8050227727107,37.429156091671,37.1593946258468,37.6281889511377,36.3295517383898,NA
566,"NGA","Nigeria",NA,NA,NA,NA,11.4394734656969,10.019528270804,10.5693952292859,9.39908173635196,9.27726690298223,8.9379114528219,9.07246283865471,8.48710144161901,7.87060785918361,8.29093420892516,7.40520791155509,7.25203854040509,6.87349774200307,6.78242322495928,6.83227894395432,6.46397159536426,5.87025790812647,6.02025774587305,6.41367399824637,6.59825740018235,6.27706269508792,5.7935467320469,5.57913550993855,6.01888801927893,5.74729223869056,NA
