"code","iso","country","PAR.ind.1996","PAR.ind.1997","PAR.ind.1998","PAR.ind.1999","PAR.ind.2000","PAR.ind.2001","PAR.ind.2002","PAR.ind.2003","PAR.ind.2004","PAR.ind.2005","PAR.ind.2006","PAR.ind.2007","PAR.ind.2008","PAR.ind.2009","PAR.ind.2010","PAR.ind.2011","PAR.ind.2012","PAR.ind.2013","PAR.ind.2014","PAR.ind.2015","PAR.ind.2016","PAR.ind.2017","PAR.ind.2018","PAR.ind.2019","PAR.ind.2020","PAR.ind.2021","PAR.ind.2022","PAR.ind.2023","PAR.ind.2024","PAR.ind.2025"
438,"LIE","Liechtenstein",NA,NA,NA,NA,32.0886089204628,33.3294588914028,34.0371533736324,35.2267511997742,37.4958577499438,38.462222403296,39.7771906664158,41.7854214107798,42.3939843285554,43.2954807552452,43.9686439394214,44.3689377536988,44.8300222617066,45.9081284,46.5538456,46.9594574197884,47.709171057805,48.0088106587962,48.5454660435328,49.0996096779986,49.335818438213,49.864313687274,50.7346812759876,51.4520134603982,51.5993842669142,NA
440,"LTU","Lithuania",NA,NA,NA,NA,17.9165084,18.5259232,19.0000758,19.442812,21.1929426895962,21.5543553953456,21.7960169638754,22.3697588274406,22.6786382906492,22.9553567399444,23.1497740984554,23.3143671869498,23.558022,23.7188524362562,23.9583698149688,24.1566637222774,24.2968914303744,24.4897184518298,24.675740981285,24.864640614259,24.9560380964336,25.1284181315826,25.252892380003,25.3542711480438,25.4127896,NA
442,"LUX","Luxembourg",NA,NA,NA,NA,24.323168800438,25.4266168731724,26.3897548770018,27.8781282843086,30.894242417244,32.0063072,32.8675138747644,34.3553425688962,35.204047452701,35.7383268473098,36.286906082398,36.9987629148072,37.251071541703,37.6121301297262,38.1321104385776,38.5506798395116,39.6063927946462,39.9704781214972,41.157533745033,41.6307133572006,42.0877604856018,42.5696753960868,42.901126345342,43.0704791336562,43.1461582752286,NA
446,"MAC","Macao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,"MDG","Madagascar",NA,NA,NA,NA,13.5245028,13.6963106,14.1224674,15.4585892,15.9123786,15.9930808,16.0841802,16.6783084,16.7258416,16.810213,18.7248534,18.974928,20.0466096744412,20.2923736542068,20.3738080642934,26.8280013435256,26.8479587377196,27.024824492441,27.0932390816974,27.950310706981,28.0575186,28.0926200096882,28.1018909544614,28.1100548072258,28.117938463046,NA
454,"MWI","Malawi",NA,NA,NA,NA,34.489547618568,34.5944818888242,35.6468673651804,36.0497271103008,36.9843196133316,37.079571161133,37.2977179166332,37.455097049754,37.519464344746,37.664979791336,38.5761148134216,39.1952742015584,39.3266752,39.878361454545,40.0003041471074,40.4359479258286,40.4481899829164,40.9332696,40.9633772887616,41.2301182183954,41.2370461588526,41.244145,41.2579063525038,41.266965041688,41.2716944423362,NA
458,"MYS","Malaysia",NA,NA,NA,NA,11.4649696,11.6258244,12.2038412,12.2373766,12.3295914,12.5376502,12.7477276,13.4388102,13.673322,13.8330424,14.3517702,14.4662302,14.7579214,15.7924222,16.8911616,17.5531918,17.983918,18.153842,18.3879124,18.404559,18.4095476,18.4351158,18.4373588,18.4373768,18.4373846,NA
462,"MDV","Maldives",NA,NA,NA,NA,3.1781306,3.1826302,3.2267698,3.333924,3.4283972,3.433931,4.2506266,4.3457642,4.3765112,4.4469346,4.515928,4.557337,9.2174308,9.3647514,9.5643698,9.5915902,9.6245266,9.6834338,9.6850188,9.6859984,10.5439592,11.6382122,11.6388658,11.6388658,11.6388658,NA
466,"MLI","Mali",NA,NA,NA,NA,12.2456852,12.730438,13.2069514,13.2271842,17.5300172,17.7170798,18.0341138,18.1791844,19.1828824,19.2989212,19.3657158,19.3853768,19.5112872,19.5637752,19.6014742,19.6111766,19.9727094,21.004833795069,21.2355420041512,23.7795452245914,23.831839925106,23.9763568879564,24.0312327880408,24.1316352778074,24.1598969285798,NA
470,"MLT","Malta",NA,NA,NA,NA,11.172769,13.6090204,13.9908238,14.609854,15.0462304,15.6686028,16.5736448,16.9903274,21.1444698,21.3556603839588,22.4783351814722,23.1718885957226,24.1983077350998,24.2588182,24.3531273701848,24.9036720821198,25.3250254362258,25.6121627700236,26.9182891091586,27.2635556,27.3814184265102,29.6318723087616,29.686153,29.8349095888798,29.8462374320474,NA
584,"MHL","Marshall Islands",NA,NA,NA,NA,2.614721,2.73685,3.1705204,3.338683,4.8095756,4.9168742,5.8380316,5.9640822,6.222136,6.309194,6.3105146,6.3107306,7.318274,7.60974,7.60974,7.6175704,7.6182804,7.7360068,7.7371424,7.74225,7.74225,7.74225,7.74225,7.7493286,7.7493286,NA
478,"MRT","Mauritania",NA,NA,NA,NA,6.9768512,7.0855224,7.130862,7.1603752,9.3623584,9.467593,9.5429912,9.6455754,10.7412914,10.7626842,10.7733902,10.782167,10.814156,10.8262448,10.843407,10.8468228,11.1993074,11.7370588,11.9421456,13.6836328,13.6950182,13.7600902,13.7948246,13.9690854,13.9736128,NA
480,"MUS","Mauritius",NA,NA,NA,NA,8.9158058,8.9292762,9.0576336,9.630815,10.3521022,10.3835922,10.4271288,16.5693006,16.6407544,16.6872948,18.5489552,18.8212638,20.2493335794546,20.3292553734008,20.358533958997,23.1263573761026,23.1378041093528,23.1786704121828,23.1895558683858,23.415809956807,23.4620246013338,23.478525,23.4855734120396,23.4863059074786,23.4870312010796,NA
484,"MEX","Mexico",NA,NA,NA,NA,8.6729342,9.3641792,12.5446034,12.9271756,13.622802,14.0477776,14.5905628,15.2210526,16.5107332,17.3420124,17.5982654,17.9114108,18.1474202,18.3526902,18.4062908,18.4315786,18.8201732,18.9808512,19.021588,19.0699676,19.0744196,19.237654,19.2887292,19.7529288,20.5997567251338,NA
583,"FSM","Micronesia",NA,NA,NA,NA,6.727528,6.8208334,6.978203,7.08603,7.4648622,7.7799998,8.1627012,8.21262,8.958397,9.1148624,9.116229,9.1284274,9.2658176,9.2770206,9.2770888,9.317531,9.319484,9.3547134,9.3561532,9.3568188,9.3568188,9.3568188,9.3568188,9.3731052,9.3731052,NA
498,"MDA","Moldova",NA,NA,NA,NA,14.4403106,15.0853382,15.6271138,16.0034862,16.7506632,17.0394194,17.220837,18.5561202,18.875358,19.1927366,19.540341,19.9871782,20.100740279223,20.4031826821036,20.5919849106488,20.7537401854842,20.946973275572,21.0806124352354,21.4042212836706,21.5873076662124,21.7372184,22.0066287359554,22.3210238060604,22.4091852638966,22.4652044322756,NA
492,"MCO","Monaco",NA,NA,NA,NA,14.9157506,15.8803864,16.4982602,16.9835208,17.7355616,18.2040506,18.532613,19.6192056,20.1731116995572,20.566225148588,22.2045639942796,22.5440685489144,25.1525383451786,26.0266971886088,27.8837239575588,28.850494,29.5660904191626,33.2634553066604,34.0040301312104,34.3614503718972,35.1857119230334,35.9210978406864,36.1848826120496,36.3545645003144,36.4028031001582,NA
496,"MNG","Mongolia",NA,NA,NA,NA,12.886387,13.7062748,14.2481642,14.7956006,14.8949426,15.2468066,15.3421066,15.495423,15.7261564,15.7673474,16.205666,16.8982772,17.4337856,17.5066078,17.6162852,17.6861732,18.0847988,18.4061774,18.5908778,18.9274174,18.9772124,19.0343038,19.0910664,19.1244222,19.1559512,NA
499,"MNE","Montenegro",NA,NA,NA,NA,25.6221359080148,26.4176217174994,27.147388,27.8013089240468,29.086975669061,29.5314459883728,29.9024842473666,31.403364042525,31.9003578,32.6193076,32.9870052079456,33.3970638988228,33.5942676958028,34.9098004063662,36.0367118641558,36.588168,36.9679906,37.2917702140476,37.7814878826364,38.1012570534236,38.612047354829,39.5423043968452,40.1264637518562,40.3834874406064,40.5071228988676,NA
504,"MAR","Morocco",NA,NA,NA,NA,15.8833918,16.853612,16.9957868,17.4514544,18.0319914,18.4659124,19.3983086,19.7039188,28.1827877699162,28.2520449164524,28.3917806,28.5022551814036,28.5348580696368,28.5769755577956,28.683789708771,28.9855320815952,31.020931883451,31.089186405118,33.483136373941,33.6927635423708,33.82574833109,37.8507245636006,37.8975302012754,38.775855725135,38.784635110122,NA
508,"MOZ","Mozambique",NA,NA,NA,NA,31.2665993120616,32.339669511998,33.654687059401,34.2586659819862,37.2034119239354,37.31463882711,37.4919548863514,37.6636635385726,37.7826233851892,37.9707416,39.520087910876,40.2588934268246,40.6720309635758,41.808779500509,42.1500127601902,42.9820155633494,43.0146702843056,43.2424442270906,43.3318094,43.9900644,44.0025936562128,44.0155880396998,44.0300897831004,44.0446877057626,44.0693247018168,NA
104,"MMR","Myanmar",NA,NA,NA,NA,5.3070482,5.4815424,5.7139962,5.9442366,7.1017442,7.2209856,7.2474198,7.5228372,7.6424046,7.863117,8.9878346,9.0374902,9.136951,9.182979,9.3595516,9.3730432,9.8983314,10.3614356,10.3915642,10.7589458,10.8348582,11.0225108,11.0722162,11.0828004,11.0869748,NA
516,"NAM","Namibia",NA,NA,NA,NA,26.6755121975564,28.4897922400654,29.9943342380684,33.6038525044722,34.4735650248954,36.8692912240756,38.242496501936,38.5706434678948,42.5394494682182,43.7315708859778,44.5619719189538,47.9052445902478,48.9686733246242,49.3175841361266,49.5175029100224,49.583561749165,49.7221141865666,49.8339698741294,50.223539738916,51.4485638662588,51.5487341100944,51.5578214549584,51.6237772,51.6387372,51.6487172139944,NA
520,"NRU","Nauru",NA,NA,NA,NA,3.3009788,3.46878,3.5669242,3.775376,4.2909142,4.435816,5.2145506,5.3339252,5.678162,5.739747,5.7411226,5.7412988,5.863197,5.893758,5.893758,5.9059312,5.9071118,6.0836706,6.085277,6.0875818,6.0875818,6.0875818,6.0875818,6.0944528,6.0944528,NA
524,"NPL","Nepal",NA,NA,NA,NA,7.5309624,7.579448,7.6783204,7.9013876,8.7325318,8.9067336,9.4665284,9.6166966,9.7538456,9.796081,12.487544,12.5229412,12.5709118,12.5893452,12.6267554,12.6286098,12.8921452,12.9642126,12.9900484,13.174191,13.215173,13.274405,13.3556848,13.4198052,13.4201092,NA
528,"NLD","Netherlands",NA,NA,NA,NA,18.545195,19.5272068,20.0576703608728,20.6939554497624,22.5538036,23.0439775747112,23.4110894245762,24.1991458,24.803399488307,25.1456089311952,25.7685441627388,26.0814627491466,26.3010817144626,27.0448539251066,28.4735511173738,30.1199582591032,30.7048479836982,31.5343226190906,32.3010732,32.6351582715436,32.8261283788418,33.3366231520758,33.5485383469812,33.7276105042352,33.784631783609,NA
540,"NCL","New Caledonia",NA,NA,NA,NA,7.6209662,7.6359214,7.6390104,7.7100548,7.798253,7.810326,7.942832,8.0814986,10.4091474,25.0371735264518,25.0946826218614,25.2167774832232,25.9160163187188,26.3313536964992,27.6373270537604,27.7083025976586,27.9945449590586,28.3076643945672,28.4803024,33.9581608624938,34.2359728024024,34.5444502169898,34.5455088431674,34.572173861984,34.572173861984,NA
554,"NZL","New Zealand",NA,NA,NA,NA,32.2866625282056,32.5841112448232,33.6513284525776,34.206556483826,34.4624336270408,34.7704749343684,35.3040400185574,35.8346996095674,37.0350469189072,38.1382243095652,38.3960864,38.7895517667756,39.415133680524,39.8616596,41.2145307246404,41.9455982069542,42.1524295868664,42.325000055592,42.4780362609756,42.5560218,42.593873609174,42.843537,42.855389684024,42.8553940899408,42.8553940899408,NA
558,"NIC","Nicaragua",NA,NA,NA,NA,30.2505742,45.4266986682682,47.040544630478,47.1463622772896,47.38265873539,47.9111913515934,48.1105643807414,50.1629124,50.3566197764126,50.6422602,50.8995130100888,51.4841800603574,51.7101550919228,52.1652781970766,52.2259591275788,52.6512298424166,52.792529986046,52.9170146849642,53.0444406783926,53.2289920639528,53.2432517577278,53.298220274518,53.338982546284,53.5174951337018,53.5718632051012,NA
562,"NER","Niger",NA,NA,NA,NA,12.7417756,12.9384012,13.0166818,13.038637,14.459142,14.8106156,14.8980314,15.0580812,15.8380746,15.8815796,15.8999348,15.9107904,16.0264406,16.046273,16.0773928,16.0835224,16.6766716,19.5700398,19.873022,29.5706710035986,29.5964533855996,29.6866243451742,29.7913850960572,29.9332402045762,29.9592516540228,NA
566,"NGA","Nigeria",NA,NA,NA,NA,20.7443125680844,20.8799188447484,21.3967599890486,21.4555432705108,22.1684756673336,22.3944279304194,22.5943725686778,23.0644086989316,23.7291592,24.0688219459202,24.1430526080924,24.1794558,24.49808668857,24.5198635973278,24.6898586,24.8047226356756,24.8715086204128,25.3101225332226,25.4043457346822,25.5790566422396,25.7705134547692,25.8104526,25.8657719859278,25.8759269775988,25.9578946399584,NA
570,"NIU","Niue",NA,NA,NA,NA,13.3115714,13.9911854,14.1243324,14.5414652,15.5834672,15.7502278,16.8249264,17.1116912,17.3438116,17.400173,17.4107384,17.4214124,17.4255634,17.4268814,17.4271248,17.428324,17.4330712,17.7198094,17.7374552,17.7445522,17.7445522,17.7445522,17.7445522,17.752476,17.752476,NA
408,"PRK","North Korea",NA,NA,NA,NA,6.4652442,6.771605,6.9877632,7.2276172,7.5887662,7.9412824,8.0684572,8.3894964,8.6308152,9.241834,9.3730124,9.5057046,9.6749178,9.8510664,9.9666952,10.2455372,10.330408,10.4718792,10.6802456,10.9180442,11.0146676,11.1116726,11.2113194,11.2831162,11.3598668,NA
807,"MKD","North Macedonia",NA,NA,NA,NA,17.6246828,18.6602996,20.5557736437724,20.9301559564372,21.4893964053664,22.3639405299748,22.610317781685,25.053890339541,26.009512,26.5738151891792,27.693550156224,28.1945078,28.3084174952522,28.5817816418916,28.8466409152326,29.3244585764794,29.5914786552856,29.8255818,30.3187119216664,30.533716253188,31.3287714062826,33.2574969290338,33.428773393789,33.7031576787446,33.7634708657384,NA
578,"NOR","Norway",NA,NA,NA,NA,26.5729930998702,27.0429548394512,27.5619223433934,28.0600252,28.585002864652,28.8294211653134,29.1371150740804,29.4794160435924,29.7372755557606,30.2116645157858,30.4419714506104,30.9696276,31.130051364389,31.3000059711396,31.7952114858966,32.076355807774,32.2340634678466,32.5889513753682,32.9554493547354,33.1818398606808,33.3458134514798,33.5549466034818,33.6945646,33.8913438,34.0270949558176,NA
512,"OMN","Oman",NA,NA,NA,NA,7.1328896,7.195344,7.2141678,7.2513936,7.3001816,7.382788,7.3937052,7.4874744,7.7369618,7.9343246,7.9689004,8.0775694,8.09749,8.1160886,9.6559058,9.6781066,9.9556838,10.0272124,10.2368604,10.8202884,10.8291348,10.901723,11.465186,24.8265806,24.886942846647,NA
586,"PAK","Pakistan",NA,NA,NA,NA,8.7744264,8.8259608,8.8436636,8.8716676,8.9181588,8.9434256,8.9821032,9.0266848,9.270279,9.3593298,9.4541122,9.4619252,9.4660388,9.5483172,9.5740526,9.5781854,9.637196,9.6479632,9.91453,9.965879,9.9991642,10.0765478,13.706604,13.7550038,13.7558606,NA
585,"PLW","Palau",NA,NA,NA,NA,34.324218476958,34.4466274386352,34.9524044458698,35.0697448516166,35.4046217513248,36.9055716140996,37.329552186435,37.4018364,41.6358389331344,42.4746854018816,42.4751965857792,42.4756874561186,42.6865224660142,42.691895054193,42.691895054193,42.9310884915236,42.9323292556528,42.964396131474,42.9654466558646,42.9670084864012,42.9670084864012,42.9670084864012,42.9670084864012,42.9723733582856,42.9723733582856,NA
