"code","iso","country","OEB.ind.1996","OEB.ind.1997","OEB.ind.1998","OEB.ind.1999","OEB.ind.2000","OEB.ind.2001","OEB.ind.2002","OEB.ind.2003","OEB.ind.2004","OEB.ind.2005","OEB.ind.2006","OEB.ind.2007","OEB.ind.2008","OEB.ind.2009","OEB.ind.2010","OEB.ind.2011","OEB.ind.2012","OEB.ind.2013","OEB.ind.2014","OEB.ind.2015","OEB.ind.2016","OEB.ind.2017","OEB.ind.2018","OEB.ind.2019","OEB.ind.2020","OEB.ind.2021","OEB.ind.2022","OEB.ind.2023","OEB.ind.2024","OEB.ind.2025"
36,"AUS","Australia",NA,NA,NA,NA,NA,NA,NA,81.644513160023,83.3834306162348,79.2935689696843,79.0548934311606,77.6207865326552,78.7484429060516,79.7614550522248,84.0705381126441,78.5247516381452,74.9608303865674,78.7634091216184,76.2414542822375,78.7797767478224,82.7854333949005,77.6203102417837,73.6514577861606,69.2031066141467,72.520229873589,76.4267009415974,77.0801239525756,NA,NA,NA
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,56.4363767265324,62.8242913724896,55.420281402142,56.2393652045036,53.2865261810519,53.588006707163,56.3697886748634,58.8986295669422,57.2195811590073,53.1334952981243,56.162413849114,59.0639746734918,54.3535812691935,57.6833037876051,49.1932890901048,48.8710810104303,44.6309022350744,50.7140979551167,53.3885445894765,54.0671812112805,NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,46.9639320804926,48.0288713442353,43.1047015429215,44.821214365745,45.1758811079836,46.197894777829,48.1153224405677,48.2707577269878,47.871386568953,44.297540699423,44.8569510497568,47.7668744834677,46.8574859282591,50.107956586674,39.1191833377639,39.1108898282574,35.5690569151041,37.1145467765369,38.048830603264,39.2078733723587,NA,NA,NA
44,"BHS","Bahamas",NA,NA,NA,NA,NA,NA,NA,18.0779687744289,12.178518322179,11.2627885701721,11.1098737808396,15.6853021351423,15.1700653241423,17.2331603724536,11.322084282002,17.4287955085164,14.6292969895375,20.152182160637,21.1075148853044,24.6064582316184,19.3239939244392,14.6394259762211,12.0272995191458,9.84775511590827,12.4008019851516,13.7344949835824,16.5123408815886,NA,NA,NA
48,"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
50,"BGD","Bangladesh",NA,NA,NA,NA,NA,NA,NA,37.438363058552,38.8833221735029,32.0276832649776,28.36038793939,37.7224869772064,37.4677009545486,28.6858435167416,37.3038871460919,31.2703527145995,23.7659965259678,33.058152833053,22.8890629763049,30.3430034329589,33.9040912785466,30.5299620254208,21.4931412456875,20.3739412815028,22.4352298976492,20.3875823868524,27.2938247455061,NA,NA,NA
52,"BRB","Barbados",NA,NA,NA,NA,NA,NA,NA,47.1721104078856,51.6496121675918,54.2557866127098,51.4320237983142,50.6942590599298,46.14144420447,50.2584896632081,58.9239251800272,53.6174395407061,54.6196421107814,48.419332580166,50.3823043061429,50.213825834839,55.9920839390904,47.9279741490167,38.2478401985867,42.8969441339371,43.8165417681527,42.9806421483626,43.5479335339832,NA,NA,NA
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,58.915100537898,62.7283774393909,59.439092205835,56.2825279499225,52.8157801563719,50.9093551063866,59.5214838890098,58.0930430240631,56.4281446156561,58.0240214730989,55.9773537802577,58.0956151976275,50.1310695053702,56.4107342856732,50.4329762538708,52.501491727211,45.4957435173056,49.7462308828235,56.9375019001983,57.9686202772472,NA,NA,NA
56,"BEL","Belgium",NA,NA,NA,NA,NA,NA,NA,77.0892606124189,79.7938061138788,74.4120117624342,70.8581067909626,73.6382153656765,71.5320577646173,72.1011444461975,74.4416908958752,73.1699708201432,71.1445614608328,67.9016419380287,67.1779727058177,66.2639046769799,72.083884016634,64.8307620413089,58.1423376079658,53.8962349019353,51.5875301153097,63.2485914510992,61.3768181781264,NA,NA,NA
84,"BLZ","Belize",NA,NA,NA,NA,NA,NA,NA,60.0848666403553,57.3386685522284,55.7114001074891,60.232185172054,62.017227691599,60.2977381462649,59.5740325735195,60.5191166305241,60.0938169656088,62.6264127780386,63.1613677243779,62.3837196195697,61.9059797078593,64.0691359663446,61.3137254704505,56.0378786494634,55.7099860164485,56.9831848587226,61.925638756723,62.2148054624689,NA,NA,NA
