"code","iso","country","HFD.ind.1996","HFD.ind.1997","HFD.ind.1998","HFD.ind.1999","HFD.ind.2000","HFD.ind.2001","HFD.ind.2002","HFD.ind.2003","HFD.ind.2004","HFD.ind.2005","HFD.ind.2006","HFD.ind.2007","HFD.ind.2008","HFD.ind.2009","HFD.ind.2010","HFD.ind.2011","HFD.ind.2012","HFD.ind.2013","HFD.ind.2014","HFD.ind.2015","HFD.ind.2016","HFD.ind.2017","HFD.ind.2018","HFD.ind.2019","HFD.ind.2020","HFD.ind.2021","HFD.ind.2022","HFD.ind.2023","HFD.ind.2024","HFD.ind.2025"
458,"MYS","Malaysia",51.3636024242415,53.4561587511249,55.3767834605456,57.1108437990682,58.9804233012431,60.6076237660093,62.0553520710103,63.4101260580485,64.7799811921269,66.0373063762588,67.1498832030173,68.0356047860508,68.7239428502411,69.4052118597921,70.1766340617755,71.1610612992637,72.3459838473891,73.5034074503754,74.598546424702,75.3923237154518,76.0231270070313,76.6554803028937,77.3376052737135,78.2289613118907,79.2707249354298,79.630603751573,79.5702196643566,83.420134020565,NA,NA
462,"MDV","Maldives",10.4540973078816,11.3859282240586,12.5072509206919,13.7371416241481,14.8544109346714,16.0466253672649,17.5199081179316,19.0546323452625,20.570753132373,22.3216219040794,24.0536073333701,25.9834985004757,28.0744714004141,30.1570269725809,32.1057861738412,34.0258586264898,36.0600006270628,38.1195609920004,40.1557025095993,41.8349323980292,43.1063135344128,44.2450499601094,45.3402632819924,46.4251643442943,47.5517965705826,48.5951947417175,49.263768469858,59.7736376513511,NA,NA
466,"MLI","Mali",2.52381235436113,2.83180300459834,3.10643238056244,3.40631517761013,3.65527471728069,4.11031887408373,4.26994860591772,4.68064171959155,5.03929874616483,5.34688340858978,5.51913794030845,5.77406404763998,5.89300119215598,6.03427667424303,6.20795769755871,6.47010615548169,6.60739823777639,6.90140353093494,6.92803351285235,6.50107814164423,6.43604918319461,6.2964681868494,6.35413154380211,6.59810415673158,7.31198733246674,7.48691189908268,7.1846559689827,6.97309185047831,NA,NA
470,"MLT","Malta",60.1139592535962,62.2372996413752,64.5277804957532,66.4553870343999,68.6590597339049,70.6341119021483,72.4142921436642,74.0987124276644,75.6886883759556,76.8522256223189,78.1561572821038,79.6127766137293,80.9073644324164,82.1682216978826,83.20501821977,83.8668881582953,84.678502893461,85.7342124376287,86.6411478299219,87.3181451593548,87.8513886725065,88.1602892889532,88.1548336556783,87.868593465943,87.7772350373364,86.9310683855078,85.8215677133536,89.0553227467201,NA,NA
584,"MHL","Marshall Islands",4.26225011553692,4.32309421828793,4.35518034166741,4.4497210847663,4.36162410889519,4.69248186515539,4.88721128298299,5.10916020612929,5.30306850559097,5.50057477234859,5.64069695641248,5.74609476035157,5.83407942911555,5.9521236428042,6.10746895736359,6.32110614739604,6.59327237146384,6.902997475467,7.27159359170069,7.68931904029121,8.14533060491307,8.68006189001346,9.28469564952547,9.93496769055147,10.5027526692824,10.7226215698875,11.5359073178628,11.6502647592795,NA,NA
478,"MRT","Mauritania",7.29435197880485,7.58192870537479,7.65912680599021,8.18268458038501,8.20569651392417,8.29902562966527,8.35562197869609,8.7381741905923,8.62340626744768,8.79986148780876,8.73813138567216,9.35491177444247,9.82946904408495,9.76114112754614,10.1305832556523,10.5239671556178,10.426088741718,11.0326891552537,11.74447752581,11.8390682330487,12.4976886716863,12.3658353995314,12.7482938454993,12.6344212244787,13.3910129824701,13.5180446587839,13.4884414771221,13.431448042996,NA,NA
480,"MUS","Mauritius",38.1583693197357,39.5955341776297,41.2291614322105,42.8062705802035,44.353307493913,45.7752918252206,47.1562997381557,48.4051591918431,49.5485238005228,50.4967338855068,51.9252942428552,53.1762683700675,54.3732957929469,55.5872110307057,56.7724364204786,58.0885743719654,59.3929701797194,60.879264907551,62.296665252637,63.6216215228184,64.892900796575,66.2199385320777,67.3298503550087,68.4934104135789,69.4806175177886,69.937201167951,70.5446739456767,78.1960760067747,NA,NA
484,"MEX","Mexico",32.6329929118293,33.4228703118034,34.5467698144044,35.5138434759371,36.5435289783379,37.2714892867633,37.6677236562805,38.114884474297,38.6343585236589,39.0864396664115,39.7352597277713,40.2754361191766,40.6167017066637,40.9923732447838,41.1932462506494,41.7727112801665,42.330137586981,42.7106905793482,43.0106910736394,43.4053292461185,43.6934393100851,44.1092613985683,44.5489777640137,45.0697236179908,45.654444318116,45.5529222148854,45.9615198573286,47.0654351633464,NA,NA
583,"FSM","Micronesia",2.59258343232094,2.77695993446588,2.94942827041523,3.14255602333662,3.00803801472927,3.57794402479809,3.77239835980696,4.02774650618291,4.28164774676742,4.57309968162021,4.88602084757157,5.1858100575721,5.50252602482755,5.83183795677328,6.19350961333201,6.54535580563619,6.88960251397047,7.21186701354978,7.56884330625245,7.9347573590963,8.36999590201535,8.81017661445701,9.25702619892495,9.70025800017903,10.0405805403593,9.9255618781234,10.7971381174268,11.2060671645489,NA,NA
498,"MDA","Moldova",7.36676468694161,7.86885323733861,8.40889656837946,8.43754766474827,8.62434717808112,9.18014353258073,9.83213960801046,10.7216541323118,12.0153874708963,12.9721841452383,14.200835267742,15.5494111262828,17.0014534353361,18.3433350008775,19.5669149824203,21.1166938797556,22.4812532800596,23.6402798464179,24.7115353569446,25.6736738187457,26.8618024510991,28.0109250236445,28.9796689475903,30.1649618868341,31.7063830840284,32.7637623658685,32.798033619822,36.0920294732191,NA,NA
