"code","iso","country","SDA.ind.1996","SDA.ind.1997","SDA.ind.1998","SDA.ind.1999","SDA.ind.2000","SDA.ind.2001","SDA.ind.2002","SDA.ind.2003","SDA.ind.2004","SDA.ind.2005","SDA.ind.2006","SDA.ind.2007","SDA.ind.2008","SDA.ind.2009","SDA.ind.2010","SDA.ind.2011","SDA.ind.2012","SDA.ind.2013","SDA.ind.2014","SDA.ind.2015","SDA.ind.2016","SDA.ind.2017","SDA.ind.2018","SDA.ind.2019","SDA.ind.2020","SDA.ind.2021","SDA.ind.2022","SDA.ind.2023","SDA.ind.2024","SDA.ind.2025"
36,"AUS","Australia",NA,NA,NA,69.5914103254817,69.2443418321589,70.0216761540764,67.2285852738054,62.2910294086033,55.6123504556312,50.7210934215289,47.9920016494717,51.2335151255633,53.543026907287,53.6279739556038,52.3376735516606,51.50636890735,52.7033964319297,53.172042534037,54.1931851274858,57.6417074133483,63.7529529588549,67.7009970863596,67.022787596398,67.9051019742921,69.4367902506188,66.8509762765703,64.876905899312,60.7667905071972,NA,NA
40,"AUT","Austria",NA,NA,NA,98.0366049784047,95.5571228353684,88.0517556320594,86.1650608139774,81.7134994606137,82.548754158738,80.2251265029216,75.6028682740209,74.8695310660442,79.5263971579692,92.046940259512,98.8767224008074,100,100,97.5918201651356,93.8423968915777,87.8470769290346,78.3829015708595,70.1243256445582,66.1493916152459,71.7038045975474,74.3210741480651,74.561925552527,79.8183418743173,83.2522525645323,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,51.6805016163752,49.7510374899958,65.5767723818272,83.969363929261,85.4734242299405,97.2235428368841,100,100,100,100,100,100,100,100,100,100,100,70.9998125321334,38.1602415657748,25.9731112229398,28.5222170999447,44.916474902983,45.1694487084022,48.8634995441122,58.082199246068,NA,NA
44,"BHS","Bahamas",NA,NA,NA,51.342583026706,51.2942989499603,55.8658151654675,98.9570555337089,100,100,100,100,100,100,100,69.4249803571691,41.8228253637459,48.6175754053345,55.2081131220277,58.7333709561702,62.507047592198,66.4075530521475,65.4846416549345,76.1998482982306,70.4562924226168,50.1608008617573,51.4413667511373,50.2869862083045,46.2914041840073,NA,NA
48,"BHR","Bahrain",NA,NA,NA,0,9.20014487439163,25.4247949429586,36.7147426825063,35.451379792943,35.3326377029367,24.9707387151298,5.08308825409821,0,0,0,9.09448592184118,19.8082919456039,32.4192968799711,45.4327509292855,59.7514873167645,62.7005418738368,51.6223225904746,42.3880338484121,37.4053960314062,28.619448980487,18.7480880213679,11.4388081352373,7.74522177954036,6.96757684328119,NA,NA
50,"BGD","Bangladesh",NA,NA,NA,27.4701992386899,27.5184022450134,28.5150691341584,28.6108229493954,27.7987425476148,30.1876414509245,20.6860907547395,19.8913627128276,11.8640921263547,13.6920921710467,15.2206249436695,22.1001521477799,13.5125966100159,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
52,"BRB","Barbados",NA,NA,NA,45.4439171458733,43.1432954592082,34.5254039910347,75.6785767389533,96.378417928326,100,100,100,100,100,87.5262870361367,56.0698192551437,32.1398355393402,46.8532525740106,53.096017565092,56.561255102946,58.6818015327515,58.2744142001508,56.164510397198,55.6767864495168,56.0102800103977,52.007378554345,52.2363206650379,50.9409725275313,47.3692638729498,NA,NA
112,"BLR","Belarus",NA,NA,NA,63.1826786011279,80.7383371619811,100,100,100,100,100,99.9800512295055,100,97.6076902899055,70.1081200903285,67.0553001786574,73.5451490781819,75.0105722074909,82.4808442722542,87.3435773434346,93.2408730535925,89.3025220871806,100,100,88.7089224263574,73.0061369376746,66.1194716909542,54.4385475852118,48.4105258715152,NA,NA
56,"BEL","Belgium",NA,NA,NA,94.6165545176882,99.0196349698663,99.5666965006776,97.3655916317375,92.9463202941604,87.8686176151303,85.7716095872188,82.9598675194122,81.5037332671695,85.5004573511317,98.4445846373158,100,100,100,100,100,100,100,100,99.9136487008845,92.7352351664126,93.6348200592564,93.8385939224014,94.3731273944061,94.3183310678792,NA,NA
84,"BLZ","Belize",NA,NA,NA,17.8418622913785,10.2184086106413,2.0052319139612,61.6682599784331,100,100,100,100,100,100,100,80.2469200786245,32.5563231477276,44.12588316796,52.6959878916701,61.0252636519489,66.6400180725448,71.0296047302311,69.4778566334533,65.6186260778298,58.6571193170132,48.3077978439519,51.6723819817896,49.8147936910149,46.0359219885198,NA,NA
204,"BEN","Benin",NA,NA,NA,4.96454295187976,5.3452739270996,10.7551610561173,15.0521974680623,22.8441734551037,30.8982440691823,38.9250096396066,27.5654126441787,6.02833687549995,0,0,0,0,0,4.97929645674633,13.7949280224606,21.2901636190248,22.0589130973301,18.9472126756218,17.6777408630569,11.1905113916916,3.55689607005309,17.2154866579154,31.5479247455009,44.0961423364522,NA,NA
60,"BMU","Bermuda",NA,NA,NA,45.9426711595043,41.5210670966745,42.5573180521099,91.6031811088075,100,100,100,100,100,100,100,92.8675211448792,70.9422355069739,71.4565892951177,69.2723563014077,57.6204519357177,57.6462447228328,57.6523707502445,58.0736900539236,54.9006813738094,54.6311832846609,48.9443901891174,50.3186564782583,49.9811914761912,49.7034960706804,NA,NA
64,"BTN","Bhutan",NA,NA,NA,0,0,0,1.24673250480083,10.5390895665261,26.5391649444665,38.7329282931732,45.9568936040833,45.2746028288269,51.0752855802329,64.0293702648026,65.8808158984056,59.2048692508923,50.1288334757919,40.4273660190736,34.1014306284151,24.3543663308839,14.4156214034796,10.3611859602564,11.6053563289235,19.2814161144295,30.8743779742909,36.9278491755823,45.4225883474654,51.1384167607174,NA,NA
68,"BOL","Bolivia",NA,NA,NA,41.4498294208151,45.3356900489262,39.5780077307344,35.0022644088455,32.8381624156071,25.9749062715285,14.4617834198543,6.79124717457775,5.37381605976316,12.7123433250146,26.7921022039586,39.0931475674422,40.7130775305168,37.3621584033046,37.1699607302004,42.1991387560791,53.6725417746215,60.9005104828283,59.4046659518079,60.0006506613361,60.2822696422607,67.5470855726031,65.5586981771008,57.8980347091918,44.187090719059,NA,NA
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,100,93.1048679766141,38.7908299252469,0,0,0,0,15.9914150913476,22.3330091023976,20.6911537360255,26.0866497371242,28.1121542282942,27.3506499135183,30.3137058181028,33.8866000747489,40.5909716987424,46.7301072189321,46.2326885411719,44.3325997654626,39.9744735339326,42.9418553389341,45.3166600412909,43.9420094593927,46.3399866881104,50.8022122350712,NA,NA
72,"BWA","Botswana",NA,NA,NA,0,0,0,0,0,44.7232026248879,38.1143065616246,37.0755903357694,44.6900009292315,43.445026169377,42.9439582544402,46.3385918348874,63.1497472561446,72.2131488948694,66.3875446776938,73.7841937181244,72.4319033216776,76.6861143248193,100,100,100,100,100,100,100,NA,NA
76,"BRA","Brazil",NA,NA,NA,27.3587225551421,30.4616058993845,37.3707186681515,45.9479302101971,53.7230303038935,59.4228174915671,63.1845401452672,64.4737170356942,62.9049221599767,64.7350106226619,67.1602128859129,65.5221328174761,62.3996369381159,58.3746507600542,52.6573559759035,45.1099591998636,40.2920541263685,41.2151752402135,43.0060008451609,47.2934221382745,52.4491781397829,56.0761268703013,59.0786172046201,72.3308052170446,76.3133755526664,NA,NA
