"code","iso","country","PBD.ind.1996","PBD.ind.1997","PBD.ind.1998","PBD.ind.1999","PBD.ind.2000","PBD.ind.2001","PBD.ind.2002","PBD.ind.2003","PBD.ind.2004","PBD.ind.2005","PBD.ind.2006","PBD.ind.2007","PBD.ind.2008","PBD.ind.2009","PBD.ind.2010","PBD.ind.2011","PBD.ind.2012","PBD.ind.2013","PBD.ind.2014","PBD.ind.2015","PBD.ind.2016","PBD.ind.2017","PBD.ind.2018","PBD.ind.2019","PBD.ind.2020","PBD.ind.2021","PBD.ind.2022","PBD.ind.2023","PBD.ind.2024","PBD.ind.2025"
44,"BHS","Bahamas",51.56342524605,51.8681125837857,51.9285479492751,50.8143871193843,50.6132401930245,50.9914800491081,51.1913982564387,53.6031920318445,53.3139778445808,53.640994151568,54.3082866091952,56.1695865941105,55.9718067788569,56.176275729337,55.8936584654838,56.7618629545014,58.2858763348248,58.6917283959674,58.857805540878,58.2373416764805,58.3281238293238,58.4642632472896,58.679987652382,57.5829112966579,56.9247533023177,50.9641679516734,57.3423450022549,59.3118932392435,NA,NA
48,"BHR","Bahrain",21.864716866034,21.582415751566,22.2202423355034,23.1942251704625,23.7717664726421,24.8106897274994,25.5411911510417,26.3262409752626,27.8909260985316,29.7745880820685,31.7557746948811,34.2942265264245,37.1302814941192,39.8176558186682,41.8886955214656,43.6558200240742,45.3469986758033,47.6747296719678,49.8916508897381,49.3774394001876,51.5531551840469,53.2491289509225,53.1807282871873,56.3194932020367,57.5660137850632,56.9256036235064,57.1825528003441,56.2564927219507,NA,NA
50,"BGD","Bangladesh",30.4266321638516,29.6426536798696,28.503516111634,27.2456451570265,26.5806407312611,24.9752170149733,23.2966345184414,21.3284708396674,19.6683009001409,17.9760546436849,16.9477691670253,16.9040066868076,17.2706779382822,16.8492958192537,16.4882507056798,15.3325442696394,13.2627356302054,13.0481388945418,13.0383587507614,14.0230511074706,14.3201134464962,15.3708445766767,15.4726911142285,16.9142555161455,18.6282368044283,16.479088377781,16.9604458082448,17.2145169694297,NA,NA
52,"BRB","Barbados",55.2034937794495,56.3062076170895,59.3830937266448,61.1920974811239,62.0328519876392,63.1895311749137,65.0148581633154,64.9508302505902,67.247130667513,69.468444701787,68.756516278344,69.291651242898,69.229022742763,70.635460591078,72.4206186545988,73.4401368979316,74.2892390704747,73.6504238667603,73.3651463140336,73.0745542328688,72.9126021338855,72.8184086718559,72.7948202288619,72.8660487126546,72.302095257884,71.5639421704912,70.9135525887272,71.3429530970301,NA,NA
112,"BLR","Belarus",1.0796999287499,0.211815693011872,0,0,0,0,0,0,0,0,0.0364907105078629,0.616286996684451,0.889044413117816,0.57654756361741,0.425962934458965,1.85286802162923,3.12801011377036,4.42120954601575,5.78167601180051,6.91038386763081,7.88463614201119,8.71391164456169,9.18844590801281,9.71442573420124,11.0521170099385,11.5169299337044,10.5126717976948,10.7266672624296,NA,NA
56,"BEL","Belgium",44.9035365161323,46.5383466382864,46.6674611335491,47.5688459005919,49.3042513838429,51.2477719559432,51.9789025103616,53.155023197526,55.4498685481737,57.3519127163912,59.6301045984568,61.1119239468282,62.4086748538453,64.1806583696322,65.8421245386986,68.038594704821,69.1945928683231,70.7481935630323,73.0321292614264,73.7156547634583,75.4846934167642,76.8863677537329,78.4826964803114,80.3606661237719,81.5723044411708,82.5167460633189,82.1766842244042,83.7596610289544,NA,NA
84,"BLZ","Belize",40.7514624526981,41.2857712336339,41.995146396228,40.9837311395315,39.213298723947,42.79065399642,43.8077631575901,44.5679349357184,46.5487789428144,47.7307739849631,50.4738852544187,51.561101132992,52.6304753291236,52.5349535767687,53.6881725093534,53.8954352774465,54.9394983035833,55.7413363866831,55.7683568233515,55.6529714096258,55.7377156772482,56.021744228322,56.4092311004031,57.1077137736847,57.6361288401335,58.1285707566717,59.9692296801661,60.1396106850979,NA,NA
204,"BEN","Benin",44.117847515715,43.7058175161809,42.8276947118315,42.4900581015299,41.8463769352114,43.1517725749459,44.1645881724045,45.917878056532,47.8249410247643,48.6523951244116,48.3909904092568,49.0293380829834,47.8229941353153,46.9036032438675,46.4299914631461,45.3859127981048,44.6592557049922,45.5018458367165,45.6794406374205,42.2495508838638,44.1527352085674,44.796370561522,46.0847533866013,46.9275178405607,47.1559420742614,49.2658759528999,49.7120418935307,49.3175390561556,NA,NA
60,"BMU","Bermuda",52.7010206330204,55.4960763966936,56.9024392834384,57.267336221375,59.2806409557565,61.6679993926541,66.1343983941177,68.1221980159278,67.7185002542035,68.6091265603594,69.1756677668444,71.0110484694869,74.8359349266779,78.0105523918324,79.9083274576683,78.4453262449475,79.2861245382774,79.6534812124054,80.74727947565,81.1783994084237,82.32260813808,83.5587262842046,83.9043103580342,84.2475243894209,84.0623837418793,83.845423589728,83.8454235643855,84.0301772002681,NA,NA
64,"BTN","Bhutan",28.2620561976003,27.1850250183388,27.6733230119192,27.6833606992693,27.6816120795382,27.3293407349818,27.4578171223385,27.1466154133735,27.2631877943038,27.8156070290601,28.6862796354391,29.8208615023563,31.3841214860945,33.2065835724972,34.3184026957295,34.3449233535652,33.8321160967312,34.6746995820467,34.8357998741823,35.8960222192261,36.716625996742,38.0339083807795,38.9541018024885,40.5557796033056,42.1345430546598,41.684168141643,42.0754851554565,42.7497627531177,NA,NA
