"code","iso","country","COE.ind.1996","COE.ind.1997","COE.ind.1998","COE.ind.1999","COE.ind.2000","COE.ind.2001","COE.ind.2002","COE.ind.2003","COE.ind.2004","COE.ind.2005","COE.ind.2006","COE.ind.2007","COE.ind.2008","COE.ind.2009","COE.ind.2010","COE.ind.2011","COE.ind.2012","COE.ind.2013","COE.ind.2014","COE.ind.2015","COE.ind.2016","COE.ind.2017","COE.ind.2018","COE.ind.2019","COE.ind.2020","COE.ind.2021","COE.ind.2022","COE.ind.2023","COE.ind.2024","COE.ind.2025"
508,"MOZ","Mozambique",NA,NA,NA,NA,NA,NA,NA,60.7993012195303,62.9507092524169,60.9519112032239,62.2467643988669,57.0878971132961,56.2342871985275,63.3800646516792,59.4817260688732,60.5240444724437,59.7495933905094,59.8065899562965,60.0531357072906,59.5046731864461,61.9723688535787,63.4797175589315,61.0089307021799,62.8867894928482,62.9525098147682,61.4729099269865,62.868850656714,59.5641476900531,59.1195281101077,NA
104,"MMR","Myanmar",NA,NA,NA,NA,NA,NA,NA,29.140329824136,24.8117783392161,28.7460149146471,29.4550479502642,23.9380973934459,30.6447832946657,24.2883333084416,25.5772470529226,32.5360874479745,28.9493689950214,31.2287853254725,31.8927137620332,33.2407558522181,30.5898380968575,38.105382794977,36.972194760332,35.064964438292,34.4247520277844,31.1322757803555,38.0092805985807,32.7971921806131,35.095235817322,NA
516,"NAM","Namibia",NA,NA,NA,NA,NA,NA,NA,64.3405199319394,64.184316689789,62.3492380688081,64.0431970734816,61.7669782337932,62.2044045704403,62.4512438307707,58.6070007338416,53.878530790955,53.2243861260604,60.6009121627085,62.2947468966329,60.3179638892696,61.7283669151376,61.9880730740169,62.0175662134782,63.5618518176714,59.6980582162677,58.1369213286377,60.282131517373,58.0130994651544,59.3227589223966,NA
520,"NRU","Nauru",NA,NA,NA,NA,NA,NA,NA,90.8440113467152,92.2861862395053,91.8047730156231,90.5855312907601,91.5618537980181,96.4333127205546,95.4337251059473,92.8685052251032,98.8975796161812,97.2671760789451,96.8119312526474,98.8911270927843,96.4886259650695,94.5293231100634,97.2419148636987,98.8240286938762,95.6662113609301,94.7888408068381,96.8013434098124,98.0832752544139,96.4650612233552,91.976606971747,NA
524,"NPL","Nepal",NA,NA,NA,NA,NA,NA,NA,0,0,0.418030918751825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
528,"NLD","Netherlands",NA,NA,NA,NA,NA,NA,NA,40.7557706238468,45.8444770530774,47.3690995831546,48.6750057929151,50.6619729286125,51.8993777237369,53.1224561305349,52.1693560501458,53.0464770892813,54.8637982474551,56.5955211102889,55.7448643084461,57.817815452116,58.1206192932587,59.5950362855679,60.8936527774971,62.9337405821235,65.128244406399,62.8203725822469,65.7722703621692,63.2219367509105,62.9594875147303,NA
540,"NCL","New Caledonia",NA,NA,NA,NA,NA,NA,NA,91.2132105180745,90.9926683708667,91.3032670342625,93.4450589789858,92.5514512983933,95.4092249398355,97.4131678660882,96.0585095791771,95.5374732886536,97.0000956485939,98.2744392509544,98.6260044066659,97.1355060384896,95.0837775818673,94.8241129255726,94.8660689118417,95.6924932834607,92.6749919015454,95.9770215081893,93.9272533436904,94.7619811459764,94.1662099155082,NA
554,"NZL","New Zealand",NA,NA,NA,NA,NA,NA,NA,85.5131432051021,87.5100615822908,85.8731638702068,88.3594200622777,87.3263967696052,90.3301103647908,92.6200066440198,89.7428359708185,91.2069359719535,92.4626694920942,91.1314331444395,93.4613459335625,92.6286660124408,92.3198361663836,93.844710729729,93.8298972578819,93.1733211494899,92.1356084527725,95.4583414502937,95.1213342545462,95.8086369785528,91.9400986704423,NA
558,"NIC","Nicaragua",NA,NA,NA,NA,NA,NA,NA,66.0439180979882,69.9133305993528,65.6669681147636,69.4698819414328,69.2704416237242,71.5907138456371,72.1607674034244,68.0828190109864,69.9441701863633,71.7463925918586,70.2205824583881,72.0832659493823,71.7114601595152,69.5947903314582,71.1406510427269,73.410580164633,72.6491240636754,70.5699989408872,73.6945431669199,73.9587631601079,69.8869634857803,66.9837388421026,NA
562,"NER","Niger",NA,NA,NA,NA,NA,NA,NA,53.8099519329727,52.5166250657619,53.9602917885496,54.6835733976071,54.0660154866799,55.774031202324,53.8604113840201,53.0782497226124,54.0178451495399,52.1422135836268,50.8338117171191,52.2336845554835,53.790362709335,50.9266708519245,52.3920217462501,50.9686616003115,50.7671127198276,50.6522674966165,49.2961569500224,51.9599548644794,49.6799297586527,50.5806815595072,NA
