"code","iso","country","RLI.ind.1996","RLI.ind.1997","RLI.ind.1998","RLI.ind.1999","RLI.ind.2000","RLI.ind.2001","RLI.ind.2002","RLI.ind.2003","RLI.ind.2004","RLI.ind.2005","RLI.ind.2006","RLI.ind.2007","RLI.ind.2008","RLI.ind.2009","RLI.ind.2010","RLI.ind.2011","RLI.ind.2012","RLI.ind.2013","RLI.ind.2014","RLI.ind.2015","RLI.ind.2016","RLI.ind.2017","RLI.ind.2018","RLI.ind.2019","RLI.ind.2020","RLI.ind.2021","RLI.ind.2022","RLI.ind.2023","RLI.ind.2024","RLI.ind.2025"
96,"BRN","Brunei Darussalam",NA,NA,NA,NA,69.5641191886983,68.7178736391294,68.1065175386803,67.5852560214554,67.0189472126184,66.5266446685726,66.0890424071985,65.4262036877643,64.4190749538667,63.4537758478946,62.0283508347424,60.7284147053666,59.5378791413342,58.1285424466149,56.9991424926275,55.6959886995651,54.5376297723985,53.2763056072616,52.3045711739163,51.1719535562423,50.1197775307327,48.8520180382226,47.7129650931755,46.4966882196506,45.6922722980071,44.7752381473336
100,"BGR","Bulgaria",NA,NA,NA,NA,75.6165445831436,75.4267024256357,75.2465132591876,75.0598887653664,74.8764819352316,74.7992580067539,74.7091634235298,74.631939495052,74.564368557634,74.4871446291562,74.413138364365,74.3713087364395,74.345567426947,74.3584380816933,74.4034853733053,74.4839269654696,74.5128859386488,74.5032329475891,74.4903622928428,74.4420973375442,74.390614718559,74.3391320995738,74.2973024716484,74.2586905074095,74.2136432157974,74.1685959241854
854,"BFA","Burkina Faso",NA,NA,NA,NA,95.72694262423,95.6786776689313,95.6143243951999,95.5596241125281,95.5017061661698,95.4598765382444,95.4083939192592,95.3440406455277,95.2668167170499,95.205681107005,95.1445454969601,95.054450913736,95.0190566131837,94.9579210031388,94.9225267025865,94.8839147383476,94.858173428855,94.835649783049,94.8066908098698,94.790602491437,94.7841671640639,94.768078845631,94.7616435182578,94.7519905271981,94.745555199825,94.7359022087652
108,"BDI","Burundi",NA,NA,NA,NA,71.0056325202833,71.0024148565968,70.9959795292236,70.9863265381639,70.9766735471042,70.9638028923579,70.9509322376116,70.9412792465519,70.9380615828653,70.9284085918055,70.9219732644324,70.9155379370593,70.9058849459996,70.902667282313,70.8994496186264,70.880143636507,70.7546547527306,70.6130775505213,70.4940239941181,70.3299231461028,70.3009641729237,70.2848758544908,70.2720051997445,70.2720051997445,70.2720051997445,70.2687875360579
132,"CPV","Cabo Verde",NA,NA,NA,NA,63.2864573361928,63.0161735865205,62.6944072178632,62.3662055218327,62.0412214894887,61.7162374571447,61.4523890348457,61.0887930382628,60.9986984550388,60.9986984550388,61.0019161187253,61.07270471983,61.1370579935614,61.1981936036063,61.2528938862781,61.3108118326364,61.3880357611142,61.4395183800994,61.4974363264577,61.5489189454429,61.5907485733684,61.6937138113387,61.8031143766822,61.9318209241452,62.1152277542799,62.2857639296683
116,"KHM","Cambodia",NA,NA,NA,NA,52.6424258610066,52.2176942543788,51.8251392846168,51.4197136601085,51.0432470087794,50.6152977384651,50.1712601497179,49.4537211476119,48.7522704639388,47.67113546525,46.5674768207552,45.2353640545136,43.9386455888244,42.7320217063592,41.3452086574459,40.0903198196821,38.7678600445003,37.5676714894082,36.5154954638986,35.3442658819857,34.2309542464312,33.024330363966,31.8080534904411,30.7687481196778,29.3594114249584,28.2396644620307
120,"CMR","Cameroon",NA,NA,NA,NA,51.3457073953173,51.287789448959,51.2717011305261,51.2459598210335,51.1848242109886,51.1108179461974,51.0142880356002,50.9306287797493,50.8437518602118,50.7246983038086,50.6474743753308,50.5284208189276,50.4351085720169,50.3450139887929,50.2227427687031,50.1390835128521,50.0296829475086,49.8945410726725,49.8269701352545,49.7433108794035,49.6628692872392,49.4794624571045,49.3990208649402,49.3089262817161,49.218831698492,49.1094311331485
124,"CAN","Canada",NA,NA,NA,NA,90.6494693268165,90.5593747435924,90.4596271693086,90.3598795950249,90.2408260386216,90.1314254732781,90.018807244248,89.8997536878448,89.7742648040684,89.6938232119041,89.6069462923666,89.5007633907096,89.4010158164259,89.2916152510823,89.1725616946791,89.0631611293356,88.9666312187384,88.8733189718277,88.79609504335,88.7413947606782,88.667388495887,88.6062528858421,88.5418996121106,88.493634656812,88.4099754009611,88.3584927819759
136,"CYM","Cayman Islands",NA,NA,NA,NA,46.4999058833371,44.945774322722,43.4238193989726,41.9597824215815,40.3573859056677,38.822560327172,37.3006054034226,35.8236977712852,34.330701820715,34.2663485469835,34.2277365827446,34.1923422821923,34.1826892911326,34.15694798164,34.1247713447743,34.1247713447743,34.1054653626548,34.0990300352817,34.0990300352817,34.0925947079085,34.0700710621025,34.0797240531622,34.0861593805354,34.0636357347294,34.0218061068039,34.0475474162965
140,"CAF","Central African Republic",NA,NA,NA,NA,93.5839786089718,93.5485843084195,93.5003193531209,93.4906663620612,93.439183743076,93.4263130883297,93.4263130883297,93.4005717788371,93.3780481330311,93.3201301866728,93.3040418682399,93.2718652313742,93.265429904001,93.2236002760756,93.1882059755232,93.1817706481501,93.1528116749709,93.1335056928515,93.1013290559857,93.091676064926,93.0723700828066,93.0723700828066,93.0594994280603,93.046628773314,93.0562817643737,93.0659347554334
