"code","iso","country","BHI.ind.1996","BHI.ind.1997","BHI.ind.1998","BHI.ind.1999","BHI.ind.2000","BHI.ind.2001","BHI.ind.2002","BHI.ind.2003","BHI.ind.2004","BHI.ind.2005","BHI.ind.2006","BHI.ind.2007","BHI.ind.2008","BHI.ind.2009","BHI.ind.2010","BHI.ind.2011","BHI.ind.2012","BHI.ind.2013","BHI.ind.2014","BHI.ind.2015","BHI.ind.2016","BHI.ind.2017","BHI.ind.2018","BHI.ind.2019","BHI.ind.2020","BHI.ind.2021","BHI.ind.2022","BHI.ind.2023","BHI.ind.2024","BHI.ind.2025"
360,"IDN","Indonesia",NA,NA,NA,NA,67.7740107838314,65.6922892126704,64.4186315213231,63.7815092106563,63.3519556031873,62.7618140232992,62.4374196038583,61.8892268790305,61.3226476835496,61.1132935228577,60.7869448863986,60.3573278336693,59.8654916176079,59.6842787924876,59.6434264473771,59.0845082354071,58.7494276589271,58.6262879645618,58.4657103577239,58.2748623697503,58.0832694628697,57.8892956298631,57.7548791942618,57.8861309135704,57.6875055056211,NA
364,"IRN","Iran",NA,NA,NA,NA,40.4987670062291,39.9071153523074,39.0329084700472,38.8965145458309,38.7058308571229,38.7677783842675,38.715990637157,38.6897070478483,38.890721305273,38.501936560557,38.6948049383241,38.3844329678694,38.4448755140026,38.2910346762388,38.5025341874475,37.8372685749383,38.3511093533247,38.4201457541845,38.3154141340092,37.5106924862338,38.0745285907865,38.5015268691147,37.918622540902,38.2341660443047,37.4116663305542,NA
368,"IRQ","Iraq",NA,NA,NA,NA,38.8103324374762,38.3940087233885,37.988525869668,37.8607351580334,37.7918762279629,37.7656039953303,37.7411855604255,37.6755440614049,37.661840575544,37.4369601110088,37.5191892610695,37.4017026322899,37.3446927866964,37.184515899986,37.2534967831871,36.6085131031776,37.070392693955,37.1249220066279,36.9058966306696,36.4472458773925,36.8293213573116,37.0401723816248,36.7407970234851,36.7349732854176,36.5572094081735,NA
372,"IRL","Ireland",NA,NA,NA,NA,34.6593940937099,33.9233711720703,33.729013129865,33.5718453787744,33.2058663185659,33.2749042486547,33.1304532988298,33.0185234942192,32.9631911953103,32.9116825530979,33.0116993469904,32.8115084223043,32.5658688146246,32.504269618138,32.5972002393091,32.348280168573,32.5006249560212,32.4792101913393,32.6895333898818,32.6041787998177,32.6560093655234,32.6054724743635,32.5330125046485,32.4834168061894,32.6760590698438,NA
833,"IMN","Isle of Man",NA,NA,NA,NA,35.8832899990208,35.0956170088505,34.8993618370884,34.7867709195875,34.4680652920429,34.5089749350286,34.4039151861693,34.2444331175301,34.1862342660465,34.1437755376544,34.2159175126277,34.0033408388869,33.7748705722208,33.7061315541366,33.7834179422365,33.4384638391108,33.650546444237,33.6181439752398,33.848130260704,33.806003528677,33.9004290760526,33.8405085548234,33.7648291846088,33.7133771706275,33.7587921835301,NA
376,"ISR","Israel",NA,NA,NA,NA,38.9940042219573,38.6422110474374,38.2418606670314,38.123890733746,37.918812543588,37.8877677538844,37.8163295906418,37.7596652817623,37.6934156249401,37.6209119912573,37.5828503876868,37.4788813809742,37.4605550836988,37.2648893566523,37.3137804364874,36.8852102975336,37.1635873045547,37.0781724883162,37.0298571177887,36.7754214065937,36.9601501804635,36.9060741654915,36.6322447631412,36.6819898094366,36.5795338613223,NA
380,"ITA","Italy",NA,NA,NA,NA,21.5411120423892,20.6346880464297,20.0475403048439,20.0525556251296,19.5446213550075,19.3063950485321,19.311305328747,19.210596114281,19.0789770457283,18.9877908551474,18.8807025862906,18.8539248669206,18.8723430585567,18.6005003000884,18.6059027387327,18.2690691758225,18.3013243555896,18.5451968862999,18.6587603019329,18.4620104126653,18.5805788970471,18.525787583846,18.4375104672516,18.3493730794597,17.9561755850558,NA
388,"JAM","Jamaica",NA,NA,NA,NA,78.1326947659317,74.7503490632621,73.3656505749998,70.6257546982768,67.6244492641983,67.7966477106042,67.3141453326115,66.7770686380712,66.6004202331166,64.5631689543658,61.9266448166584,61.1623664427624,59.5681328917755,59.7626612378872,59.2281265968704,58.2655080215198,57.4782966382216,57.5379766773576,57.5673178000949,56.9616986673757,57.6832194760798,57.645546436345,57.5493412997347,56.4395099496549,56.4444666066211,NA
392,"JPN","Japan",NA,NA,NA,NA,33.3438429390032,32.4937392341543,31.9503978163551,31.5073719321978,31.2271157462034,31.0806242362049,30.8293219412115,30.6038636476981,30.5655811124363,30.4380472300883,30.2781936551667,30.2094762559949,29.9862321304046,29.8735344167527,29.7193255194107,29.2162183538162,29.3423048460712,29.2645643184852,29.3206801867032,29.0074122930436,29.1262740765732,29.0974644176391,28.9361460340614,28.9691597855683,28.9082381976332,NA
832,"JEY","Jersey",NA,NA,NA,NA,12.1287996911435,11.1966598529518,10.7410749249514,10.9441613323164,10.4397545098799,10.4257231094727,10.4175054655763,10.1276285210118,10.3876731106599,10.2139027675294,10.3074020312622,10.1240159746152,10.039887832396,10.0345319507227,9.9552824041026,9.7502558595918,9.93110891594579,9.9419310323047,10.2275650305068,10.0687052045273,10.1358823822187,10.0759446695678,10.098382222953,9.96672417168313,9.77031986747319,NA
400,"JOR","Jordan",NA,NA,NA,NA,45.2305809185754,44.939460941564,44.5684339223478,44.4536283437084,44.3209919948703,44.3271288067032,44.2552229260992,44.200190977772,44.1682917034223,44.0727487636876,44.0561054062303,43.9374153566637,43.9542156273953,43.8147740556267,43.8609555901446,43.3889173304254,43.6757689231936,43.6763745922279,43.5913207065899,43.3305411327328,43.5313164571117,43.5841763779436,43.3298226562528,43.376162027224,43.262557917557,NA
