iso,country,BCA,BER,BHI,BTO,BTZ,CDA,CHA,COE,FCD,FGA,GEL,GHO,GTI,GTP,HFD,HPE,KFL,KGL,LUF,MHP,MKP,MPE,NDA,NOD,NXA,OEB,OEC,OZD,PAC,PAE,PAR,PBD,PHL,PMD,PRS,PSU,RCY,RLI,RMS,SDA,SHI,SMW,SNM,SOE,SPI,TBN,TCL,TKP,USD,UWD,VOE,WWT
BRA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.5773736049028,70.9522838499184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3054045488111,NA,NA,28.4089,NA,NA,NA,68.29,76.7431617045623,NA,59.8280009739395,NA,NA,NA,NA
VGB,British Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43956043956044,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8277488098666,NA,NA,NA,NA,NA,NA,9.52,32.0448386548837,NA,17.9747849599991,NA,NA,NA,NA
BRN,Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7752381473336,NA,NA,NA,NA,NA,NA,87.15,100,NA,44.4546045890916,NA,NA,NA,NA
BGR,Bulgaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.4671532846715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.1685959241854,NA,NA,66.9124000000001,NA,NA,NA,94.86,99.937839209618,NA,99.2343689314342,NA,NA,NA,NA
BFA,Burkina Faso,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.7359022087652,NA,NA,100,NA,NA,NA,83.89,55.307857987808,NA,88.8623967912058,NA,NA,NA,NA
BDI,Burundi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2687875360579,NA,NA,NA,NA,NA,NA,39.04,26.43602020582,NA,89.4355583719124,NA,NA,NA,NA
CPV,Cabo Verde,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.02252872585353,5.84622383985441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.2857639296683,NA,NA,NA,NA,NA,NA,24.34,49.7132826587093,NA,9.21343404208112,NA,NA,NA,NA
KHM,Cambodia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.1016042780749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.2396644620307,NA,NA,38.44,NA,NA,NA,89.56,100,NA,72.6098266748414,NA,NA,NA,NA
CMR,Cameroon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.1094311331485,NA,NA,29.7025,NA,NA,NA,30.59,33.0647989921849,NA,67.7225515054126,NA,NA,NA,NA
CAN,Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.921362649012,13.9392098995056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.3584927819759,NA,NA,42.5103999999999,NA,NA,NA,76.2,40.0779514397653,NA,41.1313604540811,NA,NA,NA,NA
