iso,country,PMD.new,HFD.new,OZD.new,NOD.new,COE.new,SOE.new,VOE.new,USD.new,UWD.new,HMT.new,PBD.new,WMG.new,SMW.new,BDH.new,MHP.new,MKP.new,MPE.new,TBN.new,TKP.new,PAR.new,PAC.new,SPI.new,SHI.new,RLI.new,BHI.new,BER.new,FSH.new,FCD.new,BTO.new,BTZ.new,RMS.new,FOR.new,TCL.new,KFL.new,GRS.new,GEL.new,KGL.new,APO.new,NXA.new,SDA.new,AGR.new,SNM.new,PSU.new,RCY.new,PRS.new,WRS.new,WWT.new,PCC.new,CCH.new,CDA.new,CHA.new,NDA.new,FGA.new,BCA.new,GTP.new,GTI.new,GHO.new,LUF.new,EPI.new
COL,Colombia,33.26,63.28,59.46,33.74,45.7,57.88,9.25,61.63,54.47,66.71,66.71,84.85,84.85,62.87,50.64,97.53,18.71,85.85,84.53,49.45,28.89,53.34,24.3,25.68,80.93,73.09,52.32,39.36,63.17,50.62,56.12,19.13,19.01,19.35,60.54,54.17,68.33,51.18,48.93,53.43,41.98,48.74,30.2,62.48,48.16,17.21,17.21,37.58,37.58,47.39,31.39,11.62,8.99,93.31,32.72,39.43,9.08,42.75,48.83
COM,Comoros,82.9,13.57,76.9,44.54,78.86,89.82,84.42,21.67,23.49,85.35,85.35,34.97,34.97,44.44,23.35,11.77,100,100,41.12,44.14,48.89,40.55,NA,22.45,54.48,61.29,67.32,0.07,100,100,69.21,21.27,24.17,15.87,48.08,42.49,54.91,22.55,21.38,23.72,68.43,42.24,100,NA,77.78,0,0,9.59,9.59,0,30.86,13.59,50,43.66,4.63,0.06,0,73.22,33.52
CRI,Costa Rica,34.78,58.32,58.67,40.98,63.84,51.85,20.66,76.93,64.66,56,56,88.85,88.85,69.6,44.97,83.13,51.42,84.81,52.04,81.79,92.51,57.36,55.8,47,74.26,82.03,40.68,0,50.58,46.63,65.5,22.98,22.66,23.57,22.17,17.15,28.3,65.84,47.04,84.64,38.34,43.59,34.97,1.98,49.12,24.09,24.09,36.78,36.78,43.01,26.64,40.25,8.65,70.55,32.85,42.87,6.36,57.32,49.28
CIV,Côte d'Ivoire,23.06,10.01,33.05,62.36,46.72,67.59,13.59,21.25,22.15,41.9,41.9,29.39,29.39,48.57,0,NA,NA,75.73,93.6,34.72,23.17,85.33,11.83,69.07,26,15.12,43.66,59.46,69.41,14.77,30.99,5.22,4.65,6.27,46.54,25.21,72.61,15.07,0,30.14,63.98,37.01,100,NA,45.49,18.47,18.47,23.67,23.67,24.35,35.85,0,8.29,18.6,28.8,29.24,0,5.13,30.85
HRV,Croatia,30.47,66.17,37.72,58.23,53.81,42.26,36.57,85.5,73.5,59.46,59.46,89.07,89.07,60.49,37.06,66.44,19.81,100,95,36.65,37.39,83.62,57.61,41.26,16.51,16.2,58.21,66.57,63.3,61.33,41.65,17.54,19.12,14.61,21.83,16.85,27.91,89.84,79.68,100,60.21,63.02,61.92,0.47,78.23,34.28,34.28,47.21,47.21,49.76,61.88,70.6,13.67,85.21,34.91,48.77,32.2,100,52.82
CYP,Cyprus,37.27,100,27.54,42.36,66.63,40.98,44.32,87.99,83.98,71.38,71.38,76.26,76.26,48.3,24.13,7.94,0,100,59.94,36.05,79.44,61.35,NA,47.33,33.97,48.62,37.02,21.89,51.67,74.52,0,21.13,22.66,18.29,62.65,65.53,59.13,84.45,82.88,86.01,20.33,10.22,29.42,NA,48.61,72.72,72.72,43.55,43.55,50.76,27.71,39.28,30.3,64.49,33.76,47.3,28.79,100,53.34
CZE,Czechia,45.5,86.92,39.82,79.29,53.32,41.35,53.53,87.79,68.99,64.16,64.16,100,100,61.44,NA,NA,NA,69.91,98.4,36.57,19.88,95.56,42.25,84.82,21.65,8.71,NA,NA,NA,NA,NA,1.93,2.96,0,24.82,18.41,32.65,97.68,95.36,100,73.23,63.29,86,NA,70.55,91.45,91.45,66.46,66.46,70.45,58.1,91.25,47.65,76.36,50.49,67.9,100,100,62.9
COD,Dem. Rep. Congo,36.42,6.29,12.3,58.23,25.89,28.42,0,27.84,29.51,29.65,29.65,24.6,24.6,49.95,NA,NA,NA,49.44,65.98,27.62,25.33,63.36,74.13,81.64,75.53,88.67,NA,NA,NA,NA,NA,11.53,11.53,NA,75.28,73.77,77.13,27.74,31.99,23.48,62.1,37.37,100,10.61,57.8,15.78,15.78,12.24,12.24,0,12.92,33.85,8.29,14.67,24.7,19.53,0,20.56,30.01
DNK,Denmark,82.04,100,41.19,39.51,65.27,67.52,79.41,93,89.07,93.56,93.56,100,100,49.59,49.93,62.36,7.22,50.32,67.65,27.61,7.49,93.32,67.9,91.93,21.01,1.44,48.29,71.01,41.62,35.78,44.74,11.93,12.82,10.27,40.61,33.38,49.46,80.94,94.97,66.92,54.91,64.06,43.9,35.29,71.23,98.97,98.97,70.92,70.92,68.28,59.73,68.87,93.51,100,52.07,88.79,88.89,15.9,66.57
DJI,Djibouti,9.7,20.88,55.83,48.49,62.45,62.84,58.13,18.14,19.24,68.25,68.25,62,62,5.71,0,0,NA,4.42,2.07,12.86,1.27,4.16,NA,43.08,40.52,42.02,80.61,83.69,100,100,38.76,NA,NA,NA,84.15,100,64.77,12.64,6.7,18.57,55.51,59.48,46.68,NA,86.34,11.07,11.07,32.05,32.05,32.86,29.44,43.98,NA,37.02,34.7,34.58,0,NA,26.92
DMA,Dominica,40.43,41.42,100,9.86,81.79,83.15,81.78,60.34,55.95,57.85,57.85,100,100,39.73,2.47,0,13.94,70.38,89.84,80.95,27.66,25.42,NA,0,75.63,86.26,47.95,28.85,25.4,100,37.54,33.83,31.41,38.34,NA,NA,NA,48.03,50.19,45.86,49.44,41.82,60.38,NA,38.04,39.07,39.07,48.65,48.65,50.38,47.59,42.08,NA,52.43,43.5,49.74,36.28,100,46.06
DOM,Dominican Republic,21.21,35.03,63.11,39.96,63,58.82,29.81,49.97,46.91,20.94,20.94,34.34,34.34,62.18,59.65,86.84,100,70.06,95.84,39.19,27.31,53.28,80.46,7.36,49.82,48.58,88.1,99.25,100,100,53.17,9.05,11.43,4.63,39.77,35.79,44.63,28.76,20.97,36.56,90.72,86.83,100,NA,55.4,34.63,34.63,21.62,21.62,23.77,29.65,4.78,8.29,28.88,17.35,25.7,0,64.52,38.39
ECU,Ecuador,22.64,49.68,66.27,34,49.46,69.22,14.69,57.05,54.71,47.12,47.12,7.8,7.8,52.9,49.43,75.92,13.73,64.44,64.5,38.3,40.64,41.11,21.25,14.99,81.47,83.25,72.34,72.44,91.61,83.2,42.13,22.19,21.18,24.07,60.64,57.54,64.41,54.41,45.48,63.34,39.18,38.61,43.33,16.67,34.19,36.8,36.8,41.92,41.92,42.8,56.78,75.12,8.62,57.57,39.22,43.73,26.52,41.7,45.46
EGY,Egypt,0,56.39,28.79,27.4,25.73,3.01,37.05,50.58,53.72,0,0,26.5,26.5,33.12,17.17,26.61,5.11,42.63,44.56,29.02,24.29,38.98,82.63,73.59,52.13,76.07,37.35,30.5,23.82,30.29,64.79,50.39,49.42,52.19,33.56,27.76,40.63,70.15,57.22,83.08,53.41,55.97,50.93,56.69,44.35,62.61,62.61,42.57,42.57,44.14,64.79,69.7,13.97,46.64,40.5,45.52,23.75,5.02,38.48
SLV,El Salvador,12.73,35.61,41.16,61.8,46.99,36.22,2.93,47.93,48.27,34.82,34.82,72.03,72.03,23.46,0,12.68,100,24.06,45.48,24.57,20.38,16.42,NA,44.31,48.18,38.28,30.72,17.84,19.39,29.94,55.7,24.41,24.55,24.14,1.25,0,2.78,69.02,53.12,84.91,52.19,55.79,54.42,0.35,50.11,2.5,2.5,30.47,30.47,27.31,41.25,61.82,8.45,44.29,29.78,32.56,0,100,29.54
GNQ,Equatorial Guinea,0,45.84,22.64,82.96,52.28,66.2,18.1,35.25,33.97,34.83,34.83,54.74,54.74,48.56,37.78,7.47,100,59.16,100,31.77,27.54,70.54,NA,30.14,72.37,77.62,60.11,95.45,44.29,15.94,84.77,25,19.82,34.61,21.83,34.58,6.24,46.68,44.33,49.03,59.5,26.55,100,NA,64.93,31.09,31.09,44.86,44.86,49.85,53.75,53.05,8.29,48.74,41.19,46.61,43.44,41.3,40.52
EST,Estonia,93.45,72.05,75.23,65.72,60.88,37.75,70.18,71.45,71.16,54.44,54.44,100,100,67.06,82.49,94.17,46.62,65.78,95.6,25.27,15.36,95.49,50.41,93.43,38.23,16.43,60.24,53.94,69.26,90.06,27.71,6.9,4.04,12.22,58.52,55.55,62.15,98.41,96.81,100,55.84,55.39,61.75,0.26,68.74,91.69,91.69,90.58,90.58,100,100,54.67,64.74,90.02,79.65,95.91,100,62.21,74.79
SWZ,Eswatini,21.24,16.76,32.84,90.76,37.74,36.4,17.06,28.37,29.65,55.2,55.2,55.35,55.35,24.61,NA,NA,NA,15.53,28.67,25.25,20.73,15.79,NA,88.3,43.73,44.1,NA,NA,NA,NA,NA,16.3,13.75,21.04,45.99,46.02,45.96,48.95,37.75,60.15,58.78,42.26,77.8,NA,71.77,16.95,16.95,45.3,45.3,42.62,49.73,55.7,NA,60.55,44.3,46.57,28.92,71.66,34.41
ETH,Ethiopia,53.83,8.62,47.55,100,34.57,69.63,13.68,19.89,21.63,50.26,50.26,40,40,39.1,NA,NA,NA,56.5,29.02,25.36,28.77,49.65,100,48.93,39.83,35.13,NA,NA,NA,NA,NA,19.63,23.25,12.9,84.37,90.85,76.46,22.98,15.74,30.21,63.6,46.53,80.49,100,62.78,2.96,2.96,25.81,25.81,29.12,22.65,0.61,50,28.4,30.43,20.71,0,14.72,33.88
FJI,Fiji,31.31,24.91,66.89,38.19,91.91,65.5,49.67,45.7,44.14,34.64,34.64,90.23,90.23,13.51,21.18,4.29,86.73,8.14,5.46,8.9,4.13,3.95,NA,16.4,65.09,82.88,72.13,36.97,100,100,51.55,30.33,25.88,38.59,53.81,56.2,50.87,54.69,53.41,55.97,58.47,70.53,46.91,NA,30.28,39.88,39.88,42.26,42.26,51.21,31.05,27.64,8.29,62.08,39.66,43.68,20.43,100,35.54
