iso,country,PMD.new,HFD.new,OZD.new,NOD.new,COE.new,SOE.new,VOE.new,USD.new,UWD.new,HMT.new,PBD.new,WMG.new,SMW.new,BDH.new,MHP.new,MKP.new,MPE.new,TBN.new,TKP.new,PAR.new,PAC.new,SPI.new,SHI.new,RLI.new,BHI.new,BER.new,FSH.new,FCD.new,BTO.new,BTZ.new,RMS.new,FOR.new,TCL.new,KFL.new,GRS.new,GEL.new,KGL.new,APO.new,NXA.new,SDA.new,AGR.new,SNM.new,PSU.new,RCY.new,PRS.new,WRS.new,WWT.new,PCC.new,CCH.new,CDA.new,CHA.new,NDA.new,FGA.new,BCA.new,GTP.new,GTI.new,GHO.new,LUF.new,EPI.new
NER,Niger,19.33,4.23,22.99,96.05,50.58,69.9,24.34,9.99,10.73,34.85,34.85,4.1,4.1,58.42,NA,NA,NA,68.29,82.63,29.96,31.61,81.77,78.68,76.81,38.95,36.33,NA,NA,NA,NA,NA,NA,NA,NA,55.97,59.38,51.81,27.37,18.75,35.98,60.65,33.12,100,4.21,77.67,6.84,6.84,12.46,12.46,16.19,14.57,0,8.29,4.15,23.5,1.89,0,NA,31.1
NGA,Nigeria,4.16,12.19,27.71,80.07,19.99,51.39,16.93,19.27,19.25,42,42,32.85,32.85,37.43,0,NA,NA,44.62,88.41,25.96,11.67,64.2,55.8,72.57,19.27,5.75,64.89,95.32,58.21,56.31,49.72,8.37,7.4,10.16,32.12,36.2,27.15,39.07,36.21,41.93,72.5,50.27,100,100,47.25,40.67,40.67,38.11,38.11,34.01,63.81,6.11,10.28,25.42,44.44,45.46,23.87,52.41,32.85
MKD,North Macedonia,10.37,46,55.16,84.84,58.54,21.21,37.1,70.65,66.92,44.63,44.63,67,67,53.89,NA,NA,NA,89.37,46.35,33.76,27.67,76.19,NA,77.51,28.61,32.1,NA,NA,NA,NA,NA,19.38,19.54,19.08,48.06,45.24,51.51,52.03,81.72,22.34,44.72,39.44,55.02,3.08,56.73,4.86,4.86,49.44,49.44,47.69,72.68,95.22,26.77,100,38.95,48.37,32.86,65.76,46.17
NOR,Norway,100,100,58.62,28.41,64.55,54.82,58.42,94.59,91.68,100,100,99.26,99.26,58.92,33.03,93.86,14.3,75.64,95.86,34.03,20.85,58.24,87.24,84.34,63.27,74.03,61.78,91.41,40.05,49.86,65.82,13.52,13.19,14.13,100,100,100,68.39,72.75,64.04,28.75,18.94,44.81,0.35,26.78,73.95,73.95,62.65,62.65,62.55,57.46,56.32,61.08,94.9,43.13,79.94,72.24,49.44,69.24
OMN,Oman,0.25,100,34.09,54.13,52,26.28,34.83,77.13,61.84,52.47,52.47,100,100,55.97,60.06,73.71,12.66,96,54.29,24.89,29.95,56.76,100,66.13,44.77,43.9,78.08,82.54,100,99.99,29.79,NA,NA,NA,46.59,47.86,45.02,74.55,49.1,100,64.34,66.14,70.29,0.37,62.76,100,100,23.47,23.47,34.98,37.84,15.23,14.52,80.69,1.92,21.47,0,NA,48.5
PAK,Pakistan,2.42,11.41,0,76.71,0,9.69,17.7,27.26,26.1,22.5,22.5,27.19,27.19,25.34,0,0.29,25.52,54.05,62.39,13.76,10.47,46.64,52.85,65.06,2.86,8.43,60.19,90.54,53.75,51.4,45.08,52.16,51.16,54,73.95,83.32,62.5,34.13,34.84,33.41,34.21,33.85,37.15,19.61,28.9,38.11,38.11,29.76,29.76,38.97,22.75,6.98,13.55,54.86,31.7,28.46,0,19,29.03
PLW,Palau,46.23,57.78,95.32,6.44,88.29,100,90.75,49.78,35.76,50.23,50.23,90.8,90.8,57.62,93.95,97.9,1.72,30.07,97.29,42.97,27.63,11.99,NA,45.18,69.23,36.56,86.79,99.97,100,100,47.21,41.09,41.09,NA,NA,NA,NA,51.84,52.52,51.16,52.3,29.33,77.84,NA,77.78,55.17,55.17,35.78,35.78,48.24,46.4,47.82,NA,52.3,19.69,17.62,30.79,100,49.47
PAN,Panama,32.27,66.21,62.01,35.59,64.75,65.29,32.68,50.68,49.06,52.95,52.95,0,0,63.01,21.03,76.72,75.39,93.4,83.75,55.02,50.58,71.52,28.52,20.82,72.38,71.41,76.52,46.94,82.33,76.8,100,16.76,16.32,17.58,15.77,9.26,23.72,53.89,42.39,65.39,35.22,30.4,43.29,0.2,53.94,54.4,54.4,33.27,33.27,35.77,38.75,43.1,8.29,55.24,27.62,42.72,0,42.45,45.14
PNG,Papua New Guinea,40.78,3.29,100,62.57,79.33,45.75,0,25.03,26.38,33.52,33.52,12.33,12.33,14.08,4.33,0.05,100,11.84,3.87,11.76,5.9,8.22,66.75,56.97,81.95,99.27,89.57,74.06,98.18,98.85,87.17,21.7,22.61,20.01,45.52,36.07,57.07,50.5,45.58,55.43,73.2,57.65,100,12.2,75.21,7.29,7.29,32.45,32.45,30.94,32,48.76,50,44.57,34.01,31.3,0,40.74,28.94
PRY,Paraguay,21.61,29.17,33.82,46.22,50.41,83.87,0,54.47,54.77,52.78,52.78,57.95,57.95,43.8,NA,NA,NA,48.92,61.4,22.21,27.08,51.53,1.3,84.56,57.65,57.64,NA,NA,NA,NA,NA,6.68,7.44,5.27,28.63,17.68,42.02,38.12,33.94,42.29,80.97,83.33,80.88,59.37,79.74,27.36,27.36,40.01,40.01,41.17,52.79,57.63,8.29,47.42,37.47,43.49,33.87,33.11,38.95
PER,Peru,27.45,45.65,61.29,15.73,54.06,57.15,11.07,51.2,52.74,67.49,67.49,62.94,62.94,44.12,32.15,49.35,45.08,71.19,47.66,23.85,33.24,44.74,25.91,20.94,83.62,85.78,79.58,59.95,94.88,94.81,68.69,19.03,18.76,19.51,71.02,72.26,69.51,40.42,31.58,49.26,38.73,33.88,48.72,8.68,37.4,52.42,52.42,29.52,29.52,29.14,42.29,33.13,9.74,55.86,28.43,33.26,0,46.75,41.01
PHL,Philippines,13.31,16.89,81.7,39.9,60.14,12.73,21.27,45.91,37.03,29.79,29.79,0,0,28.3,5.22,16.74,46.15,51.48,37.15,24.33,20.19,42.7,57.91,38.39,33.38,25.12,76.73,85.31,77.35,76.36,67.9,15.96,18.61,11.03,16.63,13.09,20.96,24.08,23.13,25.02,67.58,73.53,69.68,9.16,49.83,68.05,68.05,25.47,25.47,25.15,38.64,11.92,12.1,50.17,26.27,28.53,0,26.64,27.87
POL,Poland,33.52,71.69,53.66,58.8,57.91,35.4,62.12,82.03,72.03,54.76,54.76,99.8,99.8,72.23,NA,91.21,35.73,100,93.42,35.25,35.48,100,50.41,93.96,23.81,4.28,57.53,77.22,34.06,84.02,34.81,8.34,10.61,4.12,59.19,56.97,61.89,91.34,85.28,97.41,54.95,64.69,47.39,0.93,72.04,79.25,79.25,58.1,58.1,59.33,65.71,66.59,59.96,77.61,41.1,58.78,67.26,100,61.77
PRT,Portugal,67.69,98.59,52.81,29.8,59.55,44.77,48.17,94.49,93.67,70.7,70.7,96,96,53.14,44.3,70.11,1.85,77.25,79.98,33.43,21.24,61.87,68.39,61.06,27.28,31.09,36.21,16.85,37.15,41.71,49.13,0.29,0.45,0,24.03,13.31,37.13,75.43,84.68,66.18,27.55,16.26,39.34,1.68,72.06,85.33,85.33,70.78,70.78,78.08,47.53,77.98,41.06,100,60.81,77.8,100,34.33,62.74
QAT,Qatar,4.88,100,35.31,32,39.19,19.69,20.47,81.72,68.85,73.08,73.08,100,100,44.32,26.76,30.61,54.12,44.93,94.55,28.64,27.38,65.36,NA,29.34,48.24,39.56,79.26,59.68,100,100,57.37,NA,NA,NA,54.61,39.44,73.15,60.36,41.87,78.84,14.4,6.23,21.43,NA,39.88,99.95,99.95,23.58,23.58,32.2,51.79,2,12.09,92.98,0,23.84,0,NA,45.07
COG,Republic of Congo,7.33,14.47,19.54,39.48,31.34,50.94,0,20.49,21.89,35.29,35.29,26.2,26.2,61.87,NA,52.21,11.77,83.24,60.62,39.11,60.82,79.73,59.14,88.27,74.56,86.78,58.4,57.19,63.65,65.18,47.57,17.44,20.14,12.42,85.4,85.04,85.84,32.42,52.08,12.76,61.97,36.37,100,9.47,66.13,7.92,7.92,33.46,33.46,37.7,46.39,40.96,8.46,46.67,35.36,26.82,16.74,45,38.91
ROU,Romania,23.31,63.32,70.83,66.86,58.48,38.53,50.65,63.17,64.59,51.41,51.41,99.61,99.61,58.75,NA,97.06,20.89,68.87,81.12,31.73,20.68,71.68,35.76,55.52,12.84,6.88,34.99,87.35,2.62,0,50,18.08,20.61,13.38,45.19,42.95,47.93,81.63,63.26,100,54.67,59.76,49.04,19.07,84.44,30.68,30.68,56.95,56.95,59.24,59.63,59.88,40.09,60.06,47.37,60.63,60.49,100,53.94
RUS,Russia,34.39,78.56,61.25,51.23,59.19,31.87,56.65,66.51,72.64,28.3,28.3,89.3,89.3,27.95,3.13,7.45,84.12,34.02,30.97,19.84,11.67,58.74,56.55,81.2,69.18,81.76,55.55,19.8,84.68,74.03,43.69,14.57,11.53,20.23,78.33,79.82,76.51,46.98,37.69,56.27,61.98,45.06,79.52,100,52.96,21.45,21.45,34.26,34.26,45.84,41.36,10.19,26.52,38.17,16.26,37.67,20.04,49.83,40.72
RWA,Rwanda,40.26,8.37,33.78,70.9,10.97,0,13.56,20,21.27,49.96,49.96,32.83,32.83,34.3,NA,NA,NA,29.81,51.14,29.43,8.29,50.58,NA,66,32.73,17.65,NA,NA,NA,NA,NA,13.04,12.11,14.76,26.84,21.17,33.78,7.93,15.87,0,55.8,50.71,64.25,29.11,65.86,0,0,23.21,23.21,0,37.34,67.96,50,24.24,35.2,34.85,0,22.19,26.42
KNA,Saint Kitts & Nevis,47.44,78.4,100,12.13,82.49,61.43,90.69,57.8,51.36,60.36,60.36,100,100,36.43,46.32,4.48,0,31.78,65.46,66.67,35.17,15.36,NA,0,66.28,69.42,39.23,5.91,0,100,51,36.61,37.52,34.91,NA,NA,NA,48.17,50.42,45.91,44.33,26.01,63.05,NA,77.78,46.05,46.05,37.34,37.34,45.12,15.97,0,50,52.03,28.64,41.02,13.62,100,44.58
LCA,Saint Lucia,42.53,51.78,100,16.64,81.48,75.84,86.28,55.71,52.43,72.59,72.59,100,100,38,11.69,5.79,100,52.04,44.49,76.87,47.85,21.8,NA,7.99,74.22,59.24,88.99,79.26,100,100,76.69,34.37,35.37,32.52,NA,NA,NA,48.14,50.15,46.14,34.3,29.66,41.68,NA,21.67,34.65,34.65,39.23,39.23,43.33,44.54,34.06,26.5,50.46,33.18,40.53,9.97,100,44.52
WSM,Samoa,68.06,10.63,43.36,62.92,96.73,99.15,100,62.25,49,42.9,42.9,26.6,26.6,9.87,2.26,0.36,0,26.19,14.73,10.68,3.98,8.53,NA,25.97,40.55,17.9,74.79,39,100,100,60.14,NA,NA,NA,NA,NA,NA,64.77,74.06,55.47,46.87,30.45,63.54,NA,77.78,43.81,43.81,55.99,55.99,46.61,80.24,100,NA,61.59,54.7,55.2,57.66,NA,39.29
STP,São Tomé & Príncipe,37.66,15.45,19.86,38.71,66.92,100,86.96,35.83,36.85,48.48,48.48,35.25,35.25,39.26,0,9.09,100,100,59.26,NA,NA,35.06,NA,9.48,NA,NA,72.73,99.66,99.55,64.72,26.98,100,100,100,NA,NA,NA,14.05,8.41,19.7,37.8,21.22,57.64,NA,44.84,6.74,6.74,43.42,43.42,50.02,36.15,19.2,NA,32.25,45.93,46.01,25.19,11.16,41.03
SAU,Saudi Arabia,0,96.35,30.9,37.6,55.06,6.22,42.4,66.18,54.11,35.51,35.51,92.27,92.27,27.82,14.26,1.26,0,39.58,7.43,26.35,34.07,70,100,70.21,44.64,45.04,54.14,50.7,55.49,60.6,49.78,NA,NA,NA,70.4,71.96,68.48,51.13,46.39,55.87,23.26,6.66,43.11,0.61,53.07,58.43,58.43,30.6,30.6,44.15,40.5,14.83,10.9,97.11,4.04,33.98,11.22,NA,38.74
SEN,Senegal,39.64,9.97,35.8,61.96,53.75,14.36,29.43,25.45,26.67,54.77,54.77,5.1,5.1,45.2,26.42,10.19,13.77,91.05,64.68,32.33,32.01,75.79,100,92.69,20.14,26.57,63.44,54.88,79.92,55.19,63.74,19.63,9.73,38.01,69.47,67.76,71.56,18.81,17.16,20.46,67.51,45.81,100,5.69,86.47,17.22,17.22,22.13,22.13,23.63,31.36,12.59,8.29,30.24,27.48,22.74,0,0,33.34
SRB,Serbia,12.85,39.7,56.91,74.93,58.15,24.94,39.77,78.22,72.59,45.67,45.67,99.34,99.34,40.58,NA,NA,NA,42.4,52.88,28.43,9.43,73.56,45.7,72.97,12.25,11.07,NA,NA,NA,NA,NA,20.95,23.99,15.3,32.75,26.67,40.19,77.97,100,55.94,60.73,76.18,48.79,16.18,46.3,34.03,34.03,49.69,49.69,53.32,61.83,39.75,34.74,73.37,37.27,49.71,45.51,100,44.94
SYC,Seychelles,49.96,86.11,54.65,21.02,84.62,96.97,99.41,58.51,46.93,67.31,67.31,84.4,84.4,55.5,50.24,91.38,4.18,73.34,89.17,39.95,28.24,40.54,NA,0,39.67,11.79,75.81,53.91,100,98.02,51.3,66.69,67.21,65.73,65.61,68.21,62.43,10.15,2.89,17.41,50.96,61.55,34.37,NA,77.78,49.7,49.7,31.5,31.5,35.25,26.03,77.47,NA,0,23.12,34.75,0,100,50.03
SLE,Sierra Leone,37.38,4.42,33.49,70.15,34.99,65.39,10.43,10.61,10.9,33.83,33.83,15.07,15.07,31.27,10.7,5.5,4.92,42.79,63.25,24.97,12.34,65.48,100,75.07,26.49,30.27,58.12,96.22,98.69,37.57,0,0,0,0,76.34,63.83,91.64,23.4,22.02,24.78,63.53,35.43,100,NA,52.82,16.45,16.45,28.4,28.4,26.27,22.93,24.28,50,49.23,31.73,28.66,0,30.48,29.26
SGP,Singapore,46.53,91.42,59.16,10.04,58.58,7.67,31.59,96.16,91.46,73.92,73.92,100,100,17.54,0,NA,NA,16.54,14.94,10.71,1.96,56.51,NA,64.15,24.16,18.01,87.06,NA,100,100,61.17,9.79,9.89,9.61,35.11,21.37,51.9,79.49,58.98,100,20.51,34.37,0,NA,46.02,100,100,42.93,42.93,46.76,46.04,70.9,12.77,79.5,18.02,71.44,9.32,8.79,46.06
SVK,Slovakia,36.1,92.78,50.9,80.57,56.08,36.68,46.85,88.12,71.79,53.18,53.18,96.7,96.7,68.05,NA,NA,NA,90.34,91.41,39.55,37.17,99.35,35.4,86.74,19.57,8.57,NA,NA,NA,NA,NA,16.64,18.05,14.03,48.09,47.24,49.13,88.07,76.15,100,76.6,65.19,100,0.5,79.58,81.97,81.97,56.87,56.87,61.86,56.56,38.32,51.6,67.97,45.66,59.69,68.04,58.93,62.37
SVN,Slovenia,52.87,74.65,43.09,71.12,50.25,45.94,37.32,91.69,81.4,94.88,94.88,82.37,82.37,68.57,NA,NA,NA,100,87.26,43.77,36.81,94.3,NA,44.64,25.26,20.01,NA,NA,NA,NA,NA,16.73,20.43,9.86,57.26,56.65,57.99,96.47,100,92.94,39.85,43.5,34.46,15.53,70.88,82.08,82.08,59.85,59.85,60.96,69.6,60.66,63.4,100,45.85,61.54,72.51,21.99,64.95
SLB,Solomon Islands,47.54,0,100,20.12,93.85,97.36,35.22,34.49,36.52,9.12,9.12,9.54,9.54,10.28,2.68,5.88,95.94,1.71,4.99,5.86,1.65,2.85,NA,25.38,87.3,85.94,73.27,45.6,100,100,47.47,13.61,15.23,10.62,NA,NA,NA,66.14,77.51,54.77,51.81,14.22,100,NA,42.06,0,0,42.24,42.24,51.83,20.62,40.15,NA,65.2,42.71,38.85,15.54,34.98,29.23
ZAF,South Africa,10.56,38.05,34.91,54.98,13.33,3.91,19.71,26.28,25.85,54.42,54.42,68.59,68.59,28.92,48.47,16.17,47.73,29.93,25.17,16.62,10.04,38.59,70.56,57.95,39.13,35.18,52.57,57.67,50.51,47.42,54.68,8.14,10.1,4.48,73.06,73,73.13,63.46,71.96,54.96,49.79,46.3,52.6,38.48,73.52,21.59,21.59,44.36,44.36,53.56,55.19,44.84,14.15,92.89,34.75,35.5,42.52,55.74,37.6
KOR,South Korea,37.43,100,38.72,36.56,14.63,0,21.94,90.96,84.99,100,100,94.07,94.07,34.78,17.27,56.33,1.93,58.99,33,21.16,15.31,56.16,60.37,6.86,21.14,18.43,39.3,36.27,39.89,20.11,60.93,21.31,17.09,29.14,13.09,18.35,6.67,100,100,100,36.96,45.47,25.35,33.49,48.26,99.43,99.43,50.44,50.44,57.3,35.72,67.41,31.9,94.76,31.98,54.19,53.28,100,52.65
ESP,Spain,64.01,96.08,39.84,31.19,63.84,46.31,45.37,90.63,92.38,89.33,89.33,100,100,59.9,58.64,92.13,0,93.62,64.67,35.19,24.01,74.36,53.73,34.3,24.33,27.65,38.69,37.67,27.86,39.5,49.73,7.77,8.41,6.59,51.39,50.05,53.02,94.77,89.55,100,40.49,32.08,40.14,100,67.79,81.24,81.24,67.45,67.45,66.44,49.57,70.11,90.58,100,53.19,70.66,85.13,100,66.28
LKA,Sri Lanka,17.85,26.59,32.69,55.97,38.75,20.82,23.32,54.88,48.26,44.66,44.66,22.54,22.54,35.11,12.95,16.55,0,84.32,49.88,35.69,32.49,37.67,93.32,0,19.13,28.04,55.53,60.34,67.46,58.08,36.23,20.42,19.77,21.62,43.99,44.95,42.81,53.34,57.49,49.18,76.6,66.7,100,3.77,61.28,1.11,1.11,48.71,48.71,52.3,43.9,61.53,8.29,57.18,48.83,59.1,36.74,23.1,39.58
VCT,St. Vincent & the Gren.,35.34,57.12,100,17.05,80.75,73.54,89.16,55.29,53.28,48.3,48.3,100,100,38.48,10.73,7.49,13.64,58.08,61.57,81.42,41.89,27.9,NA,0,75.33,47.11,82.3,39.95,99.03,100,90.24,30.62,30.93,30.03,NA,NA,NA,48.61,51.32,45.9,84.88,73.49,100,NA,77.78,36.07,36.07,44.3,44.3,43.99,47.87,49.53,50,54.15,39.33,44.63,20.93,100,46.12
SDN,Sudan,1.73,14.47,28.89,75.91,57.96,63.59,23.57,42.57,45.86,4.39,4.39,27.06,27.06,17.43,15.69,1.72,100,8.27,16.86,14.08,2.07,25.71,91.97,75.46,34.81,32.49,86.96,76.46,100,100,71.38,58.24,35.75,100,64.64,71.37,56.41,50.35,42.62,58.08,60.89,24.3,100,100,74.75,0,0,37.9,37.9,49.25,51.16,46.88,13.42,41.9,46.62,15,35.24,0,31.31
SUR,Suriname,12.69,51.68,94.67,39.12,72.19,83.81,18.52,46.08,39.79,53.11,53.11,5,5,49.91,37.82,57.9,100,34.1,32.61,59.56,31.57,72.09,28.09,33.88,100,100,44.4,41.44,45.07,37.45,53.65,27.11,26.51,28.21,78.85,77.56,80.42,50.23,43.66,56.81,50.47,42.74,69.21,0.03,28.3,23.83,23.83,43.22,43.22,46.37,56.65,44.88,NA,40.89,34.59,42.69,29.11,65.68,44.54
SWE,Sweden,100,100,67.97,35.8,66.33,77.04,76.03,97.02,94.45,92.63,92.63,96.6,96.6,48.29,NA,54.3,10.81,44.6,69.25,24.84,16.56,78.1,35.64,96.9,54.03,59.96,52.01,45.79,50.89,76.35,35.03,8.66,5.63,14.28,97.47,95.39,100,85.28,95.47,75.09,51.96,49.66,57.67,4.68,76.55,92.83,92.83,67.46,67.46,62.39,51.46,57.94,65.69,80.34,50.27,100,67.79,60.81,69.2
CHE,Switzerland,77.71,100,46.96,45.87,58.85,72.28,48.13,100,97.05,85.09,85.09,100,100,36.4,NA,NA,NA,34.01,22.5,50.72,10.05,57.95,40.7,86.35,34.92,26.4,NA,NA,NA,NA,NA,20.75,22.59,17.33,59.11,63.52,53.71,97.08,100,94.15,39.61,41.49,28.3,100,50.89,99.29,99.29,69.12,69.12,64.55,42.4,41.41,64.4,100,52.98,100,74.56,100,64.06
TWN,Taiwan,42.56,58.35,50.2,21.98,40.59,10.13,35.45,69.84,64.1,84.11,84.11,97.88,97.88,33.29,11.15,2.23,48.67,65.39,79.44,18.11,27.71,36.54,19.8,NA,38.64,46.09,34.53,42.52,69.29,26.31,0,31.93,31.78,32.22,15.48,14.25,17,100,100,100,31.72,42.96,17.29,NA,34.79,16.2,16.2,47.54,47.54,53.72,48.86,56.84,37.05,81.93,28.84,52.79,44.88,NA,46.02
TJK,Tajikistan,9.57,12.8,22.8,78.06,52.72,35.2,33.72,37.67,42.37,6.71,6.71,0,0,35.31,NA,NA,NA,52.99,23.12,20.64,29.48,33.06,70.06,95.97,46.28,49.97,NA,NA,NA,NA,NA,59.43,60.1,58.19,81.37,85.98,75.73,7.26,7.5,7.01,50.06,53.34,51.22,0.78,57.24,5.17,5.17,16.21,16.21,1.66,25.29,10.17,100,36.33,18.55,12.14,0,5.16,26.75
TZA,Tanzania,56.88,10.6,54.51,61.35,54.52,70.91,17.28,24.29,25.85,66.04,66.04,7.5,7.5,64.92,37.57,66.24,32.16,98.06,82.13,58.63,63.45,70.97,96.63,36.44,50.82,44.32,60.09,58.28,79.09,77.4,25.61,11.78,10.35,14.44,67.32,59.46,76.93,47.73,25.61,69.85,69.97,42.98,100,NA,99.58,16.12,16.12,15.57,15.57,14.68,12.26,0,NA,29.31,21.95,15.66,0,20.46,38.89
THA,Thailand,21.41,54.07,37.1,46.69,32.05,17.5,11.25,61.86,40.89,76.08,76.08,34.55,34.55,47.13,33.52,68.29,6.36,60.01,69.62,21.5,23.18,68.93,64.96,47.28,20.14,24.29,50.34,77.87,33.81,30.58,59.11,15.41,11.73,22.24,25.43,23.82,27.4,45.84,29.85,61.83,48.41,46.91,55.72,5.82,47.54,33.69,33.69,46.44,46.44,54.58,53.26,74.96,10.44,57.19,38.85,47.98,36.42,19.47,43.74
TLS,Timor-Leste,57.65,6.72,36.89,69.7,76.17,92.57,21.54,38.36,39.95,32.07,32.07,0,0,41.02,NA,50.21,100,53.53,56.17,22.06,15.03,33.47,NA,54.47,39.25,20.82,83.33,NA,100,100,50,23.57,24.6,21.66,21.38,20.56,22.38,52.69,50.4,54.97,53.46,35.18,70.86,NA,97.12,8.68,8.68,51.19,51.19,47.06,70.78,42.1,NA,44.18,55.29,51.01,55.15,15.86,41.53
TGO,Togo,29.73,7.86,25.09,68.39,40.23,59.78,21.63,13.15,13.24,35.33,35.33,13.84,13.84,50.99,NA,NA,NA,82.79,80.16,30.27,10.3,53.08,100,77,26.36,15.24,60.91,86.95,66.25,23.29,67.14,15.66,7.63,30.56,49.39,46.38,53.08,43.94,0,87.89,61.94,30.07,100,NA,76.06,15.94,15.94,17.93,17.93,21.56,15.94,0,8.29,22.21,22.42,16.26,0,31.95,31.3
TON,Tonga,69.1,14.68,49.52,60.36,96.76,100,100,65.6,53.66,36.79,36.79,41.3,41.3,9.61,3.75,0.09,0.96,33.06,0.48,12.39,11.52,3.53,NA,19.59,51.01,8.82,79.32,98.38,100,100,18.9,NA,NA,NA,NA,NA,NA,62.91,70.4,55.43,51.23,52.46,56.1,NA,0,30.16,30.16,34.52,34.52,36.26,44.65,13.32,NA,59.3,35.73,32.29,8.89,NA,33.06
TTO,Trinidad & Tobago,16.93,100,94.01,47.23,77.14,81.81,52.25,62.1,56.58,55.68,55.68,100,100,45.18,7.57,0,100,97.33,70.49,74.23,37.61,32.47,NA,21.29,79.04,56.4,53.97,21.98,78.93,65.15,49.85,28.91,24.49,37.12,NA,NA,NA,59.69,51.08,68.3,12.19,5.01,20.56,0,29.14,38.73,38.73,37.08,37.08,51.45,53.26,51.67,8.29,51.85,12.02,27.18,48.02,100,45.9
TUN,Tunisia,12.7,65.07,30.01,44.71,48.28,20.66,45.24,52.45,47.09,55.38,55.38,79,79,28.21,25.77,14.3,100,21.22,56.98,24.67,4.83,24.02,100,61.67,32.98,24.76,49.62,41.36,55.15,50.39,51.58,7.45,7.22,7.87,74.9,77.03,72.29,57.3,46.15,68.45,38.15,23.11,58.7,2.55,59.72,75.9,75.9,42.6,42.6,48.65,52.29,36.42,8.29,50.37,40.63,44.33,28.44,42.25,41.05
TUR,Türkiye,8.58,91.64,21.3,30.98,60.95,39.67,42.05,66.37,58.32,48.58,48.58,93.48,93.48,9.09,15.87,2.03,54.33,0.64,1.01,15.57,0.11,0.85,69.06,42.85,26.9,25.41,56.66,53.45,54.54,50.59,68.07,12.01,13.38,9.47,71.39,69.46,73.75,47.31,65.16,29.45,51.89,51,54.12,NA,42.91,63.45,63.45,29.71,29.71,34.46,26.86,25.09,17.6,100,19.15,33.31,0,44.73,34.32
TKM,Turkmenistan,0,100,43.79,75.93,63.12,56.66,47.54,53.88,59.03,14.38,14.38,1,1,21.23,NA,NA,NA,10.68,26.07,15.29,6.17,21.32,100,92.71,41.22,50,NA,NA,NA,NA,NA,100,100,100,93.49,97.71,88.34,54.89,42.7,67.09,40.22,34.26,43.66,NA,72.26,34.12,34.12,15.39,15.39,16.65,53.7,43.59,12.33,90.79,0,4.14,0,0,34.64
UGA,Uganda,50.36,11.51,44.86,69.61,27.2,25.63,5.79,24.33,26.12,49.48,49.48,40,40,51.88,NA,NA,NA,59,77.64,31.68,19.07,71.07,100,81.33,39.28,16.68,NA,NA,NA,NA,NA,9.03,9.14,8.84,36.77,23.53,52.94,30.77,22.65,38.89,65.52,40.52,100,12.47,92.74,3.91,3.91,25.38,25.38,28.57,18.28,19,NA,24.42,30.46,24.42,0,34.61,34.69
UKR,Ukraine,18.7,54.1,60.21,65.19,61.73,36.22,62.81,70.98,74.37,36.16,36.16,90.84,90.84,54.03,68.43,92.91,1.15,58.47,63.51,22.94,9.27,80.59,25.5,65.8,2.71,0,36.53,23.25,35.28,39.12,48.46,7.88,12.13,0,45.47,40.9,51.06,90.27,80.53,100,83.13,69.79,100,100,64.68,52.43,52.43,51.67,51.67,53.87,54.63,53.59,0,66.44,50.22,55.33,80.01,40.82,51.12
ARE,United Arab Emirates,2.21,100,32.27,15.44,36.24,14.02,13.95,80.42,64.4,73.59,73.59,100,100,52.02,40.8,93.54,26.86,55.1,95.43,22.92,22.15,34.65,89.49,57.44,39.69,29.68,79.63,88.71,82.93,100,46.88,NA,NA,NA,47.93,41.19,56.16,57.32,60.91,53.74,23.25,15.32,31.48,NA,36.71,94.99,94.99,36.12,36.12,50.91,42.15,37.22,12.21,76.72,8.34,40.39,26.52,NA,50.16
GBR,United Kingdom,63.12,95.49,67.68,27.66,64.83,52.87,71.78,100,98.51,88.25,88.25,97.03,97.03,67.28,82.27,97.14,57.79,87.84,97.33,37.31,27.38,43.76,84.27,86.86,27.34,13.55,48.08,55.85,41.24,32.96,62.28,10.4,10.95,9.4,65.21,63.38,67.45,100,100,100,57.54,57.34,55.34,NA,77.03,97.19,97.19,71,71,71.67,69.1,66.28,68.66,84.33,58.45,80.53,100,19.19,71.51
USA,United States,68.56,100,36.2,22.47,57.4,35.85,34.97,88.03,94.02,82.77,82.77,100,100,38.34,45.08,58.73,58.94,37.81,43.75,14.96,14.24,39.36,45.83,42.77,44.11,39.26,47.3,41.7,50.93,45.66,50.89,11.58,11.43,11.85,81.23,73.61,90.54,96.94,93.88,100,77.95,76.25,82.59,NA,57.76,98.06,98.06,48.64,48.64,56.21,46.34,58.57,41.81,100,24.51,53,49.88,56.28,58.54
URY,Uruguay,45.09,76.89,54.47,32.64,76.55,70.04,39.31,77.86,69.91,58.74,58.74,94.76,94.76,17.17,22.34,15.07,8.5,11.65,16.69,9.26,8.98,16.25,100,72.4,33.29,32.66,34.68,50.81,21.68,24.98,41.26,5.22,8.03,0,56.05,58.77,52.72,38.74,36.83,40.66,48.48,56.7,35.04,NA,73.84,26.3,26.3,31.88,31.88,34.69,44.81,13.93,36.38,63.94,19.14,35.43,15.69,31.61,36.91
