"code","iso","country","GPC.raw.1990","GPC.raw.1991","GPC.raw.1992","GPC.raw.1993","GPC.raw.1994","GPC.raw.1995","GPC.raw.1996","GPC.raw.1997","GPC.raw.1998","GPC.raw.1999","GPC.raw.2000","GPC.raw.2001","GPC.raw.2002","GPC.raw.2003","GPC.raw.2004","GPC.raw.2005","GPC.raw.2006","GPC.raw.2007","GPC.raw.2008","GPC.raw.2009","GPC.raw.2010","GPC.raw.2011","GPC.raw.2012","GPC.raw.2013","GPC.raw.2014","GPC.raw.2015","GPC.raw.2016","GPC.raw.2017","GPC.raw.2018","GPC.raw.2019","GPC.raw.2020","GPC.raw.2021","GPC.raw.2022","GPC.raw.2023","GPC.raw.2024"
646,"RWA","Rwanda",1122.99132414558,1072.69710641561,1112.59034456897,984.217529921952,575.367548491022,931.367790069387,888.131009878548,874.694728296322,913.71963460585,945.733218859969,1016.66199090104,1093.18409838429,1220.7394919553,1220.49916686742,1277.19280440829,1360.29587570275,1446.71094686551,1516.26750609324,1641.77767401673,1699.94452992695,1779.15851051568,1874.21498172872,1988.01219478847,2032.40480194092,2106.21454365588,2238.53941469642,2316.63731573814,2351.59686866227,2493.44001744938,2667.46458436613,2520.31739425372,2733.43566762447,2892.4596494282,3062.99909649442,3264.64451474392
652,"BLM","Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,"KNA","Saint Kitts and Nevis",14326.0410656506,14084.6831940102,14557.184258305,15348.6887799847,15955.8375010028,16596.2656266287,17340.2234624221,18288.4943671657,17963.6992379347,18291.4229188676,19840.5800645267,20648.7889741472,20813.4050029806,19927.1818314137,20661.3458642993,22612.7126559455,23258.9842253211,23330.0442404194,25898.782362098,24973.8045286303,24997.5672513427,25380.0087348215,25114.0572603245,26532.1016561724,28530.3072249014,28729.5664476671,29867.0265589791,29948.9200065683,30576.2486749245,31512.1943105685,26736.928356377,26896.6177065977,29749.8700864823,30616.5772813861,30656.4410109367
662,"LCA","Saint Lucia",17222.1486650676,17080.7989746533,18166.2078109226,18004.0320073031,18020.5127590631,18048.780665013,18301.1522745648,17920.0341136871,18786.9976028018,19039.4630213718,18818.8855989431,17993.6372662268,17911.6297765068,18522.5129630157,19715.8297745985,19491.2182260584,20551.0599501307,20759.3043872305,21651.233776084,20907.3343580129,20849.0551242244,21637.8686925992,21515.89963362,21029.2888872138,21214.4773346335,21142.9733304366,21775.4737658629,22422.5970388019,22981.9179294013,22738.2471068581,17142.044063192,19101.1652956675,22962.2818144554,23403.7440265988,24252.4688588491
882,"WSM","Samoa",3990.92671302249,3891.62983852199,3861.88898142388,3986.45388042165,3854.03940619773,4077.99085675777,4333.51287211017,4325.13822221329,4386.51915961412,4448.31977912795,4638.59446502597,4941.1152254089,5183.45456244226,5425.44383557984,5568.34734622237,5914.88970604301,6017.47704264271,6013.27628827658,6182.76327854771,6104.12751491366,6427.31156227698,6616.77109624951,6311.96070235071,6262.3237201791,6247.90480904723,6432.35979168528,6887.30523545285,6919.01572858501,6805.0451717529,7033.52113384546,6745.29241350437,6350.11428353253,6449.36505263745,7383.7457030018,7686.24942571868
674,"SMR","San Marino",NA,NA,NA,NA,NA,NA,NA,66923.0303424248,71024.5594991969,76474.12971597,77149.4159964234,80420.7698522017,79649.5323827511,81688.3786834342,80724.8087680419,81632.1748989576,83781.5473936132,86785.0181147659,85120.2868772715,73093.8317013425,68669.2526491344,64214.1187563372,58176.3777973964,58467.9769550044,58743.5844219421,59647.6594557072,60669.8186167521,59524.5597904018,59194.0442905608,60171.0471344217,55998.0710994561,64745.1316780702,70887.5738998148,70951.7895931976,71149.3993003588
678,"STP","Sao Tome and Principe",3883.20429842266,3844.8963771482,3798.88352929514,3771.28612416062,3788.48370442153,3802.29132302174,3801.08164933858,3784.7902343178,3828.99823839083,3878.13108525246,3852.89042721454,3907.0192818698,3942.76040695115,4161.63833167542,4202.56186898775,4371.49721644127,4644.18044669991,4698.0841696184,4873.1813112046,4919.19529822865,4882.04796466341,4876.47315792145,4919.55294386577,5072.11200195866,5223.09572886388,5210.20377554308,5388.50913348909,5521.20249597415,5674.72379094012,5702.08347071235,5742.94724858827,5732.69456061538,5632.13890715048,5541.30167605351,5491.29829852273
682,"SAU","Saudi Arabia",65196.5733860529,67268.5518488763,67183.9100290945,64517.6652891052,62403.6937320121,60058.3174503511,59612.8125993665,58875.5473738828,58306.622809723,55878.1736494426,55962.2661342789,53309.111388544,50371.9783079833,52234.649280791,54196.5514152952,54931.7942450845,54373.7376953862,53318.4191601834,54407.7081673246,51760.7643987564,54911.5475170118,58645.4459416531,59471.7001909395,57998.4644619154,58872.2671400127,58498.5399040698,57308.4484127497,57942.5484983043,61359.4653740386,62647.7299487843,57420.7335736425,62690.4966645929,67178.5902274906,64481.8441927288,62792.7741476371
686,"SEN","Senegal",2923.34412469673,2917.01427785027,2874.0029796631,2834.02797281319,2757.86087513844,2835.03272874496,2822.46837323857,2840.60808859831,2938.69162551525,3050.17800998696,3093.28791602616,3149.33113703503,3075.23157503111,3170.03494688479,3240.3020166984,3301.82076160815,3301.03152414193,3316.42037834774,3359.70567090311,3371.46166688616,3403.56707165919,3362.87940537331,3405.10864460824,3385.42590686561,3484.01219749798,3593.79477120389,3710.05531589723,3871.4514678592,3998.28635303406,4070.61227058594,4018.04129277358,4173.67741399619,4228.73382642974,4304.76148720233,4460.92372176318
688,"SRB","Serbia",NA,NA,NA,NA,NA,9444.79079229147,10035.0555901615,10965.5278855606,11598.3788474662,10438.5043036479,11105.9948800547,11879.225653864,12661.9921205411,13273.7451115678,14194.4239957639,15077.621172828,15727.4685898419,17028.1573139849,17983.3557621585,17488.1952473271,17841.5052482399,17986.6586186397,17993.8893372708,18163.2800557557,17922.510092839,18247.884779382,18889.4599757384,19439.0723263919,20454.3107079529,21541.2157346761,21479.1679289814,23406.4036315634,24651.9500494587,25735.2402009063,26897.888248383
690,"SYC","Seychelles",15478.8475444227,15695.670838946,16744.5080816034,17596.897761717,16716.5207188923,16552.454781523,17942.1733036627,19895.1422188431,19991.2293154949,19969.3513746175,20633.6746950761,20147.4187656167,19777.7525249721,18825.2206936189,18356.4711447212,19917.1194534221,21341.8597526002,23117.8555224772,21990.3685269705,21361.1307875284,21708.7554506566,24406.4129764105,24919.955210328,24770.6514591794,25379.4180707013,27032.2083880002,29905.1347389952,31595.6680570505,32841.4242467381,34346.0708923483,30056.1994300968,29979.8272686091,27978.1770550937,28635.3563581744,29241.7758048825
694,"SLE","Sierra Leone",2703.59918712825,2734.96862548026,2257.44939868809,2293.56354039047,2240.29005098829,2058.07683318146,2084.1822265,1936.55653107258,1951.82091117813,1903.3269610781,1981.50608696758,1749.35086324104,2089.26152736755,2196.28134548104,2260.83818961545,2296.65767887049,2342.7546113654,2377.80530113361,2404.65198784353,2376.58254518958,2459.76814418709,2590.52839483651,2792.92626544927,3124.72832450941,2812.52832195116,2628.17058146385,2732.26093997048,2753.42719846704,2767.38003381599,2852.66269917495,2752.62615440121,2849.38865926436,2934.73326430435,3034.94608285625,3098.76290609663
702,"SGP","Singapore",45567.7903891463,47251.6944416001,48897.8103415751,53139.844472382,57213.0977645801,59483.6383121124,61381.7523709209,64291.2024694334,60782.1972058001,63746.4792227046,68314.5444027166,65784.4018813783,67744.2702679809,71877.5348633551,78039.024710382,81841.1587801054,86463.8283836608,90417.8073849966,87329.5937792687,84843.5194001734,95456.1893079997,99296.7561111269,101187.825333454,104359.030680724,107066.858613991,108953.724294287,111579.742684331,116471.820764776,119927.769127927,120114.133894235,115893.042395938,132617.354020876,133571.962410322,129555.245509242,132569.525225795
534,"SXM","Sint Maarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50980.9400838984,52140.5996577898,53786.2462000327,53357.003462797,52801.4031054792,52439.4736756048,51375.6032503736,50817.6814942681,46088.3583839153,42154.1020267504,45996.7912346921,39265.7616790568,40507.0672411717,45515.6523389271,46571.0886504627,47303.1947584821
703,"SVK","Slovakia",17528.2431478983,14962.1155726764,13951.9084432838,14163.0137339867,14982.7472163469,15811.9246441708,16744.0673884448,17630.0397577195,18280.0501282626,18174.9801324587,18343.237153675,18914.3903304531,19757.0677888993,20730.2494799351,21851.9549601873,23266.7570493442,25342.3099268358,28075.8072794998,29556.2617975695,27891.8969419418,29758.1740140117,30481.377866428,30907.039248956,31090.9880191144,31901.9424982701,33521.5954764976,34130.5050676203,35057.2223763167,36430.7941704195,37209.5332553074,36216.4002110814,38346.0935768176,38664.9076949852,39518.2209359245,40319.0547230873
705,"SVN","Slovenia",25345.0480419604,23074.6686073269,21845.9628529312,22520.738313268,23747.9865664018,24718.0238296539,25454.1256098665,26806.4627835709,27688.0929526812,29125.8913263147,30055.5726465545,30857.1122043437,31830.5553226686,32827.7514419462,34298.1277435263,35558.3777419198,37539.459301666,39995.2052938397,41278.6090856342,37802.0880186755,38056.1815241775,38226.1255489903,37033.7667541886,36678.8746642096,37655.1979898073,38527.4222549683,39667.4579830072,41692.836279788,43361.094447431,44569.5878416535,42463.5635346195,45914.0572392406,47050.0676441641,47977.426811765,48673.526062426
90,"SLB","Solomon Islands",2352.3992103107,2418.36579584292,2644.50052422748,2669.67595845149,2802.232512019,2996.2716235345,2957.81917928088,2848.31969373435,2805.26621865939,2717.52715749124,2276.82191920056,2055.27436724543,1960.42387516654,2050.30870033396,2168.50586845627,2287.27362263513,2340.65153178621,2384.31783066087,2489.78306207697,2514.89101043351,2682.28532344353,2777.47851512924,2743.45849913875,2783.59190841229,2716.4220021784,2664.72477884762,2715.23362293936,2703.66346303886,2686.11900111375,2661.61667922253,2515.14143211528,2449.87009821452,2330.10309195409,2339.57493302804,2353.24808229243
706,"SOM","Somalia",NA,837.267022795071,803.787078571713,812.557291159158,634.727734128934,636.662071307673,663.351131548354,648.017163551169,662.674857185695,682.979123343567,702.850071117612,723.379732950511,749.913550912114,777.884552733299,803.059780580571,830.807245939909,857.993655901941,887.369352235789,919.132083452824,956.220325392408,995.225555512318,1054.36214979106,1114.80414892809,1197.72166459747,1259.27432882614,1343.92517439606,1384.15517410135,1527.66029071672,1504.97908203481,1491.29493918405,1396.05544674977,1392.31782053371,1387.54753732191,1401.64735228455,1409.33492233283
