code,iso,country,PRS.raw.2015,PRS.raw.2018
275,PSE,State of Palestine,3.306196789,2.524735828
729,SDN,Sudan,0.754312505,1.136272575
740,SUR,Suriname,3.576780169,3.22656925
752,SWE,Sweden,0.97458843,1.05539001
756,CHE,Switzerland,1.863822825,2.20980657
760,SYR,Syria,0.733656379,1.367028877
158,TWN,Taiwan,3.148540292,2.934331725
762,TJK,Tajikistan,0.783455256,1.924205893
834,TZA,Tanzania,0.01478535,0.019059983
764,THA,Thailand,1.885025434,2.360894189
626,TLS,Timor-Leste,0.227001771,0.129773325
768,TGO,Togo,0.80880297,1.077211482
776,TON,Tonga,4.530193917,4.633732992
780,TTO,Trinidad and Tobago,3.479036853,3.18863557
788,TUN,Tunisia,2.024667606,1.812658527
792,TUR,Turkiye,1.896677431,2.569087292
795,TKM,Turkmenistan,0.605005227,1.248226795
796,TCA,Turks and Caicos Islands,1,1
798,TUV,Tuvalu,1,1
800,UGA,Uganda,0.104729648,0.326880001
804,UKR,Ukraine,1.662779401,1.589416528
784,ARE,United Arab Emirates,3.081362725,2.848074462
826,GBR,United Kingdom,0.738050925,1.033774806
840,USA,United States of America,1.93920789,1.900700856
858,URY,Uruguay,1.196659342,1.177003603
860,UZB,Uzbekistan,1.323380806,2.443057862
548,VUT,Vanuatu,3.133294518,2.597394486
862,VEN,Venezuela,2.646933386,2.361006276
704,VNM,Viet Nam,1.885885837,1.825387374
876,WLF,Wallis and Futuna Islands,1,1
732,ESH,Western Sahara,0.560634637,1.1462656
887,YEM,Yemen,0.704097532,1.064217229
894,ZMB,Zambia,1.146291414,0.635885534
716,ZWE,Zimbabwe,0.74204065,0.865242184
