"code","iso","country","GHG.raw.2005","GHG.raw.2006","GHG.raw.2007","GHG.raw.2008","GHG.raw.2009","GHG.raw.2010","GHG.raw.2011","GHG.raw.2012","GHG.raw.2013","GHG.raw.2014","GHG.raw.2015","GHG.raw.2016","GHG.raw.2017","GHG.raw.2018","GHG.raw.2019","GHG.raw.2020","GHG.raw.2021","GHG.raw.2022","GHG.raw.2023","GHG.raw.2024"
50,"BGD","Bangladesh",115865.075169716,121273.883851407,124031.445245023,128563.953456182,133530.946176048,140354.286037655,142326.247130551,147254.346794324,153188.679321796,157936.908082403,167670.17648786,172678.611421524,179612.560584081,180649.332693492,189900.508759291,192982.257977524,198758.173757517,202861.717615751,200036.428109344,203643.64404239
52,"BRB","Barbados",1645.60194706058,1673.26657452836,1665.9734334617,1931.60433725005,1900.65958933292,1763.78446123578,1823.53170550755,1746.83752684323,1729.64013855426,1557.8568300395,1524.20854209399,1562.63836634087,1591.61014336133,1641.80538757698,1587.10387728915,1445.03078137325,1386.18510145383,1513.25252927917,1511.46616808543,1560.91106631925
112,"BLR","Belarus",87249.4617495016,90078.5412502878,88698.4186655514,94497.9263005869,92472.5371942403,94876.1838074413,94490.5084431627,96084.7065480581,97848.4036872057,97115.3883534995,92158.7446689398,90721.5340375714,92579.9313835176,95293.9018465394,95243.8783071378,92582.417540974,94007.3326812783,90340.3294722146,88765.6151786033,89014.4935503305
56,"BEL","Belgium",150402.173578866,148132.586823041,145320.806373221,145384.340867337,132402.514575211,140024.725417047,130449.175659172,127416.147566908,127580.496232932,121705.297042003,125992.402815033,124451.168858121,123484.551042415,124384.802972978,123769.390478154,114893.386246734,118331.056384893,111118.407743408,106090.565010942,106523.422499666
84,"BLZ","Belize",797.481503645856,891.37848531976,954.254014642375,930.628660971811,1034.86274485783,1065.80758387974,1152.61055472477,1015.57074006796,1037.30115858966,1023.9023461259,1218.15408331331,1217.72632704573,1227.97228599039,1221.14363835536,1351.41858914764,1241.62928807048,1288.46083756731,1330.95874225504,1380.50761083974,1430.55443892799
204,"BEN","Benin",7698.4806650936,8755.89061644067,9505.3516163389,9633.78753631117,10143.9869722882,11050.1028611798,11062.7234334797,11165.9117222566,11796.7864165466,12142.2131050313,12891.7490457172,13219.5802347424,13708.2986985453,14219.6721855021,14134.1870314391,14367.2760297996,15105.1721052766,15938.7013449093,16238.1034665665,16631.238331645
60,"BMU","Bermuda",610.406499683002,684.793243190742,759.171757731701,675.043195069235,500.961641968566,634.038653317392,469.168469374729,392.510714343066,561.285750500558,695.189237222618,569.690624823374,644.54660453983,669.531190678788,723.884251249908,620.667736231615,461.33326971761,542.261184422379,556.491335232507,567.508058483814,587.726977213319
64,"BTN","Bhutan",1559.74043411686,1484.47303371953,1483.77241388869,1770.82229686626,1745.13509442294,1986.08772977053,2110.35960770047,2250.72419785213,2434.02506512439,2519.62598988236,2630.34029283464,2793.71449521107,2918.43885992008,2973.03059712776,2847.91915785234,2491.63138982568,2737.81034947859,2806.19168926702,2837.1934386207,2847.73497081988
68,"BOL","Bolivia",34727.1216800221,35049.3140607917,36214.6250576497,36836.0915552172,38007.005879789,41434.4452546846,42185.4071367018,44570.5985235338,45496.3294667083,47311.7645075928,47839.456537146,49509.4148353914,50669.866136468,51511.0837244944,52518.4900423446,48491.7270714938,52767.066007753,55009.2077610533,56877.2694062122,63537.6042476054
70,"BIH","Bosnia and Herzegovina",22293.0756151319,23955.897983825,24268.1948625338,26275.9035635958,26635.3942202218,27234.4505665251,30084.8694756236,28359.4165387797,27887.2338412479,26273.2685775194,25345.4498986789,29354.4606285783,29887.7077498443,30136.5928557954,28637.2543787688,28644.1691119463,28491.0536761642,28291.0073160143,27130.3540032917,26526.5286864368
72,"BWA","Botswana",9767.60093138979,9931.15858033024,9930.27134028482,10826.6471870921,9918.61552174241,11732.732678747,11283.6445125157,11379.7288151215,11881.0398106731,12496.09368719,11458.6734872789,11906.132530966,12423.182799415,13137.1458325733,12518.509304687,11001.1989829494,12358.3852583686,13043.9468681862,13102.5091583403,12603.7539895292
76,"BRA","Brazil",985025.238119704,989054.194083362,1011256.13290394,1046651.82281276,1025445.45933279,1099211.02205592,1133633.33367078,1168318.81873633,1212599.25410875,1247153.24647021,1231574.86673625,1205443.02305572,1209957.73056051,1189524.5451163,1196503.35584325,1184149.61510824,1255310.93201997,1266487.31939648,1287893.4334605,1278080.58288658
92,"VGB","British Virgin Islands",177.570441278219,192.535267196,196.339369057702,203.874502823077,207.832378104491,226.349688272889,222.941386156783,222.959590145075,226.88770360219,230.85235454122,238.199949301676,242.052562388528,194.31137115861,172.302059516764,198.576834470502,195.066258964059,198.915291215906,201.76596380905,201.489179484883,208.787527964627
96,"BRN","Brunei Darussalam",7459.99238225442,9783.53910973319,10634.4541515117,13057.755868179,10664.5231980569,10550.3207795417,12299.2526651288,12149.1741320861,10052.6584463727,11151.4784600558,9284.66139578866,9862.24667987501,11563.7525107464,11664.446320791,11989.0303679784,13738.8061295965,14213.9865268589,14568.7696719221,14825.2318388603,14512.7846363724
100,"BGR","Bulgaria",62923.4206488924,63886.6256361893,67893.8652537534,66216.5743558463,57712.0645402935,59780.9904506141,65465.5998281823,60636.0454716888,55035.1628345523,58254.4320165294,60849.6625303871,58399.5797668984,60601.9331509286,56426.1371776828,55236.9329699003,49626.8471887735,55551.7864803116,60115.2894389617,47093.0120877275,44014.4509047393
854,"BFA","Burkina Faso",20178.2506119693,20748.4444387069,21529.3039404881,22595.4858566144,23168.2771169395,24032.3887063817,24602.3929335277,25653.4422021063,26400.8129795841,27057.8968758981,28463.7539404136,29563.2005209407,30709.3672681156,32036.539326744,33300.0312560328,29756.1568802717,34916.1427334205,35379.6381301863,34227.652827264,34539.6820303249
108,"BDI","Burundi",3237.25782584784,3422.19496470463,3548.73121503984,3698.42608936875,3945.81551615332,4314.92595039349,4568.3505533639,4560.54513133439,5648.14207969516,5567.27820618107,5525.98538357365,5879.35823745172,6585.93388569734,6787.8771349521,6581.38755196614,6483.20961040629,7662.36720664628,7546.86704689029,8022.88405991456,8250.92110446833
132,"CPV","Cabo Verde",640.860522979615,686.804366950016,696.022310986988,662.498592010201,722.134164867695,760.854962632855,822.005492668666,708.597738624908,703.592596144539,703.930317200175,710.770786080436,753.594878402229,780.015778569557,777.032911713096,840.883830606895,733.585487992587,811.825290033019,824.526947273938,800.837815874326,827.211699160532
116,"KHM","Cambodia",24184.5910750174,25951.5945045405,27164.6781291544,28115.5121256942,29480.1015578397,30331.9102935733,31475.2637027154,31371.8260301271,31343.6210932683,32492.1855479466,34272.1828856653,37334.5347291662,39479.2830567995,41701.7274895926,46306.7268240505,48706.6019464514,49983.545637754,48962.4789832027,50816.2025186756,51611.5024932549
120,"CMR","Cameroon",29840.698892914,29098.4224906678,30678.9072641119,30042.1939738106,31502.4512191476,30674.9586374486,30491.8293330971,30671.9585765405,32144.4660543982,34744.2201253049,38688.5977556842,38722.3483413425,36998.5846329356,37005.3596340803,37752.851806222,38440.5622819332,38736.3570210698,39226.3353474473,39240.0987895107,39481.3908644435
