"code","iso","country","CTH.1950","CTH.1951","CTH.1952","CTH.1953","CTH.1954","CTH.1955","CTH.1956","CTH.1957","CTH.1958","CTH.1959","CTH.1960","CTH.1961","CTH.1962","CTH.1963","CTH.1964","CTH.1965","CTH.1966","CTH.1967","CTH.1968","CTH.1969","CTH.1970","CTH.1971","CTH.1972","CTH.1973","CTH.1974","CTH.1975","CTH.1976","CTH.1977","CTH.1978","CTH.1979","CTH.1980","CTH.1981","CTH.1982","CTH.1983","CTH.1984","CTH.1985","CTH.1986","CTH.1987","CTH.1988","CTH.1989","CTH.1990","CTH.1991","CTH.1992","CTH.1993","CTH.1994","CTH.1995","CTH.1996","CTH.1997","CTH.1998","CTH.1999","CTH.2000","CTH.2001","CTH.2002","CTH.2003","CTH.2004","CTH.2005","CTH.2006","CTH.2007","CTH.2008","CTH.2009","CTH.2010","CTH.2011","CTH.2012","CTH.2013","CTH.2014","CTH.2015","CTH.2016","CTH.2017","CTH.2018","CTH.2019"
104,"MMR","Myanmar",189951.651750709,201198.270719669,212813.333088348,224040.837222988,236279.9029462,248796.858122629,264567.769319556,263964.404662504,264985.657591854,267265.012089386,268504.175700914,270341.54885486,270694.375673529,271687.063722277,274245.559614013,279278.99970118,281968.942673823,302265.572564178,317828.129448382,341544.654396729,357463.378974186,373084.048820873,390311.738326818,396309.818426925,367165.196550698,419059.783295565,435850.332025959,472082.385131067,493977.566785351,516518.439729614,532793.079208059,563337.570113522,586330.478713568,586469.351289201,616789.060101676,656854.266769732,729539.665432199,751652.479733783,756175.913928924,813082.882100121,841093.011946899,893430.661922064,911779.593201643,985376.926759352,991656.841882481,1020005.25481444,1052514.37866983,1086938.78360146,1198138.55509959,1185882.45784353,1266129.84007391,1307308.91846071,1412313.99672331,1448442.75391483,1598770.4924472,1599619.18236091,1659563.68349415,1598350.05177552,1489873.77768373,1457469.54141001,1439727.98199532,1449800.92194534,1354095.20383731,1325081.83179207,1328552.95245136,1330347.53671514,1429175.19599723,1512061.83263546,1417648.86820025,1333934.89923688
516,"NAM","Namibia",90486.5422472238,229076.605010599,407447.655374003,466637.189136798,445701.986597782,404484.595273838,403384.574808204,404607.260569033,402697.58697782,481895.910163465,496354.54660212,607910.825718926,699964.752924626,1069758.63615349,1573858.71624657,1967371.69657093,2159278.16590868,2976748.39604813,3721315.914871,3477517.83626417,2328505.6745684,2610173.4570862,2223019.10560417,2407366.70199103,2411200.73465637,2636031.57373238,2433593.76714582,2195606.12010162,2501953.40324974,1680478.13068898,1567919.51706876,1894850.35102572,1799177.07627376,1877828.32370703,1732144.44672341,1609658.30437999,1486966.900568,1900151.143548,1430088.37035862,1003616.60298986,866715.004603531,557583.053913565,732390.16062774,862486.309699321,723980.728745139,630868.048092886,569579.750184865,566845.57978126,665552.486727099,634025.071431035,645195.093550639,602843.99139311,680454.876503841,697421.938327447,621495.05940813,607547.452896283,556698.895816464,455044.619858421,407382.290612779,429574.190990736,453717.567415039,588811.807962334,613132.152209024,827936.258027281,699274.614337916,786562.862355447,764439.641255274,759498.310507209,738389.550548662,687243.392395192
520,"NRU","Nauru",4982.8791510583,4257.994766452,440.8851819775,453.7148962145,235.0013306854,306.4981626673,688.9806486308,3684.9217330808,2290.7294796168,1340.2205695075,3003.4530869759,2915.1069658119,3856.4863592718,4649.3022745355,7068.4313745008,2002.2129229455,7168.5145480133,2775.5801247432,4400.1253103208,4836.1610582372,3791.9882938559,5591.8806642399,8848.7726879057,5476.4231374582,8744.6992625995,3622.2748448031,17463.7501032519,16090.5095378347,208.8345470903,261.2977721625,313.5661673161,2442.079509558,548.0346462051,657.8312810953,849.4882600969,826.7348721741,653.3998877227,645.4380288812,2050.9801993841,2611.3325895174,7893.3538321368,3226.4510198836,15212.5499989714,14279.19042603,15078.1341056024,5986.3184789212,11572.0960787825,35582.251048031,59362.1284440974,101898.431557043,66885.785042664,80736.191522351,115103.959875686,29623.1948557472,56547.6589000537,65140.963171941,52075.2798441796,80734.9314208789,71747.7991678702,58308.286930542,67835.8631700092,93192.7144404665,59278.1062839637,129515.178230807,164135.564798529,77542.4897698722,103528.441344576,68890.9633193733,136250.968404501,81729.3484479404
524,"NPL","Nepal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
528,"NLD","Netherlands",172963.071780624,206165.83795893,186484.144147328,230627.754598708,216342.854782179,172254.42071138,176619.42768052,219714.484255189,207576.397254992,257202.741993593,198760.361548265,218291.626379459,215999.642905163,253542.059707393,289539.069271137,245924.724328606,282361.495568205,213658.397445219,243002.571056874,317763.816825323,386415.761392372,297472.437764919,256988.068325871,266750.094846119,263138.175166243,273914.673621044,271510.969238734,218240.461631489,223677.033935896,229033.523777999,246563.655628955,242062.459135881,263807.919326515,242722.426204906,255109.437733927,299851.686229737,306127.120659265,265961.464064442,310674.93796555,325643.198150275,265922.322279155,273903.896760647,296412.224709855,248983.190322523,275840.789268446,293922.053570431,214374.950807115,241627.006338975,257830.598893768,235013.335488982,237320.800173061,239953.985536425,228166.117280012,180887.874332121,180100.60955451,140064.811514798,153234.420334022,117415.678973612,124502.290492105,154521.877083816,169922.375023148,163850.435886391,103531.341347087,142887.525123501,130856.477819607,159791.313337712,124700.898030341,155295.366292973,132674.77578134,102001.292621623
540,"NCL","New Caledonia",2588.9734171602,2590.3020576317,2663.4295883605,3116.5519845695,9534.8724830647,4492.5666941869,3186.1511184535,3180.5261882971,5266.1139409008,5376.9482673891,4073.5539629081,10569.6647707253,13954.745000171,11438.5250851221,10204.0219673485,10739.1818051569,12010.6801330362,10780.9387751333,11475.444289014,12137.3849337567,16175.264974401,15014.2989594822,16417.0907945091,19410.2768761843,17031.6794317631,12397.585059488,10864.3929178325,15277.3732354531,11270.3156665633,12283.3330351025,12341.7853226238,9471.9297698633,11182.8259341939,9691.0972732942,10770.4696869302,12194.3509481108,12804.8838973895,13497.6196529651,13931.0315746977,15020.9463780932,15606.2004401275,17379.8559380887,14489.8416533288,15036.9160782357,11673.2863431079,9651.2956623454,9914.396695579,10776.5433773956,11538.0632102743,12890.9252231598,14324.0336705966,9852.0158933192,9487.0168585985,10815.4773315022,11845.454588204,10401.9621730376,11037.6927494245,12003.23621604,11804.7709978262,10188.8799261914,12165.0122139926,12221.0638011499,12177.1193145387,12096.5648272062,12105.0242501014,11398.6450186548,11551.7942780531,11824.2042346994,11968.2784383549,11907.6644335737
554,"NZL","New Zealand",77779.408959642,77604.4336189829,79805.0727551508,81234.4442718759,82506.2099434814,88654.3951497636,92718.2176103862,95817.3739336025,98562.6817609327,104488.620609439,115193.612362078,109732.867316303,108452.084724894,109090.997954047,119360.82070576,141455.438136837,162399.82662126,168072.129843773,217471.900434407,226246.553150139,246774.858126048,310317.59827331,392587.482853207,377203.898506047,449707.045755483,340213.749644315,468684.842772346,610692.300986488,400831.874972216,479894.447461556,517365.532177923,577820.647261155,553310.28970252,812180.947733905,839708.299458016,704762.584803676,849274.063769695,1157830.67683715,1264578.20913308,1238886.35350913,1110371.99688857,1180123.18110482,1243312.12589153,1039763.35644664,1047640.95596162,1044223.74751865,1012186.41945118,1101880.64059591,1101487.07576135,1006599.75585181,921975.112986077,963816.391006459,971948.881436886,965806.814096153,929136.060798981,892099.026549456,828115.223748964,846343.686745042,780540.828493278,772577.458020174,785066.044741165,791762.002576145,845055.934721339,788847.563761472,798388.102732078,803148.42302831,603370.927602397,630534.519765131,563699.042189086,604385.699685978
558,"NIC","Nicaragua",8142.662329756,8267.0718394912,8444.9826267347,12287.231009677,12543.6277013287,12993.1592469311,15158.2226380536,15354.9698538981,15534.6931551014,15922.1697746119,24408.5203907963,39560.3619494654,28265.9416986295,27930.472406076,27794.6933560292,24664.0055669421,33218.8470089454,36960.7030374162,39736.7348686721,44283.1065318534,46052.8222641064,43210.4202797894,49298.7283025885,52169.0430731774,43465.4661164201,43624.396960879,43475.0384427127,48558.7831417876,44338.5645885205,36902.1513112208,38015.6071353408,33856.9984378115,28325.463552852,20866.2238428104,22220.4259394656,24145.2064197907,19417.3299268239,21782.13847411,27758.3920406829,26300.8453917189,21982.8223891513,29030.4259360239,23333.2577629575,27812.7112336787,34308.2685991052,32616.1010385442,41251.3674045805,41402.2305261266,46719.2099919077,52277.7360207522,42413.5230312842,42307.7390408197,40236.6570403238,38128.7369829958,35721.6404241356,40422.517280207,31631.4910194438,34050.961951101,35302.1414305145,40642.9203754662,42110.2888323043,37826.9760799512,31253.6083854481,40832.3445990861,56117.2208645917,48661.8650003474,55065.2196432416,56142.8090456496,56209.3923022619,59162.1256398226
562,"NER","Niger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566,"NGA","Nigeria",34424.9097308818,34876.6010836167,35304.7028513807,35745.8633280957,36183.9420056952,36618.0783957814,37070.0845331407,37789.35300836,38099.4797415376,38911.3381851419,39459.6457831912,39935.0734444043,43987.5768935583,41273.6800550015,58684.3989131229,65753.3044560219,62027.5797331452,70595.6088885491,68442.4659147407,64190.7771057654,83858.8702604184,148541.352654279,152155.399366111,149639.3049502,152493.94658237,150141.383066024,152231.254414856,156183.436866708,154005.945071052,156818.229479445,159246.652698212,187313.638907004,203793.262466648,217654.373262958,228734.858236125,247861.02633224,267291.64918783,287594.072173974,306995.652020068,325493.58470767,344823.916565425,364706.128881932,385739.31811579,402710.045720408,420076.242216474,437210.50743609,451823.52762263,464579.899216704,477792.234512082,491035.174510106,502429.001950328,517179.975496442,528569.34269297,499421.5097774,541749.144118436,543090.37104776,535309.236178238,528160.011914117,519714.169795254,509177.93189265,493278.304988781,480443.244457891,472922.907583692,459238.31682141,485999.319586221,463542.990316359,434988.39691571,573012.081589672,566546.100744743,532269.88901316
570,"NIU","Niue",535.4090324816,538.8753703581,540.027657112,541.1464402629,542.2317198098,760.976713617,1115.1268384151,656.0444642165,607.3618178682,996.9962551556,884.0324349313,957.4627429694,667.9407957352,672.8141872092,619.039124924,1634.2819257264,1178.8495693068,1008.0431416285,1207.8973013417,1263.4764029835,1186.9248344906,1185.0260780086,1169.2899962535,2800.9417706952,1515.9662966357,1150.6852997078,1556.8185276503,516.0190799809,481.0702544046,616.1469258853,357.8700679273,341.154974696,327.1604233063,321.3603930789,313.2265967188,291.4268184781,269.8565490615,254.3917875165,2025.4894617701,537.9820201121,234.1528368625,269.2493803876,1034.8642243791,440.5173043186,1415.6197818265,1092.5280756406,359.9495871361,684.86746716,1890.1774045781,551.9956252749,481.4113271405,660.308059253,1136.0953942822,2470.3742893197,1093.4534237381,769.5352535574,1211.7164702842,1318.4757882697,1518.4022199915,2548.8056126262,3150.5940786342,3241.7878219769,3420.2728942633,3480.9250434663,559.5474427161,1163.0264148287,431.2746846399,482.521552437,920.5994862911,949.5273417068
408,"PRK","North Korea",427163.225037617,424466.295094152,422506.480387053,417205.587777564,469367.534901578,521926.819329259,574630.49201693,624109.588679168,652767.40780262,680887.270194559,708484.942592641,705338.804876746,693097.974867192,698283.546297757,697267.339185552,701891.993591136,737113.200327441,766860.633316066,779944.539716793,789209.654619153,785828.505353057,820741.909201685,865529.89278075,891030.953121444,950369.316652101,986409.368890376,1183248.25343071,1141633.19133203,1276940.41145218,1233289.826831,1171458.710765,1213518.216598,1172924.51936,957484.227473001,881586.146403002,856296.767605001,877116.735512001,940806.985953001,829705.026072001,842722.381071001,505667.970154001,381968.464960693,368674.376341393,405490.406836,362812.28331825,317548.079759032,254410.323200186,224759.480079924,215885.594768547,212447.003767624,214802.045324573,215602.648338383,229526.832314061,240647.477179123,390661.210241936,324613.365332466,326806.818816723,310188.364394933,299520.513392856,263244.732887554,265984.88832295,279609.292352036,274284.703201497,271132.42822167,307107.639937485,277692.206092225,270124.153611035,266237.399333316,263989.419119114,266130.167788461
807,"MKD","North Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
