"code","iso","country","COE.raw.2003","COE.raw.2004","COE.raw.2005","COE.raw.2006","COE.raw.2007","COE.raw.2008","COE.raw.2009","COE.raw.2010","COE.raw.2011","COE.raw.2012","COE.raw.2013","COE.raw.2014","COE.raw.2015","COE.raw.2016","COE.raw.2017","COE.raw.2018","COE.raw.2019","COE.raw.2020","COE.raw.2021","COE.raw.2022","COE.raw.2023","COE.raw.2024"
76,"BRA","Brazil",0.173386154946773,0.167068985083891,0.169404793158098,0.163325002567019,0.170467434863711,0.150798887583704,0.144309899786906,0.159997331017097,0.145303336565797,0.14823253062815,0.138133035314139,0.146643727054288,0.156862164522293,0.150218139660735,0.148885413893144,0.146059656533576,0.154953543089981,0.156403980808125,0.152036494650432,0.149639665190381,0.15396398347175,0.179724469773924
92,"VGB","British Virgin Islands",0.0941926655037158,0.0894155673073535,0.0904091841257214,0.0889982867195258,0.0867936306136416,0.0850361924235032,0.0797368721293171,0.0856899873948777,0.0796607327991966,0.0821509867577472,0.0801455915043405,0.0767504580757807,0.0784590724676742,0.0777265743681617,0.0770558993282071,0.0753540344094323,0.0735366894877865,0.0789030597372822,0.0788092812298409,0.07384852916918,0.0793228035288035,0.0808646984478168
96,"BRN","Brunei Darussalam",0.265311019887072,0.215807358668103,0.346284629151915,0.246808048162627,0.185622734931745,0.164716717113913,0.581207566058234,0.224106342613098,0.325291165180439,0.306132532523507,0.223622780144839,0.219318844711198,0.30529814238555,0.276999808769223,0.148072855567948,0.247111249403549,0.360550162099654,0.183752592070431,0.193543238910829,0.182503276995893,0.1907945769095,0.28128324985431
100,"BGR","Bulgaria",0.217954345220781,0.208919357298823,0.207071314540071,0.204245570213642,0.195038376177632,0.189362802416214,0.181198269181195,0.183857737805314,0.184696125300058,0.181279578880314,0.172609370653166,0.167823709998691,0.171915054808047,0.167661879612452,0.166109482352032,0.159530658441264,0.159240192854372,0.156454972729537,0.160369592694028,0.150622461718094,0.157018010932244,0.159511582990394
854,"BFA","Burkina Faso",0.182958538680403,0.198785149104212,0.186317547103801,0.173610805614298,0.176260892146472,0.17067892182823,0.176367188443958,0.188714224728167,0.1810044502237,0.170422407044633,0.181821864096162,0.183081518111263,0.174280754212586,0.188199757413891,0.192435674626614,0.18773640826147,0.18393317041807,0.190355170575884,0.196176636050383,0.187123172012809,0.197343266512394,0.193459641261573
108,"BDI","Burundi",0.419219066664174,0.40881261778139,0.409275779753961,0.383981174060182,0.428755347834731,0.408203095941868,0.406100467904214,0.425663896633604,0.420373189052169,0.442609534905102,0.437934453384693,0.437957982195843,0.450484605350347,0.438801896005283,0.399099849475072,0.43340064637809,0.406640199647135,0.446280555888698,0.437468652032801,0.43399419167767,0.429581975796089,0.447821111700643
132,"CPV","Cabo Verde",0.108519808612223,0.101589612803549,0.102751551621677,0.100076963414188,0.101794915353278,0.0969711278748367,0.0904301823653835,0.09379982896103,0.0933043750211859,0.0946896931012703,0.0927049554228538,0.0892598291504228,0.0935779763483902,0.092128973647831,0.0871724110459081,0.0866654607097191,0.0863265332458534,0.0895021524116794,0.0936619061615793,0.0837734533601501,0.0931433986968282,0.091814797941325
116,"KHM","Cambodia",0.248414721186578,0.270719193090242,0.255385912032575,0.230359862508399,0.229427253787109,0.23126018390487,0.247899213229576,0.246331883717637,0.252692844408082,0.236491318045213,0.258036344187929,0.247792347980127,0.259739413660262,0.261514293972235,0.212031297672543,0.228665310312151,0.223511920954263,0.241711076170535,0.233253901751227,0.216910137340056,0.219722133177342,0.220896650220448
120,"CMR","Cameroon",0.251970490146211,0.263867708434799,0.253406872615827,0.240036634424712,0.25191314692858,0.250960589727896,0.231579958888582,0.24159425561889,0.239414303967776,0.228198358292032,0.245349621587948,0.237561339373416,0.24884836787023,0.268514892166547,0.261007811308566,0.258011268743188,0.260417010510983,0.275146113132968,0.280823358537731,0.265043105142151,0.273076169184427,0.270829132018268
124,"CAN","Canada",0.2403757217596,0.207137196943233,0.207036442532557,0.197063758269705,0.187798673223137,0.181553166229097,0.167714225252313,0.174566102819563,0.166932596487674,0.173093024519075,0.166380820358498,0.163236944762389,0.169689631892426,0.155831607593572,0.159673591549669,0.158230424846344,0.150083801230163,0.145406135800664,0.1617857000046,0.144801991530426,0.189119994067501,0.160419990825284
