"code","iso","country","CDO.raw.1980","CDO.raw.1981","CDO.raw.1982","CDO.raw.1983","CDO.raw.1984","CDO.raw.1985","CDO.raw.1986","CDO.raw.1987","CDO.raw.1988","CDO.raw.1989","CDO.raw.1990","CDO.raw.1991","CDO.raw.1992","CDO.raw.1993","CDO.raw.1994","CDO.raw.1995","CDO.raw.1996","CDO.raw.1997","CDO.raw.1998","CDO.raw.1999","CDO.raw.2000","CDO.raw.2001","CDO.raw.2002","CDO.raw.2003","CDO.raw.2004","CDO.raw.2005","CDO.raw.2006","CDO.raw.2007","CDO.raw.2008","CDO.raw.2009","CDO.raw.2010","CDO.raw.2011","CDO.raw.2012","CDO.raw.2013","CDO.raw.2014","CDO.raw.2015","CDO.raw.2016","CDO.raw.2017","CDO.raw.2018","CDO.raw.2019","CDO.raw.2020","CDO.raw.2021","CDO.raw.2022","CDO.raw.2023","CDO.raw.2024"
598,"PNG","Papua New Guinea",1828.336,1930.928,1945.584,2007.872,2044.512,2125.12,2062.832,2333.968,2198.4,2033.52,2154.432,2172.752,2191.072,2194.736,2185.930936,2051.84,2197.386424,2611.13424,3536.205336,2548.49132,2937.89686,3335.970792,3666.106472,4053.44334,4687.09154400001,4983.82866799999,5050.94429999999,6581.09052799999,5544.582312,5264.62404800001,4714.716656,5298.42054009358,4372.44516400771,4531.95825368275,6124.88974498529,6316.25880483733,7024.07149958626,6550.1400948751,7595.90430688136,7582.73180195138,7910.78834371985,7873.08478903999,8436.02475300087,8357.75012875913,8345.4423945526
600,"PRY","Paraguay",1483.88276131647,1381.62936116868,1361.23721870389,1406.11325120221,1488.64571158499,1547.19918321021,1652.09952714573,1872.59148217591,2138.50071221838,2217.88916844398,2129.77562901903,2097.8504529355,2570.86778963341,2905.45229040557,3393.40699702088,3925.14875756472,3706.34495099768,4091.60324909883,4373.73124909883,4362.4079470775,3592.4806919703,3687.27073958979,3853.27277885474,4025.90479773366,4057.53826208744,3772.47153360486,3900.52189658113,4041.21709770222,4269.57484886024,4524.97079836073,5010.83983337355,5191.52257886218,5159.12025995346,5169.0608980055,5451.21703052107,6045.47289782072,7186.51576385136,7939.46528428556,8503.592426403,8268.41288522578,7443.76066239513,8186.96748631803,7533.38051083403,7645.68662766506,7936.71848622214
604,"PER","Peru",24064.699767994,24026.7738249662,23600.1009529706,20392.8577465628,20632.4536891225,19454.6263611937,21775.107400745,25693.6750080279,25018.1450722228,21762.1077253599,21400.7953245366,20757.8949927007,20985.7835116477,23884.7572858043,24176.5575195635,25143.0612522567,24717.0855713848,27747.1650193465,28065.8269116002,29562.4077084035,28677.5268235577,25260.1501165353,25591.7428685327,24914.1715676241,28503.6297713388,30321.1064894987,28299.2672797355,34566.9195635456,35572.4140657622,39423.8429091689,42505.101024,42326.7930873307,45508.6798152588,42717.743480129,49388.0208711234,49204.0572176053,52697.6675885729,54726.3538784975,56013.568180005,58668.283299806,47236.7367484055,59961.8545356735,64784.8058530735,66064.7525046427,70246.6540248968
608,"PHL","Philippines",36836.7596432369,34493.3706067437,34795.2499420488,35189.2803779108,30784.5701061658,27855.3749792413,28969.3654493514,32439.1252446851,37409.076235469,38834.4641894869,40774.0433066604,42874.4561348001,47771.7392774137,48341.9974256127,53478.6773953731,59219.9228240449,60436.7194756872,69147.0799194168,67378.677782439,67295.0071653054,71466.6930980793,69798.8900546346,69491.7096693054,69500.7198122254,71998.7116578136,72333.9449048349,65645.511968641,70009.9577376993,76605.0179697239,75580.7062259261,82245.8888516886,82980.2844502657,87476.2736494724,94825.431590259,100073.811093527,111046.29818375,120215.625472728,133575.599777105,139856.767218833,142601.214158349,131457.409823647,140269.500477027,150963.021475372,160980.475738625,174877.999716944
616,"POL","Poland",463332.814451868,409004.28431487,420977.758382043,421027.432778141,432474.619754823,444511.58608584,451855.998312832,463736.302884028,444240.891,422243.813624936,376341.516038723,373366.02285702,364282.646062202,364957.829548728,359990.96343497,362482.912732386,377118.632824487,367199.086623242,338980.04926978,329204.292605306,317306.224498519,313267.091939283,305852.422771786,318732.699017833,323620.77181026,322576.874005663,336387.245624234,335734.639180209,329428.448365307,315886.286172386,334027.521395847,333406.06545686,325777.704692379,321757.153240581,309415.388734563,312548.845409111,323300.485085282,336505.102909233,335718.634261801,317444.070359274,302102.412460613,330693.72521159,314891.967502624,283243.469316919,272861.825585511
620,"PRT","Portugal",26773.499262163,27000.4800732268,28999.8779662352,29901.6265102089,28793.810265177,27132.9763114006,30221.1407889807,31198.3437423539,32567.554836903,40822.2222456848,45310.738994507,46879.392550936,50956.709192119,49468.9709264254,50242.741523274,54502.8669762424,51799.5357935283,54669.4080906024,59210.8787006328,66878.1983648471,65503.6356387418,65187.3323406295,69582.5983468066,64482.0448495318,67302.3553124114,69639.7867253688,64856.1265036347,62380.1014535396,60009.6469148635,57146.9999168327,52889.9345255831,51783.669101728,49931.9788407348,48146.1983512048,47942.3332997129,52233.0493735104,50310.9173641283,55165.1557097533,51340.275004614,47583.049551518,41738.1429939892,40299.8450772427,40722.4968883791,37622.0382730947,35538.8527325527
634,"QAT","Qatar",13085.9901949391,12847.1300671031,12341.568394693,11255.0851864798,12315.9853232887,12391.0080885978,13281.1646043198,11485.6246871811,11914.0226573183,14309.9901195832,11427.9176376179,17414.1853328271,26815.8667447821,30720.74682342,32375.3000062529,33170.0760905301,34472.4618114641,42232.2441046262,36960.0047501057,36324.6164049948,40406.4814919067,45914.3943375497,45174.6417921056,46630.9314291349,47439.5680961896,47681.8268517615,59752.8018445045,59529.8419955466,61870.8510120985,65305.3640168986,73651.1823007343,81809.4439265578,93738.0368343452,91433.4874846377,91641.6419838594,93310.3707449172,91378.3378277262,105656.583178328,102621.407372831,101429.570451109,101329.229897577,104385.688600255,109594.409298492,119544.35619687,125812.258007328
178,"COG","Republic of Congo",405.528993675653,470.723591642815,1343.10242295694,1142.45165503903,1139.504,1275.22377070046,1062.37325043122,1320.09199616015,1492.94142160159,1495.62724650089,1007.90749138829,1082.79618941392,1289.16340942544,1160.44311352727,3383.87953652778,3224.66979484052,4037.41112095439,4830.57184337176,3869.27012800001,3915.57936399999,4284.25043154169,4177.80662800001,2720.282632,3258.110676,3548.606528,4352.12953422317,4785.87609379118,4259.31086581653,4270.26393090827,4943.6530981909,5499.94322238285,5046.42126457128,5018.02550896858,5890.37383312169,5471.0868541208,5636.68116354398,5727.21081344118,5650.94826381187,6544.66711206216,7293.59673899522,7677.29689310679,7392.86043524446,8727.51509007005,8274.27310919329,8839.77031204833
642,"ROU","Romania",195806.60449702,197322.541869773,194876.903308709,199663.370994715,188323.362603228,193449.169138474,201073.253836274,211024.286683989,211567.811305737,212969.515915519,176535.105220457,142258.091302965,132002.823378682,122709.183839826,120868.471626883,125675.387908532,129117.050951406,118114.572089706,104783.421222615,88898.5988499098,93206.2568396946,98928.0662246489,99068.8869083988,103707.358746045,103232.625473624,101336.595980789,104290.000235751,108496.599887441,106997.317394355,87805.7545980369,84487.9050843072,92390.7050426905,89847.7131704967,78795.4671361453,79335.3504787545,78045.9914411728,76586.9170618052,79432.3414924166,79874.4193745734,76690.3573573708,73946.3806275748,77501.2656352118,73186.0259391285,67866.018420939,68551.3981155801
643,"RUS","Russia",2130355.1500569,2089791.10731256,2129189.4992632,2159388.98255902,2178563.11963868,2349517.25986079,2349904.32752752,2358795.13387538,2437800.79898109,2405696.69895627,2536283.66446376,2407641.67688563,1963458.34413151,1866524.78479773,1646876.26687605,1618286.2279248,1586632.65947144,1481963.46936301,1465858.68212806,1494087.75977752,1480576.41108754,1518081.40277645,1508329.81926843,1539006.40380621,1545353.33027396,1563980.46651649,1623428.47935393,1624315.48289855,1652731.49526065,1545236.4021455,1633147.44095097,1684989.04893427,1700103.98100494,1637547.02640293,1637311.31778585,1635243.56008748,1629328.30996271,1661012.21308119,1709909.72579159,1704458.62176555,1631901.65928777,1674524.25139888,1675460.81124867,1733134.59111932,1780524.38403568
