"code","iso","country","PAR.raw.2000","PAR.raw.2001","PAR.raw.2002","PAR.raw.2003","PAR.raw.2004","PAR.raw.2005","PAR.raw.2006","PAR.raw.2007","PAR.raw.2008","PAR.raw.2009","PAR.raw.2010","PAR.raw.2011","PAR.raw.2012","PAR.raw.2013","PAR.raw.2014","PAR.raw.2015","PAR.raw.2016","PAR.raw.2017","PAR.raw.2018","PAR.raw.2019","PAR.raw.2020","PAR.raw.2021","PAR.raw.2022","PAR.raw.2023","PAR.raw.2024"
203,"CZE","Czechia",0.118075036820544,0.124442902245341,0.12650575591736,0.13151652680083,0.141941344,0.145600162373425,0.148287647611768,0.154822637786416,0.157559952644058,0.160247002705567,0.162201910512308,0.164560603439153,0.165636756781732,0.167186226342547,0.168767960732726,0.170400567525244,0.172429814279805,0.174067778325168,0.176314407820309,0.177691999830052,0.178609759612817,0.18018233034335,0.181665521998438,0.18242129238793,0.182829847634272
180,"COD","Dem. Rep. Congo",0.080080124,0.080528355,0.083492976,0.083672241,0.087944687,0.088748516,0.094038683,0.112080203748463,0.121951674092642,0.125799388432137,0.126154569198684,0.126657139626915,0.127742673758599,0.127854580389436,0.129466495220574,0.13143458015053,0.134108117805502,0.136894810160215,0.136953225358318,0.137659015112698,0.137685954163661,0.137727017377725,0.138045521397165,0.138084363139155,0.138113102305299
208,"DNK","Denmark",0.099223323,0.101966833188436,0.103784206160942,0.105909113317488,0.110998834851753,0.112439095211181,0.113636071610638,0.116269950007587,0.118768220571605,0.120349051660839,0.121944684,0.124831425714326,0.125648924501074,0.12662052367444,0.128133758827946,0.129468764110091,0.130606584946671,0.131804720116704,0.133221108917989,0.134299195167199,0.134981052597453,0.136430032024072,0.137019301810883,0.137740542306011,0.138033075201105
262,"DJI","Djibouti",0.045467154,0.045552595,0.045672958,0.045686472,0.047690151,0.047818317,0.048035447,0.048295226,0.04836736,0.048435989,0.049068714,0.049089183,0.049167935,0.051663498,0.051750088,0.051794934,0.053103234,0.055182307,0.055207412,0.056363772,0.056368272,0.056389959,0.056916732,0.064266321,0.064292033
212,"DMA","Dominica",0.363989918876545,0.366314758004219,0.369145027808846,0.370356376501647,0.372359405902177,0.373890110352626,0.378868677421624,0.380689108955242,0.381411372098709,0.393647082835561,0.396568175436798,0.397393382,0.397520016809145,0.397664072706542,0.399376376161079,0.399800271387111,0.400781718538643,0.401393371,0.402657937054624,0.40366247392415,0.403735840459702,0.40407404722422,0.40455756485615,0.404675334152669,0.404762525735108
214,"DOM","Dominican Republic",0.073241892,0.078214045,0.080892445,0.081302352,0.148691333837983,0.149297477388564,0.150155104,0.150831104562049,0.152489234846438,0.174999221824925,0.176830918129193,0.180658450791349,0.182945499369561,0.18375090750187,0.186541596908568,0.188136008846749,0.18847005717865,0.190721724,0.191242853766781,0.191721449170865,0.191796757672682,0.194843373737734,0.195377540915257,0.195868044390897,0.195953923907571
218,"ECU","Ecuador",0.102154998080276,0.10572113003636,0.112461541830086,0.114372639,0.122031068,0.12396317234421,0.12699723107727,0.129635553848411,0.13132202421831,0.135170547800357,0.150228862399382,0.152971078731098,0.157047345,0.157269791,0.161100397612964,0.163466455093077,0.165125576595325,0.176115389820974,0.181559817552254,0.18566011587695,0.185962462160081,0.188894738523755,0.18972978769528,0.19134214668352,0.191501415
818,"EGY","Egypt",0.074044223,0.075364818,0.076731472,0.077855844,0.078020819,0.07901206,0.079215035,0.091847205,0.113889130193057,0.113987729,0.114287351067114,0.114600102513717,0.114696829709535,0.114843727092506,0.115387310659108,0.115561615427503,0.116792608508638,0.117185582251301,0.137546338970716,0.139977411954028,0.140948718122272,0.143357846270208,0.143481218334523,0.145066878620629,0.14510098999575
222,"SLV","El Salvador",0.053514872,0.059864858,0.060624311,0.060848164,0.061485484,0.072909745,0.073937012,0.093212937,0.094249379,0.096108316,0.099255104,0.115594261142893,0.116001780521745,0.116998317099954,0.117625623609458,0.118610637973671,0.119162028131376,0.11957851149408,0.119887539053567,0.120332094359862,0.120366834907263,0.120613054709593,0.120707731,0.122111851051056,0.122845092432549
226,"GNQ","Equatorial Guinea",0.102463709336988,0.103208114968492,0.116969313008516,0.117656472638844,0.119433705306608,0.121735038429193,0.124270807544539,0.134018833,0.139889700818279,0.148546130986471,0.148902580159345,0.149008855647928,0.151981878140364,0.151985223126198,0.153209330928116,0.155686142326876,0.156659097234988,0.156907853215231,0.157397946210629,0.157627173882158,0.157684416814966,0.157726226262509,0.158779688496157,0.158863697837775,0.158871094164565
