"code","iso","country","PAC.raw.2000","PAC.raw.2001","PAC.raw.2002","PAC.raw.2003","PAC.raw.2004","PAC.raw.2005","PAC.raw.2006","PAC.raw.2007","PAC.raw.2008","PAC.raw.2009","PAC.raw.2010","PAC.raw.2011","PAC.raw.2012","PAC.raw.2013","PAC.raw.2014","PAC.raw.2015","PAC.raw.2016","PAC.raw.2017","PAC.raw.2018","PAC.raw.2019","PAC.raw.2020","PAC.raw.2021","PAC.raw.2022","PAC.raw.2023","PAC.raw.2024"
72,"BWA","Botswana",0.204400043366468,0.204882502539063,0.205849815601809,0.206979963612455,0.205215284716821,0.207275945604584,0.206414975039948,0.20906168368944,0.208525720916277,0.21003922733194,0.208859827302688,0.21064413438787,0.211049342235661,0.213018547293557,0.211215850794662,0.211177747758585,0.214897065416933,0.214441259983679,0.213862089563664,0.215276792927256,0.216467363297242,0.215868415180249,0.21507920818132,0.215712906,0.216895445781601
76,"BRA","Brazil",0.120501497318837,0.130985384950803,0.153408587319613,0.158557158,0.16774172184907,0.178566578104085,0.215487246859773,0.221981893828256,0.232036681489017,0.249939775863451,0.252182643255633,0.253480377059416,0.253266924736232,0.253047716783918,0.254202202,0.255669023,0.258731437602014,0.2588604822654,0.261793160573555,0.261484308080004,0.261613476254744,0.261808204,0.264669468299428,0.264010288199419,0.263671298935322
92,"VGB","British Virgin Islands",0.054843762,0.074892974,0.074751559,0.077104741,0.077383607,0.077621465,0.07755826,0.077589895,0.077266992,0.077658204,0.077321557,0.076917854,0.075997357,0.075776385,0.07559514,0.075219865,0.075098767,0.0751075,0.075154146,0.074963163,0.075087159,0.075000884,0.074994059,0.075383504,0.075254272
96,"BRN","Brunei Darussalam",0.156223136,0.15572663871484,0.165710645913243,0.16552163105778,0.165743451133836,0.16362358051571,0.16107011,0.155495069433498,0.155648935838325,0.157489123991829,0.15770564186852,0.156809672798882,0.156171373514563,0.150393532657717,0.150665672316143,0.150099961851531,0.147825934062807,0.150514268868441,0.151036672336941,0.149483025299496,0.148953147,0.147697980019397,0.147281654745954,0.146947650393635,0.146640157038146
100,"BGR","Bulgaria",0.02222252,0.022435889,0.085433209,0.086595245,0.086637847,0.085041428,0.085100221,0.150133935604015,0.154368036,0.154565014,0.15613054493049,0.160929867446299,0.16104166358991,0.160688990380829,0.161788128660461,0.161774898607689,0.161673497505542,0.161552350219979,0.162600557191804,0.163565966,0.171602948798553,0.212912404040361,0.213389213384137,0.225051373,0.224764157826706
854,"BFA","Burkina Faso",0.078324125,0.080722853,0.080504362,0.080429071,0.081173246,0.081660928,0.081465304,0.081545048,0.08197169,0.091768932,0.091768552,0.0918626,0.091722142,0.092009604,0.091920936,0.091741411,0.090286504,0.09134163,0.091092438,0.090431272,0.090150944,0.08998985,0.089969856,0.09000903,0.089960028
108,"BDI","Burundi",0.021778657,0.021937188,0.022086227,0.021954064,0.021822416,0.021258206,0.021088114,0.021102088,0.020871233,0.020739352,0.020602189,0.020454215,0.020369809,0.020353659,0.020178094,0.020502821,0.020318068,0.020218324,0.020330584,0.020523006,0.019570093,0.019495794,0.019456194,0.019489123,0.0195029
132,"CPV","Cabo Verde",0,0,0,0.074737125,0.074971095,0.077022789,0.077343671,0.077412612,0.077710999,0.077448286,0.077637725,0.077391885,0.077461482,0.077336687,0.081388404,0.081597068,0.081359532,0.081682827,0.081617777,0.081457677,0.081315198,0.081268685,0.081229746,0.081599351,0.081586075
116,"KHM","Cambodia",0.078557309,0.078672399,0.078992031,0.07889206,0.078592763,0.078507351,0.078413781,0.077121398,0.077247878,0.077145278,0.077309627,0.076877077,0.076250568,0.076941319,0.076888537,0.078675019,0.174225462498782,0.249046360991584,0.246628882297512,0.251686411059355,0.250789434824284,0.250513283132111,0.249567042015383,0.250207811854498,0.250738374865968
120,"CMR","Cameroon",0.044472875,0.048297535,0.048213799,0.047459715,0.050293072,0.06367249,0.063674828,0.063890997,0.066726857,0.067308004,0.068405506,0.067581821,0.077624889,0.077415806,0.080786246,0.080836553,0.080037435,0.080056768,0.083186323,0.083147585,0.082436818,0.082495597,0.082190391,0.082576805,0.082649548
124,"CAN","Canada",0.036022021,0.037588942,0.037873819,0.040824226,0.041432868,0.042774922,0.043076943,0.043220065,0.04622037,0.04818491,0.048848082,0.050208704,0.052610862,0.054395346,0.054515306,0.058561797,0.058687591,0.058732336,0.062997917,0.065323934,0.070046768,0.072981522,0.07328389,0.074017545,0.074962256
136,"CYM","Cayman Islands",0.066583782,0.072939482,0.072458719,0.072043368,0.068022433,0.067279794,0.067604352,0.067866535,0.068394754,0.06473962,0.067063664,0.066814826,0.068248419,0.068007015,0.068102494,0.068513451,0.068380324,0.068765024,0.068677753,0.068294615,0.068395673,0.068171621,0.067604814,0.067960256,0.068109619
140,"CAF","Central African Republic",0.120672448357198,0.120866494068231,0.120736998415062,0.119054811,0.118152896,0.11849985671191,0.120082996411923,0.119706184068748,0.118241078251814,0.119725020961098,0.119193043708061,0.11800894814112,0.119756096512318,0.120526121001556,0.149661525521797,0.148622027048841,0.146266553477874,0.146745191462856,0.148214841547041,0.148155393591864,0.147747825,0.148460072343883,0.149403800650594,0.149346811069503,0.150283866646551
148,"TCD","Chad",0.085007628,0.084724514,0.084505901,0.084188986,0.088044514,0.087933572,0.088406975,0.088211206,0.088817171,0.089006677,0.088876028,0.089124625,0.090378141,0.090316554,0.090306227,0.089936086,0.104847835772107,0.10488269779549,0.104825246240157,0.104596020543316,0.104652107356863,0.104335792801724,0.104334254921055,0.10455998728631,0.106848272245047
152,"CHL","Chile",0.122717832528554,0.12343487023061,0.122541707697741,0.122832984,0.122836917380985,0.135246913106637,0.134637382044001,0.146276266003231,0.146323802003829,0.146350488881357,0.147113330495629,0.150033694962763,0.149700415,0.14963505972968,0.150008634316834,0.149456911,0.149832028345022,0.149668890906713,0.154304805,0.175859379,0.177308239773589,0.176425626896992,0.177086154914655,0.179967767811712,0.180140468047802
156,"CHN","China",0.001722481,0.001712407,0.002010171,0.003259087,0.003311247,0.003312303,0.003688242,0.003705574,0.003713607,0.003720309,0.003760185,0.004037633,0.004051317,0.004418029,0.004401814,0.004419378,0.004427539,0.007107388,0.008317958,0.008332216,0.008348168,0.008314941,0.008296469,0.008308762,0.008299195
170,"COL","Colombia",0.104952198718429,0.104592911398239,0.113698677328675,0.112693903237797,0.112958565841105,0.116405561469734,0.117343017,0.120587223576176,0.121803042,0.133520351268469,0.131462618,0.131505849884289,0.131517009226868,0.131442594093516,0.132149450037621,0.13371760113807,0.134452724294121,0.13572865987092,0.140157408,0.141887563101223,0.142636890121436,0.143138592149518,0.143631992001433,0.143496171209655,0.144447642753402
174,"COM","Comoros",0.003692496,0.003576575,0.003619354,0.003610862,0.003616653,0.003541649,0.003664432,0.003573037,0.003613776,0.003523048,0.226735712920489,0.231108919196173,0.23162480936624,0.23034627527515,0.230221125207059,0.229273244875287,0.228760045602781,0.228592136705809,0.228149662931639,0.226753538172544,0.216015317024441,0.245226269954328,0.244164485328666,0.244164703089163,0.244465103693815
184,"COK","Cook Islands",0.00016823,0.000478686,0.000478686,0.000478686,0.000478686,0.000478686,0.000478686,0.000478686,0.000478686,0.000478686,0.000478686,0.000478686,0.000478686,0.000478686,0.000478686,0.000478686,0.000478686,0.025934235,0.025984893,0.025974926,0.025984827,0.025943123,0.025971403,0.02592231,0.025922805
188,"CRI","Costa Rica",0.355442410138087,0.356537064193997,0.354874480838601,0.349519206903399,0.348083174930503,0.355923921137108,0.357541452762518,0.46925103082495,0.464122922320217,0.464104533199441,0.446895418710908,0.443617727603667,0.443082988777013,0.442091236669342,0.445403669964341,0.447592718657957,0.441872894138647,0.457003003793394,0.456937979345236,0.455554044494821,0.456088072318562,0.455282506018963,0.455163025211388,0.454255623903763,0.462528628
384,"CIV","Cote d'Ivoire",0.116482040187952,0.117045122527951,0.11898524099662,0.116316642771958,0.114367466368323,0.113997987604599,0.115216259130067,0.11398392396873,0.1126324987265,0.113090079898863,0.1130143,0.112236302163756,0.111115957900874,0.111760304572131,0.111302868492547,0.11028710503258,0.110824321413505,0.112105811935879,0.113081612698785,0.114619720529749,0.114857952510387,0.114853693000923,0.114089820970434,0.116743858098266,0.115841298097842
191,"HRV","Croatia",0.042438227,0.04346027,0.043601739,0.044066094,0.046156305,0.046874309,0.048134712,0.047930112,0.0478976,0.04807765,0.048336162,0.053357015,0.054010341,0.166539073720589,0.182956775321569,0.18254062348192,0.182229334645482,0.182663719942022,0.181455361527373,0.18063636167126,0.179838606680079,0.18124536738188,0.18107225267182,0.187022423686795,0.186966568
192,"CUB","Cuba",0.06145336,0.075482666,0.085896343,0.084697921,0.084222148,0.084156038,0.084117991,0.084206207,0.086162633,0.085657259,0.093817506,0.093560164,0.104677531,0.104603429258715,0.10416955026617,0.103971701332209,0.102931834258352,0.103508398288715,0.10352638,0.103330642446131,0.104036004892625,0.103874360365201,0.103790983955,0.103481113911107,0.103397177785033
531,"CUW","Curacao",0.051490041,0.051071811,0.050167211,0.050693169,0.049001998,0.048789164,0.048250149,0.048322985,0.048316658,0.047308407,0.0480084,0.047999079,0.047771408,0.092040803,0.091384329,0.090634652,0.091590018,0.09081199,0.090567254,0.088505966,0.089199243,0.088915271,0.088645992,0.087993586,0.087820701
196,"CYP","Cyprus",0.321604076938507,0.321656382226823,0.332429497556997,0.332454423140971,0.332198484997578,0.345629442253542,0.349335874,0.361536577392667,0.361474485190596,0.363185125357651,0.361166537436039,0.364023222247033,0.363452269665133,0.363317618289784,0.364580396273616,0.37957557437061,0.383619580356061,0.384928838788301,0.389636817387898,0.397540829466665,0.396659297603549,0.39790575420855,0.399510394116356,0.397693842393197,0.397198435323816
203,"CZE","Czechia",0.072963581,0.073775247,0.073737336,0.075997876,0.085947058,0.092726406,0.093766853,0.0942207,0.095098572,0.095819968,0.096189632,0.096922398,0.097610648,0.096794848,0.096898448,0.098763226,0.099104607,0.100817441821797,0.101491259486337,0.10094736346106,0.10050046939431,0.100607419044523,0.100675500909691,0.099683364,0.099405417
180,"COD","Dem. Rep. Congo",0.076941895,0.076710778,0.076913987,0.076669775,0.081337771,0.081108539,0.088185226,0.098646098,0.117208599091447,0.118883595637084,0.11869526820634,0.118149520434681,0.119130434802687,0.118983844,0.118765325271675,0.117739753565383,0.12068846560526,0.126081774375056,0.126282847850647,0.126389422796283,0.126249631934864,0.126338692614166,0.126641607449897,0.126560455321972,0.126628965313024
208,"DNK","Denmark",0.030316011,0.030938657,0.030838647,0.031096464,0.031106495,0.03113545,0.031663135,0.031671594,0.031894139,0.032480059,0.032307687,0.035545349,0.035746415,0.036348737,0.036472839,0.036437379,0.035911432,0.03617688,0.036469891,0.036789264,0.037004355,0.037219106,0.03715558,0.037703471,0.037459485
262,"DJI","Djibouti",7.80708326068949e-08,3.91452081105694e-07,3.84025907583139e-07,3.87881149061351e-07,0.001483167,0.001495825,0.00147027,0.001483445,0.001463117,0.001467599,0.001475309,0.001458279,0.001456099,0.006444944,0.006438849,0.006417331,0.006452889,0.006529998,0.006539559,0.006525492,0.006396695,0.006398587,0.006457799,0.006343829,0.00635824
212,"DMA","Dominica",0.186236182116739,0.181208061449456,0.180069267,0.17235476,0.171020573867864,0.167058077725497,0.165403622053402,0.163955027922923,0.160872570880048,0.161282295788521,0.154896855870367,0.147753463679062,0.147182778362588,0.145402074,0.143732392942751,0.143973610617898,0.143716258920116,0.141295395888291,0.139512660699489,0.139199079373182,0.139886203782383,0.139148926838136,0.1391888903333,0.138140286202038,0.13831312
214,"DOM","Dominican Republic",0.034149413,0.033317793,0.033290136,0.032359511,0.114537220119032,0.113882387274475,0.114110334584378,0.114460136487663,0.115076821974351,0.138964859,0.137029303350682,0.139732489886102,0.139200300550558,0.140220286281704,0.140622403152717,0.138011783,0.136265107076889,0.137165284464568,0.137972369807883,0.135435603,0.136417310268421,0.138274458751283,0.139249607777446,0.136541671312503,0.136554663766788
218,"ECU","Ecuador",0.14940975871686,0.148602919870526,0.149451520038812,0.148639516727141,0.156564600454305,0.157262526024431,0.157979224210038,0.157325235654136,0.156326870287749,0.15899410168319,0.174684968230239,0.173797172919459,0.175339165,0.174571475103017,0.176667278476382,0.178564936568566,0.178377912,0.199370892629681,0.20093022791748,0.201103390679928,0.201995590085274,0.202468439141077,0.203829369319108,0.204158299320039,0.203202156099195
818,"EGY","Egypt",0.071316515,0.071034444,0.07510715,0.078766014,0.078743193,0.079352076,0.079581342,0.121012179387995,0.120974510749714,0.120841370123517,0.121102339914759,0.121059909276825,0.120600937982061,0.120647605578661,0.120374449952409,0.120221528712269,0.120718339588891,0.120779586230583,0.121114086180569,0.121309682,0.121416448738026,0.121487109486724,0.121426827455219,0.121315567606915,0.121447462787048
222,"SLV","El Salvador",0.013673415,0.0136362,0.013687241,0.013553179,0.013475325,0.028451337,0.028343937,0.059891106,0.061124258,0.061875902,0.063177192,0.098399104,0.098807233,0.099575683,0.100381448762574,0.101327833101412,0.102018796192652,0.101945961305508,0.102208600154998,0.102328304531608,0.101803506009517,0.101747731816195,0.102122777577588,0.101630423324031,0.101879176026588
226,"GNQ","Equatorial Guinea",0.148734074490856,0.14243804960458,0.147367400210497,0.145245628368941,0.139375310458963,0.143789314555792,0.140805281368036,0.14384319916588,0.143264239307916,0.140236711126849,0.140610629746026,0.138565212,0.143237696603517,0.138737962799024,0.140354055393256,0.136361599238669,0.140862116875197,0.138414671,0.139924069729698,0.139629256669027,0.139642966,0.138000238530847,0.138108668629013,0.138800761577353,0.137688980366698
232,"ERI","Eritrea",0.090260461,0.089900888,0.08996382,0.089194282,0.089450819,0.089351529,0.08969702,0.089286406,0.089649965,0.089467083,0.089491986,0.089766132,0.088884724,0.088627348,0.088523036,0.088338882,0.088486139,0.088339668,0.087347487,0.086933077,0.08633474,0.086578915,0.08629318,0.087313167,0.087168628
233,"EST","Estonia",0.016843462,0.01732353,0.017100559,0.020339237,0.061511345,0.065362929,0.069590928,0.072546155,0.072173821,0.071986763,0.072971427,0.073327406,0.071647057,0.073342733,0.073889323,0.073861884,0.072842344,0.073586004,0.075052052,0.076740221,0.077258732,0.077986108,0.077807413,0.078725536,0.076791345
748,"SWZ","Eswatini",0.019501296,0.018842713,0.018269852,0.017754676,0.018464692,0.018040243,0.018504701,0.018302801,0.01840185,0.018119459,0.01840892,0.017985327,0.017871215,0.018226454,0.018231032,0.017937177,0.01810386,0.018337121,0.018733562,0.101893156580497,0.102388786225786,0.103250107225069,0.10329233133768,0.103460273451073,0.10365883918004
