"code","iso","country","SOE.raw.2003","SOE.raw.2004","SOE.raw.2005","SOE.raw.2006","SOE.raw.2007","SOE.raw.2008","SOE.raw.2009","SOE.raw.2010","SOE.raw.2011","SOE.raw.2012","SOE.raw.2013","SOE.raw.2014","SOE.raw.2015","SOE.raw.2016","SOE.raw.2017","SOE.raw.2018","SOE.raw.2019","SOE.raw.2020","SOE.raw.2021","SOE.raw.2022","SOE.raw.2023","SOE.raw.2024"
188,"CRI","Costa Rica",0.00443329104859861,0.00434105518975205,0.00433423555404508,0.00423023891785385,0.00417496002848537,0.00416470172468401,0.00408451904821672,0.00393653416487304,0.00409048718441082,0.00423048541238862,0.00411265575805181,0.00396782640106235,0.00389759935368679,0.00411373801717329,0.0037626760916629,0.00384176998722304,0.00376480709706084,0.00374046232492737,0.0040073453551679,0.0038354775005205,0.00393661039840312,0.00383008299240951
384,"CIV","Cote d'Ivoire",0.00131526210534574,0.00129721729818932,0.00141636457500743,0.00131815781187369,0.0014844779998522,0.00160963524614566,0.00145799355213464,0.00141153959984081,0.00148831526221679,0.0014421357955703,0.00148702076555507,0.00136189772612488,0.00155650492755878,0.00160174574872813,0.00152213672805908,0.00153088412034089,0.00154397346028655,0.00163300115925696,0.00152468638934059,0.00163235217929022,0.00163038216258875,0.00163544407432777
191,"HRV","Croatia",0.0200685599396512,0.0190154959667976,0.0193185410983601,0.0177385800744581,0.0157245043788428,0.0143128417449935,0.0122148797729745,0.0105185670580066,0.0105057416813304,0.0097283331432544,0.00911704741691737,0.00883233926605095,0.00850830416101141,0.00801675932020552,0.00756400282760741,0.00736388536559917,0.00683633346048415,0.00626407300858631,0.00630537912114424,0.00638803651439337,0.00617586126932829,0.00643527380327655
192,"CUB","Cuba",0.00575529462436794,0.00499551080479971,0.00492575451524079,0.0046749909262758,0.00435439666748635,0.00402490684421705,0.00377807427321205,0.00338345808304337,0.00343875778934613,0.00341722646947663,0.00334735072708039,0.0034246301085868,0.00336584413952512,0.00319210085435582,0.00283465636277932,0.00292414303881237,0.00295035595967398,0.00280013294473215,0.00290855735431667,0.00285665960941689,0.00292655564266105,0.00279470287660374
531,"CUW","Curacao",0.00466725947352577,0.00466103571747501,0.00536740151966652,0.00445261420578176,0.00437722742039417,0.00419895530878794,0.00394554498805712,0.00487065915555238,0.00445262477653248,0.00423486196775129,0.00403308919683128,0.003791164675257,0.0038677340799643,0.00452193533854699,0.00421572591240369,0.00394389460783934,0.00412726299718698,0.00382714171311753,0.00364904668107663,0.003799210694558,0.00429254965399501,0.00406262643250864
196,"CYP","Cyprus",0.0196113479205263,0.0188850734312009,0.0170991476952682,0.0164940122228358,0.0165711374806442,0.0157363802486413,0.0148307905735768,0.0152424348284526,0.0134299333275997,0.0132530619594631,0.0121783377822139,0.0116942723074405,0.0116800178096133,0.0114904358245766,0.00867996651053675,0.00788956729064037,0.00770771436340028,0.00738266565844428,0.00773300094876859,0.0069171576799587,0.0070453337090182,0.00689336532878257
203,"CZE","Czechia",0.018352242982502,0.0164726337067888,0.0173847881882746,0.0159933878751824,0.0137512910839311,0.013399379526828,0.012525369509854,0.0117471644070412,0.011158260171994,0.0102248113428783,0.00999075319385078,0.00971256767960084,0.00901063263837066,0.00866721174195011,0.00789353032461265,0.00820196759973373,0.00717981530756881,0.00665354460227384,0.00689356602666772,0.00692417985463252,0.00665247792539009,0.0067576627727667
180,"COD","Dem. Rep. Congo",0.0139977384909458,0.0138341795520512,0.014224816019316,0.0140416072387395,0.014025691377738,0.0142739988474907,0.014139516502624,0.0142222457965356,0.0141345088013846,0.0139256994017298,0.0140453401706598,0.0137201385402921,0.0135927620823624,0.0141696759075198,0.0136711866386643,0.0133635330713801,0.013563637592606,0.0134682584417481,0.0134276559066608,0.013509344601291,0.0135061634790333,0.0135979872995352
208,"DNK","Denmark",0.00446430004494092,0.00399548762299072,0.00411378561623674,0.0039308710846936,0.00346649439322084,0.00341132215344726,0.00315449201773098,0.00296827743048987,0.00288917172559246,0.00260202976838378,0.00253823038864035,0.0025519878755762,0.00231050627103612,0.00219375664831906,0.00189732122146721,0.00192244336971925,0.00173624621116608,0.00160818070176867,0.00161837815881859,0.00167723961425299,0.00166209144031769,0.00164127151230378
262,"DJI","Djibouti",0.0020866503055413,0.0022169643640835,0.00224902273561547,0.00215849954441779,0.00224033938820234,0.00239533126668571,0.00225665125923232,0.0024699172229167,0.00242267933890338,0.002291528184229,0.00235217067472146,0.00215205780773295,0.00228322269429544,0.00225812935901848,0.00240495386741643,0.00223529236588376,0.00220878460152372,0.0024963297911758,0.00248379684776089,0.00235253073414504,0.00217760817580468,0.00211439079731212
212,"DMA","Dominica",0.00107012642201826,0.000969543021803497,0.00114649342921687,0.0010137970534257,0.000956081046333993,0.000858633302765175,0.000835446181898791,0.0010865794288476,0.000931376429305151,0.000863633368696994,0.000824411087362576,0.000784233639070081,0.000828646088634216,0.000994303534648416,0.000676167141691673,0.00061427798050424,0.000679571671475225,0.000649082784016268,0.000619327074440041,0.000630255418616606,0.000702546834817383,0.000704995889019648
214,"DOM","Dominican Republic",0.0065300573134727,0.00584713680188011,0.00559399661030829,0.00536671291417221,0.00501409925339602,0.00440036509811829,0.00409694053621651,0.0038292971638116,0.00356107774016053,0.00346714905345193,0.00334852169572815,0.0034209753352247,0.00329428909829842,0.00317334798789541,0.00287431859561234,0.00276608254788093,0.00285174989067186,0.00261253179812524,0.00262615311868417,0.00266987683561609,0.00271368000740006,0.00262772465762508
218,"ECU","Ecuador",0.00229417035183245,0.00214377762425763,0.00196318873702254,0.00188391946244474,0.00182260556289164,0.00175599233070277,0.00169307069684335,0.00157407464871845,0.00156799514016616,0.00155897186381848,0.00154796861084942,0.00151440509508538,0.00155002385991645,0.0015054734712814,0.00145042160446436,0.00142534734565483,0.00142185899213959,0.0014297630950169,0.00141386924824522,0.00147999037858394,0.00148969603838694,0.00149745206393034
818,"EGY","Egypt",0.0418730259292845,0.0426692761994026,0.0432060146920411,0.0438536403010445,0.0422011334502558,0.042079307560932,0.0416426631284429,0.0410289505202212,0.0399083727182028,0.0412245967986273,0.043561277039221,0.0465081479330589,0.0446684746047712,0.0459886146818416,0.047461541942986,0.0471438592860708,0.0488006093755392,0.0508082350110026,0.0518684423237491,0.0503710393493385,0.0532772019893899,0.0537227885242847
222,"SLV","El Salvador",0.0116809011660971,0.0114510780956713,0.0109225813390192,0.0102091153508553,0.01054042027917,0.00967390551797996,0.0106654626600009,0.0094954991841042,0.00992732274158036,0.0101155257782192,0.0098574089599289,0.00980814547165605,0.00974977852573732,0.00969129972920105,0.00899704070874151,0.00924594194061919,0.00974271348297556,0.00897564297686308,0.00899558634125161,0.00896637639695075,0.00949431260938101,0.00892013307307792
226,"GNQ","Equatorial Guinea",0.0015509618189399,0.00154770922140462,0.00165209169016738,0.00161422702132286,0.00162884745314803,0.00162180415734278,0.00165780102708807,0.00167431333620591,0.00165861128952314,0.00171651113621391,0.0017705003223239,0.00174360314288004,0.0018108071411877,0.00203161614509037,0.00171843743046979,0.00173339217709622,0.00175450219629716,0.00171845256156158,0.00175513998668415,0.00171722262930023,0.00176150495556165,0.00176315101165932
232,"ERI","Eritrea",0.00142230184139976,0.00155591809396942,0.00152877881734872,0.00143164986463079,0.00155769420993093,0.00167273441469142,0.0016491722071094,0.00173028772917823,0.00157099749543929,0.00161911267184393,0.00161058547054388,0.00163567768652928,0.00176874601939023,0.00163676282755684,0.00187069770597513,0.00175895103585884,0.00177905033525458,0.00203196354903744,0.00211012276089376,0.00198668192498089,0.0019069113051124,0.00178123381043942
233,"EST","Estonia",0.010767023144632,0.0111184643752674,0.010935920690559,0.0107365220563907,0.0099860682246681,0.00932684336217239,0.0096898031725974,0.00972194982597547,0.00892202541388688,0.00872978586395338,0.00944461264870495,0.00915581267668119,0.00798953612749755,0.00881352121357184,0.0080665677355532,0.00862483047702306,0.008135986744056,0.00735425960735223,0.00794498001859312,0.00819790558457455,0.00861953902956441,0.00821115296057189
748,"SWZ","Eswatini",0.00691876078633683,0.00777866566475189,0.00823565268166013,0.00854319528384136,0.00928283506504069,0.00879881388563846,0.00855987189248431,0.00881764410313611,0.00862390709272229,0.00833853719705725,0.008895645162442,0.00923009988346108,0.00881988171042484,0.00823684436582301,0.00777480334480485,0.00774114754934411,0.00834238691855591,0.00808079504692993,0.00841951847972411,0.00854813496802864,0.00927584436520057,0.00883434832159501
231,"ETH","Ethiopia",0.00114558190763499,0.00119311412490895,0.00129430321672102,0.00118904970102537,0.00130740615683689,0.00135336860968859,0.0013045782846585,0.00134750557051923,0.00134241840305679,0.00139231192320172,0.00138736935060862,0.00138306098426772,0.0014492354468837,0.0014342649432467,0.00139274332194585,0.0013503911227298,0.00136307855082614,0.00147442384511518,0.00152484243394885,0.0014616431655234,0.00142459324194835,0.00146475028029898
234,"FRO","Faeroe Islands",0.000623800916982733,0.000518124344389896,0.000454577373955192,0.000525553930407226,0.000411770165618395,0.000462938868316401,0.000509425027486107,0.000463139600743785,0.00045268496390873,0.000362303560338331,0.000407754091919873,0.000474251078126915,0.000391541689092809,0.0004057521619281,0.000375346245574209,0.00039865751981116,0.000354601441186205,0.000340351474487636,0.000323292823033787,0.000362782635822674,0.000325824004623677,0.000335283646901144
238,"FLK","Falkland Islands",0.000169260281543039,0.00019004690809898,0.000175530747433504,0.000180751709870357,0.000180048045635993,0.000179409555653735,0.00018642632337116,0.000186729879046214,0.000169670132575759,0.000197972534396796,0.000179958815661954,0.000180124142760504,0.000174541886173684,0.00017519638179959,0.000176634652662422,0.000186356147912617,0.000185493992524358,0.000179647671485211,0.000193958431637522,0.000233377522453982,0.000225777673344113,0.000175747918297116
242,"FJI","Fiji",0.00198642520042613,0.00198881309862087,0.00213186149950402,0.00199516967313907,0.00211323587126312,0.00213412387572421,0.00193333795413341,0.00211768087123662,0.00218042267863766,0.00194171141350231,0.00206139409106094,0.00198005454865446,0.00177080893298148,0.00206172785343655,0.00191283651833353,0.00188980795193583,0.00180911070446129,0.00184090136337297,0.00187453728626194,0.0019383037569701,0.00179411292943768,0.0018314418956374
246,"FIN","Finland",0.0029748371607477,0.00302951661102831,0.00296245313797231,0.00281824920015934,0.00248895874321662,0.00241581063322166,0.00231821433136678,0.00220488110159441,0.00205971603673582,0.00209469808161882,0.00195310833692915,0.00198555545044608,0.00178774723572939,0.00170125283482751,0.00150276059911546,0.0016575411816636,0.0015101906218757,0.00136535193523835,0.00139133419381603,0.00146949125561927,0.00147113960405567,0.00150398007949779
