"code","iso","country","NDR.raw.2005","NDR.raw.2006","NDR.raw.2007","NDR.raw.2008","NDR.raw.2009","NDR.raw.2010","NDR.raw.2011","NDR.raw.2012","NDR.raw.2013","NDR.raw.2014","NDR.raw.2015","NDR.raw.2016","NDR.raw.2017","NDR.raw.2018","NDR.raw.2019","NDR.raw.2020","NDR.raw.2021","NDR.raw.2022","NDR.raw.2023","NDR.raw.2024"
96,"BRN","Brunei Darussalam",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.094979032723176,0.248597240208146,0.163714374892879,0.0508152203472003,0.289557729175439,0.233333917412927,0.371952931558245,0.440863006136596,0.568641833201765,0.72394408273101,0.770248336847932
100,"BGR","Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191553004930591,0.5273146891398,0.777165661538898,0.834974881589934,0.832070520936809,0.788702544242192,0.773193330198207,0.750282995394594,0.663412935719113,0.420051024246718,0.265889569431074
854,"BFA","Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.991781212219026,0.992811832632303,0.995457020102052,0.996615027035509,0.996894152550572,0.997428799871079,0.565928341567131,0.604204072634268,0.606277851576002,0.492486516763917,0.345271460857118
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.988059339816611,0.988222112707052,0.988841676253797,0.972220900476695,0.974577363157476,0.91957125922699,0.854545305747248,0.848537391340697,0.822801402581204,0.850334655299296,0.869917500268795
132,"CPV","Cabo Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.492806288532317,0.674846612786024,0.886008203362387,0.600699453872474,-0.00980417090627489,-0.323129012186863,-0.189457912207828,-0.1576308326738,-0.199011368942535,-0.216959018124532,-0.0622379272599912
116,"KHM","Cambodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.158416370929279,-0.432414418904206,-0.280631828553566,0.0144821091537029,0.205809692248561,0.439807398659624,0.512720413375912,0.795528941519938,0.68077076775918,0.417073325944664,-0.332801757643821
120,"CMR","Cameroon",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.426740939418591,0.827748461749403,0.933747479025558,0.968511921443046,0.941253001010367,0.949223471041398,0.950250327102987,0.93638892640331,0.941016787290304,0.930141208489126,0.92405573902301
124,"CAN","Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.938375463549974,0.936408657911268,0.908070204868792,0.926971088441657,0.93145542558667,0.930308385540794,0.872871918828219,0.711622291825959,0.695961833663975,0.790221420928895,0.801526338998192
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0394101656977366,0.451545872171606,0.718506362322075,0.845756020131329,0.907990024183504,0.97589197212683,0.950648666425952,0.932054007254524,0.876880510324583,NA
140,"CAF","Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.197329437993641,0.175458094901161,-0.0296817467712659,-0.0391725217581376,-0.0605082874435773,0.130017979199103,0.217883562880851,-0.00766929095679326,0.270737366245902,-0.12622260626166,-0.422542674859131
148,"TCD","Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.977452711917622,0.979027038666966,0.926697001241694,0.847876768679309,0.810644074070928,0.838535260736752,0.842491535897609,0.853672569043883,0.869859329466095,0.898060930252839,0.932226113844867
152,"CHL","Chile",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00297828168471647,-0.177362354864575,-0.313588113856335,-0.177004868627854,0.247784726895477,0.273000347681139,-0.15431985434578,-0.250063005789884,-0.18479488786096,-0.296281650762667,-0.613085495201981
156,"CHN","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0986662900289185,-0.159522940429474,-0.250766843892601,-0.418462573300775,-0.523864017272108,-0.551619104338332,-0.762630253297728,-0.589309160386453,-0.169178599006548,0.485806180150617,0.70908395208689
