"code","iso","country","GHP.raw.2005","GHP.raw.2006","GHP.raw.2007","GHP.raw.2008","GHP.raw.2009","GHP.raw.2010","GHP.raw.2011","GHP.raw.2012","GHP.raw.2013","GHP.raw.2014","GHP.raw.2015","GHP.raw.2016","GHP.raw.2017","GHP.raw.2018","GHP.raw.2019","GHP.raw.2020","GHP.raw.2021","GHP.raw.2022","GHP.raw.2023","GHP.raw.2024"
36,"AUS","Australia",0.028518792569247,0.0285020761281071,0.0282173767733476,0.027654779484949,0.0272732487629098,0.0265889750301238,0.0268196705436762,0.0265616947051963,0.0256955067836703,0.0251617924282826,0.0251083196665753,0.0245777150342065,0.0249090516730429,0.0244729176283942,0.0240559273415084,0.0227314412008906,0.0224857497985677,0.0221162944761959,0.0222051475555057,0.0217677065810032
40,"AUT","Austria",0.0115362862343134,0.0111656218966975,0.0107851759798568,0.0106518722544239,0.00983524480390266,0.0104196601083187,0.01011282431551,0.00973302499803142,0.00972637513204831,0.00923191865701502,0.00938407467754736,0.00938515445931203,0.00957354946401555,0.0091580803293615,0.00925315788795713,0.00853396329127779,0.0088747845020468,0.0082666056361498,0.00765367490536916,0.00753931701521869
31,"AZE","Azerbaijan",0.00563048993746002,0.00571798657313312,0.00551950073036982,0.00588199777492761,0.00517061099617045,0.00497298366088503,0.00515705543046055,0.00539553136017726,0.00544165976866039,0.00548975808650994,0.00546792739480553,0.00539495128059631,0.00533203063185942,0.00529134965252795,0.00562210733398034,0.00543039476658559,0.00563220810918742,0.0059518462559504,0.00607066010949014,0.00577011695199367
44,"BHS","Bahamas",0.00635015621401957,0.00614527977818765,0.00613861651603442,0.00620227088544929,0.00675831989393523,0.00689704006489782,0.00650958616248939,0.00628935400231272,0.00610920400634205,0.00624090601343054,0.0066367789031192,0.00664272913855802,0.00732775111723684,0.00710590210409751,0.00726948420812564,0.00606615325212813,0.00778181072533048,0.00837212790078392,0.00832927018553332,0.00858739796435978
48,"BHR","Bahrain",0.0470199513321535,0.0425822091748712,0.0425087418921208,0.044129818779467,0.0406380462274525,0.0391357993941586,0.0398957958122664,0.0403746954695455,0.0442207368942446,0.0424504938105032,0.0418641389050726,0.0398420710967697,0.0383472378331882,0.0381438179180949,0.0425360264917167,0.0428893916280631,0.0410349214690664,0.0414730279261475,0.040787493540209,0.0407748695062829
50,"BGD","Bangladesh",0.000800638813306214,0.000828339727993248,0.000838111023455517,0.000860107619972508,0.000885051097609013,0.00092215807649478,0.000926657009229829,0.000949598574094719,0.00097864041431463,0.000999822613045984,0.00105199417868218,0.00107379228191553,0.00110744699166003,0.00110473278319267,0.00115151895499899,0.00116046031898445,0.00118549166367031,0.0011976375769544,0.00116661771521938,0.00117331683752815
52,"BRB","Barbados",0.00612417269082408,0.00619723770389981,0.00614097723991366,0.0070828939374218,0.00693360130063118,0.00640809924770395,0.00660367317006128,0.00630768448838092,0.0062292335676238,0.0055967954863678,0.00546330887162261,0.00558887533652197,0.00568085256276105,0.00584873905040051,0.00564389889757065,0.00512971615479432,0.00491298897898552,0.00536009935349206,0.00535343055113564,0.00552599442171742
112,"BLR","Belarus",0.00902837636190939,0.00937837105741678,0.00927715246226515,0.00991793399135146,0.00972925768487058,0.0100039882392991,0.00998669136461423,0.0101710992493209,0.0103617724614229,0.0102783758456752,0.00974083124043605,0.009580515685091,0.00978750809241005,0.0100959924234464,0.0101110748606427,0.00987024427640717,0.0101055064459264,0.0097897306460055,0.00967125007039467,0.00974570837687136
56,"BEL","Belgium",0.014353246576229,0.0140437217159038,0.0136763513343329,0.013574669223474,0.0122634743129283,0.0128515093559031,0.0118179068428851,0.0114717680424179,0.0114325515892495,0.0108577641314522,0.0111752893789529,0.0109828377107587,0.0108556339210774,0.0108851155313503,0.0107728789220761,0.00995730386853854,0.010213107615131,0.00951339126123654,0.00900031881531205,0.00896900072945857
84,"BLZ","Belize",0.00285088711528524,0.0030963758443499,0.00322274236623565,0.00305764753359271,0.00331035316670983,0.00332810062258503,0.00352159363859472,0.00303686669836778,0.00303635590450889,0.0029344650427914,0.00341858341302465,0.00333893510383934,0.00329036898513509,0.00321162581821169,0.00350263611379042,0.00317705006005568,0.00325907138953552,0.00330481669556514,0.00335803323434768,0.00342999395530745
204,"BEN","Benin",0.00091364219091124,0.00100720658834077,0.00106157968788354,0.00104392079207001,0.00106673001845519,0.00112785107494739,0.00109601115808265,0.00107388729232524,0.00110159391923963,0.00110083487775991,0.00113476903767628,0.00113008709082773,0.00113858381951708,0.00114828989169908,0.00111058844390728,0.00109924179479237,0.00112612409688572,0.00115837786158882,0.00115073803001017,0.00114993816736356
60,"BMU","Bermuda",0.00973364321543273,0.0108984505711994,0.0120484329111522,0.0106641894955645,0.00788109245604603,0.00994960617210502,0.00736146846021259,0.00616709163722883,0.00882885693051496,0.010942864474848,0.00897659499595635,0.010158499023465,0.0105308627304852,0.0113406377974637,0.00968174670834097,0.00716556288586267,0.00838790348382593,0.00859459351082653,0.00877164763182501,0.00909287358768053
