"code","iso","country","CDA.raw.1990","CDA.raw.1991","CDA.raw.1992","CDA.raw.1993","CDA.raw.1994","CDA.raw.1995","CDA.raw.1996","CDA.raw.1997","CDA.raw.1998","CDA.raw.1999","CDA.raw.2000","CDA.raw.2001","CDA.raw.2002","CDA.raw.2003","CDA.raw.2004","CDA.raw.2005","CDA.raw.2006","CDA.raw.2007","CDA.raw.2008","CDA.raw.2009","CDA.raw.2010","CDA.raw.2011","CDA.raw.2012","CDA.raw.2013","CDA.raw.2014","CDA.raw.2015","CDA.raw.2016","CDA.raw.2017","CDA.raw.2018","CDA.raw.2019","CDA.raw.2020","CDA.raw.2021","CDA.raw.2022","CDA.raw.2023","CDA.raw.2024"
36,"AUS","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0246796061414294,0.0267948657817754,0.0276206759985143,0.0273270295616272,0.0263330529790589,0.0250354113378586,0.0235100246295639,0.0215225797601462,0.019595798479396,0.018569367919202,0.0175282982283147,0.0153230603663499,0.0126521146053444,0.00954453445848613,0.00564316818089639,0.00216798466150103,4.28641459534546e-06,-0.00033298491578071,0.000541343019002216,0.00205887640750824,0.00373086214774232,0.0026430095703287,0.000164243944036135,-0.00227125476718604,-0.00520981459384318,-0.00826126918081449
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0092696302400177,0.00903846300301514,0.0150629003304095,0.0158024085487374,0.0188575597708229,0.0195463021013742,0.0214797454685378,0.0226303922917217,0.020062912322278,0.0154763829883655,0.00367315802737611,-0.00409135334392674,-0.0105500883181475,-0.017316437681954,-0.0180957342001057,-0.0199552685944767,-0.0165788001598202,-0.0123368778038603,-0.00696020431765831,-0.0037876468385446,-0.00412097087186114,-0.00466427482295734,-0.00232816168236937,-0.00631067194396262,-0.012315021462478,-0.0202894190093594
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0159260046495058,-0.0202905235945622,-0.029491634649051,-0.0485551828846609,-0.0270544726369795,-0.00594017225653976,0.00653643411117555,0.0150326727509025,0.0115364287738551,0.0174877589004105,0.00933798545959963,0.000263576531057513,-0.00582252089855351,-0.00788215993149388,-0.00600405308423191,-0.000278837176580837,0.00917463868932211,0.0192607986137503,0.0198215692614394,0.0248875053331921,0.025650693765553,0.0171712656351548,0.0146746599255572,0.0187791697911663,0.0237846511088349,0.023430684394764
44,"BHS","Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00228258428318271,0.0065725036822204,0.0135637044838108,0.0188716192051241,0.0194554036461687,0.018320411713425,0.013993833574522,0.00681028417759832,-0.00802402008935887,-0.00915437256615059,-0.00215979945686107,0.0026853215636539,0.00211684576917995,0.00338876940311401,0.00360726862704044,0.00476085937982361,0.00820884004146398,0.00908400693589805,0.0161684443729633,0.0160755648992619,0.0222494100764583,0.0174206316871863,0.0256587214008133,0.0333730995118906,0.0345106555517196,0.0352016031352642
48,"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0619017682931431,0.0608431351203942,0.0536194760614779,0.0347910372217595,0.0431287093419042,0.038538904078883,0.0390667848234709,0.0375659474084671,0.0420416430256627,0.0510658110306716,0.0511757637612085,0.051322306065624,0.0467019310029895,0.0361945167749482,0.0326614557985607,0.0244614003018242,0.0241495754583594,0.0175268926283614,0.0166840244932487,0.0198673459630847,0.0263365650134419,0.0313487324040782,0.0300415085406966,0.0248222416777999,0.0263518244062206,0.0249323845183649
50,"BGD","Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071980711461201,0.0715040112768541,0.0753313240178204,0.0742486292267741,0.0694178030174877,0.0655320806326571,0.0680576769406975,0.0704369841143417,0.0707674160547875,0.0669248051460984,0.0647044643844086,0.0632360498118181,0.0654142722201623,0.0663486012011278,0.0671888063944774,0.0670413308446887,0.0696844241685286,0.0738393589265951,0.0741781021931169,0.069714754389874,0.0679562282658128,0.0649637820618278,0.0583066772116243,0.0514658590599777,0.0448457142232683,0.0371794783095196
52,"BRB","Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0164574362782364,0.0226274949695715,0.0349434405305467,0.0453958493785602,0.0408926700511743,0.0332181018002276,0.0282219558029921,0.0224862070725236,0.0190730397980852,0.026030309151714,0.0316402623427685,0.029734509481933,0.0276027515965651,0.020727479259137,0.0134513127379638,-0.000253769880941574,-0.00671783883435619,-0.00819541897201387,-0.00444920016587642,-0.00399020012293148,-0.00479478132300289,-0.00614450255634422,-0.00476821336047789,-0.00420181454352452,-0.00203437153659784,-0.00160473167571075
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0105405642028373,-0.0235615322909601,-0.0431428099038616,-0.035431705257202,-0.0226476340572042,-0.0134502916399577,-0.00855808237460121,-0.000197813008753298,0.00659425530582958,0.0144778205233858,0.0173729964281442,0.0177699818179859,0.0144225124502371,0.0104472178843711,0.00761413875912176,0.00627927902803926,0.000694972415058892,-0.00199486353352595,-0.0053083395793183,-0.00233475288550013,-0.00205465749937682,-0.0019146608195602,-0.00231249663395356,-0.0031221052863891,-0.00531597701360857,-0.00656914399285813
56,"BEL","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00585403127815631,0.00440757005800241,0.00371024274493137,0.00261970506511178,0.00112421247889039,0.00101868550173667,-0.000215663777122344,-0.000343085895787798,-0.00433165062081986,-0.00483695547364138,-0.0131293624401712,-0.0152935232296821,-0.0211874512419622,-0.0258620652810537,-0.0271154780274202,-0.0285401066401301,-0.0259671054845544,-0.0225567763857227,-0.0186749406177151,-0.0120947292079518,-0.0107342281438727,-0.00926713881248531,-0.00859131217967879,-0.011919958064357,-0.0159372415243204,-0.0209126640348629
84,"BLZ","Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00110256561860389,-0.00350285113657833,0.0135081399786967,0.0185629846835089,0.0253085943058988,0.0242478384500069,0.0268031957195043,0.0175201451274578,0.0231262812791901,0.0180554333451977,0.0164155334072944,0.0214074436135456,0.0342857271201367,0.0311475994070629,0.0269089861168312,0.0182771381165103,0.0282624039829924,0.0353301930922163,0.0409792529202544,0.0355040973410989,0.0452956637270405,0.0440966743362463,0.0479743961712324,0.0385964752146228,0.0272060620587267,0.0161610776634915
