"code","iso","country","TBN.raw.1990","TBN.raw.1991","TBN.raw.1992","TBN.raw.1993","TBN.raw.1994","TBN.raw.1995","TBN.raw.1996","TBN.raw.1997","TBN.raw.1998","TBN.raw.1999","TBN.raw.2000","TBN.raw.2001","TBN.raw.2002","TBN.raw.2003","TBN.raw.2004","TBN.raw.2005","TBN.raw.2006","TBN.raw.2007","TBN.raw.2008","TBN.raw.2009","TBN.raw.2010","TBN.raw.2011","TBN.raw.2012","TBN.raw.2013","TBN.raw.2014","TBN.raw.2015","TBN.raw.2016","TBN.raw.2017","TBN.raw.2018","TBN.raw.2019","TBN.raw.2020","TBN.raw.2021","TBN.raw.2022","TBN.raw.2023","TBN.raw.2024","TBN.raw.2025"
72,"BWA","Botswana",17.88727000411,17.8872700041085,18.7378919677257,18.9039520982464,18.9039520982464,18.9039520982464,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974,24.6770389251974
76,"BRA","Brazil",6.53242008280252,6.91286726483002,7.20857485171144,7.30357827204228,8.31802633138783,8.82684963991896,9.26083916459247,10.2950504559087,11.5680198957853,12.4019538616896,13.8614602081182,15.1356175870469,17.6071002052306,18.2761617081093,19.371842874582,20.6518999471284,22.484041929562,22.4996128796779,22.544373108399,22.593540020302,22.7052691564534,22.7139539033769,22.7179232362719,22.7246901097237,22.7316341118581,22.8329085952976,22.8343975128181,22.8523469615716,22.9749405162998,22.979223609817,22.9867878121153,22.9885763388496,23.0136502152618,23.0218363736234,23.0229485113687,23.0229485113687
92,"VGB","British Virgin Islands",1.64764584396208,1.64764584396208,1.64764584396208,1.64764584396208,1.64764584396208,2.13680261772546,2.13680261772546,2.13680261772546,2.26548644920404,9.51762865912921,9.51762865912921,9.51762865912921,9.51762865912921,9.58959835460409,9.58959835460409,9.58959835460409,9.58959835460409,9.58959835460409,9.61345159646512,9.61345159646512,9.61345159646512,9.61345159646512,9.61345159646512,9.61345159646512,9.61345159646512,9.61345159646512,9.61345159646512,9.61345159646512,9.61345159646512,9.61345159646512,9.61345159646512,9.61345159646512,9.61345159646512,9.61345159646512,9.61345159646512,9.61345159646512
96,"BRN","Brunei Darussalam",29.1086017553642,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
100,"BGR","Bulgaria",2.48519675299486,2.95935001902342,3.82765979178409,3.82784660431469,3.83836420168784,4.77752096957849,4.77783126677458,4.78121987498526,4.78121987498526,4.7826913649944,4.98124659422624,5.07530664060622,18.0323826150246,18.0514543100738,18.0570923422683,18.0697622719173,18.0788696605625,29.9587486762882,29.9587486762883,29.9587486762884,29.9587486762884,29.9587486762883,29.9587486762883,29.9587486762883,29.9587486762884,29.9587486762883,29.9587486762883,29.9587486762884,29.9607697045997,29.9607697045997,29.9730430378502,29.9813517628854,29.9813517628854,29.9813517628855,29.9813517628854,29.9813517628854
854,"BFA","Burkina Faso",12.8817764328456,12.8817764328456,12.8817764328456,12.8817764328456,12.8817764328456,12.8817764328456,12.8817764328456,12.8817764328456,12.8817764328456,12.8817764328456,13.2390142344654,13.6786325523419,13.6923015752414,13.6923015752414,13.6923015752414,13.6923015752414,13.6923015752414,13.6923015752414,13.7153953235559,16.228685255828,16.228685255828,16.228685255828,16.228685255828,16.228685255828,16.228685255828,16.2303248333957,16.3167115341017,16.3419228710381,16.3419228710381,16.3441639419237,16.5923573963424,16.5923573963424,16.5923573963424,16.5923573963424,16.5923573963424,16.5923573963424
108,"BDI","Burundi",5.63257103883893,5.63257103883893,5.63257103883893,5.66886976034907,5.66886976034907,5.66886976034907,5.66886976034907,5.66886976034907,5.66886976034907,5.66886976034907,5.96651187175546,5.96651187175546,6.10141983908415,6.10141983908415,6.10141983908415,6.10141983908415,6.10141983908415,6.10141983908415,6.10141983908415,6.10141983908415,6.10141983908415,6.10789679757998,6.10789679757998,7.93080606174601,7.93080606174601,7.93080606174601,7.93080606174601,7.93080606174601,7.93080606174601,7.93080606174601,7.93080606174601,7.93080606174601,7.93080606174601,7.93080606174601,7.93080606174601,7.93080606174601
132,"CPV","Cabo Verde",0,0,0,0,0,0,0,0,0,0,0,0,0,14.6189648958057,14.6189648958057,14.9138779309709,14.9138779309709,14.9138779309709,14.9138779309709,14.9138779309709,14.9138779309709,14.9138779309709,14.9138779309709,14.9139847976128,14.9139847976128,14.9139847976128,14.9139847976128,14.9139847976128,14.9139847976128,14.9139847976128,14.9139847976128,14.9139847976128,14.9139847976128,14.9139847976128,14.9139847976128,14.9139847976128
116,"KHM","Cambodia",0,0,0,13.7418943944314,13.7418943944314,13.7418943944314,13.8240763410569,13.8240763410569,13.8240763410569,13.9044118509574,13.9044118509574,13.9394845591111,13.9394845591111,13.9394845591111,13.9394845591111,13.9394845591111,13.9394845591111,13.9394845591111,13.9394845591111,13.9394845591111,13.9394845591111,13.9394845591111,13.9394845591111,13.9394845591111,13.9394845591111,14.0571955107888,25.9788549399617,30,30,30,30,30,30,30,30,30
120,"CMR","Cameroon",2.23161489439079,2.23161489439079,2.23161489439079,2.23161489439079,2.23241035372962,2.23241035372962,2.37610190118553,2.37610190118553,2.37610190118553,2.37610190118553,3.86276835315943,4.32901609756036,4.32901609756036,4.32901609756036,4.70246311294601,5.89174262981964,5.89262861322851,7.11811667813101,7.36226751343638,7.4881671959059,7.87000223946105,7.87000223946105,9.09647597169719,9.09647597169719,9.45320627395033,9.66630625071895,9.66630625071895,9.66630625071895,9.91943969765546,9.91943969765546,9.91943969765546,9.91943969765546,9.91943969765546,9.91943969765546,9.91943969765546,9.91943969765546
124,"CAN","Canada",4.57481891282699,4.58029295083886,4.73631186069224,4.86905108830289,4.90298096847621,5.22334934861179,5.41245052799991,5.49821381509289,5.77971234262974,6.01007516942994,6.09756639227291,6.33775903578807,6.37532755009833,6.90436665465784,7.02184654098945,7.25679067150023,7.32623401870698,7.35864498118856,7.6242222615871,7.89950141216628,7.97796923272861,8.21379179361234,8.6460809545687,9.00626889793771,9.03442068997408,9.40893387482166,9.49808957810941,9.53262004236178,10.57184464559,11.3621460596377,11.4146729987173,11.6287101819122,11.6949146473351,11.8221259807408,12.0233854319296,12.0233854319296
136,"CYM","Cayman Islands",5.86339168456629,6.27625626354983,7.52393835690676,7.52393835690676,7.52721499580053,7.72315223097259,7.72315223097259,8.71575037468325,8.71575037468325,8.71575037468325,8.71575037468325,8.71575037468325,8.71575037468325,8.71575037468325,8.75398236264993,8.75398236264993,8.75398236264993,8.75398236264993,8.75398236264993,8.75398236264993,9.0668796764411,9.06827476076606,9.07198476911347,9.19074396794553,9.20618610412945,9.20618610412945,9.20618610412945,9.20618610412945,9.20618610412945,9.20618610412945,9.20618610412945,9.20618610412945,9.20618610412945,9.20618610412945,9.20618610412945,9.20618610412945
140,"CAF","Central African Republic",11.3254866125548,11.3254866125548,11.755307916126,11.755307916126,11.755307916126,11.755307916126,11.755307916126,11.755307916126,11.7553231945918,11.7553231945918,11.7553231945918,11.7553231945918,11.7553231945918,11.7553231945918,11.7553231945918,11.9176075684003,11.9176075684003,11.9176075684003,11.9176075684003,11.9259829909565,11.9259829909565,11.9259829909565,11.925982990954,11.925982990954,11.925982990954,11.925982990954,11.925982990954,11.925982990954,11.925982990954,11.925982990954,11.925982990954,11.925982990954,11.925982990954,11.925982990954,11.925982990954,11.925982990954
148,"TCD","Chad",11.3868485126711,11.3868485126711,11.3868485126711,11.3868485126711,11.3868485126711,11.3868485126711,11.3868485126711,11.3868485126711,11.3868485126711,11.3868485126711,11.3868485126711,11.9655768451967,11.9655768451967,11.9655768451967,12.5877392838,14.8830973486618,16.9342469955848,16.9342469955848,18.0584068702748,18.0584068702748,18.1173870090273,18.1173870090273,18.1173870090273,18.1173870090273,18.1173870090273,18.1173870090273,18.1173870090273,18.1173870090273,18.1173870090273,18.1173870090273,18.1173870090273,18.1173870090273,18.1173870090273,18.1173870090273,18.445398028464,18.445398028464
152,"CHL","Chile",12.52949873151,12.52949873151,12.5325982958598,12.532655001085,12.6789462405303,13.0447568720176,13.2364504688393,13.2364504688403,13.2626999121184,13.2690732517492,13.3257432549011,13.3257432549011,13.3257432549011,13.3259811273462,13.3477409374082,14.2806901057517,14.2852553977908,14.2863385482101,14.3057231916874,14.3674150608365,14.4524887607861,14.4551451243963,14.4551451243963,14.4573689685202,14.6121350453063,14.6649982511635,14.6678794626407,14.6697742867834,15.3808740675434,16.4006378688151,16.4114599685501,16.4150232728164,16.4832370855829,16.8371098955264,16.8381869795981,16.8381869795981
156,"CHN","China",0.0955822648595015,0.0955822648595015,0.150250105665431,0.150250105665431,0.150250105665431,0.150250105665431,0.150762720760935,0.152662607147259,0.152662607147259,0.172157819405681,0.172157819405681,0.172157819405681,0.340683367892572,0.340683367892572,0.377474084205392,0.377474084205392,0.377474084205392,0.377474084205392,0.402650298284272,0.40268507768717,0.40268507768717,0.458710563854587,0.458710563854587,0.484048113287994,0.484048113287994,0.492044668619797,0.492044668619797,0.492044668619797,0.796218681167911,0.796218681167911,0.83646135960161,0.83646135960161,0.86843091321452,0.86843091321452,0.86843091321452,0.86843091321452
170,"COL","Colombia",13.6458954157262,13.6486720051973,13.652909631237,13.6739017672787,13.6739017672787,13.6739017672781,13.6785494240416,13.682740316889,14.0801565948221,14.0938725067118,14.1237003209053,14.1248094547688,15.0522384035168,15.0533536187506,15.0540928192352,15.5331156744264,15.6709234515098,16.1055971470139,16.4515625219201,17.825903607805,18.1719961997399,18.2595463598118,18.2893505763937,18.4252509984977,18.9068315865969,21.3345421282897,21.4975311648981,21.9145828248187,23.7016980393097,25.0959385985936,25.2623740269912,25.4572762970412,25.5730171094263,25.6538630810899,25.7556057967401,25.7556057967401
174,"COM","Comoros",0,0,0,0,0,0.697417008043913,0.697417008043913,0.697417008043913,0.697417008043913,0.697417008043913,0.697417008043913,0.697417008043913,0.697417008043913,0.697417008043913,0.697417008043913,0.697417008043913,10.1981864146327,10.1981864146327,10.1981864146327,10.1981864146327,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
184,"COK","Cook Islands",0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971,0.887239035004971
188,"CRI","Costa Rica",18.8676693557517,20.2998983170932,20.5791275852945,20.584550698319,21.4386155458079,21.675745194889,21.8623022688549,21.8707409795251,22.0084879406084,22.04438988436,23.870240608639,23.9223713334845,23.9778912683331,24.0930586320697,24.2014237781695,24.2028920578772,24.2063825641297,24.2084719301263,24.2084719301263,24.2322968721833,25.2458130353589,25.2483488935424,25.2496485943969,25.2731248369278,25.2912696379457,25.2912696379457,25.2912696379457,25.2912696379457,25.2912696398626,25.3739730654363,25.373973065435,25.4409599165736,25.440959916574,25.4427585909772,25.4427585909772,25.4427585909772
