"code","iso","country","GVA.raw.2005","GVA.raw.2006","GVA.raw.2007","GVA.raw.2008","GVA.raw.2009","GVA.raw.2010","GVA.raw.2011","GVA.raw.2012","GVA.raw.2013","GVA.raw.2014","GVA.raw.2015","GVA.raw.2016","GVA.raw.2017","GVA.raw.2018","GVA.raw.2019","GVA.raw.2020","GVA.raw.2021","GVA.raw.2022","GVA.raw.2023"
854,"BFA","Burkina Faso",26.7709190270281,25.2289761645165,21.8394874058463,27.314280245881,23.2048471286094,24.1433866229434,23.043650452489,23.7560050181575,23.6410927919708,23.6937727725999,22.6464984902029,21.7147178290213,20.5855872188282,20.9974732840091,18.2205245524421,17.9151635677562,17.2902157538449,20.6297606481805,19.00655933992
108,"BDI","Burundi",40.8481233922949,40.6376822658218,34.9341719197591,38.0048233017065,36.8532403738342,38.4305452876335,36.7043515146528,35.5104159871754,38.3671182602277,34.9578238431604,35.2477391830275,35.5553158342758,37.4034350043265,35.3539025487206,34.2483545998177,30.5448278523738,33.162974332658,34.6837209386611,33.4272042033939
132,"CPV","Cabo Verde",9.00118732269349,8.3187121345924,6.09468707137093,5.31578241870627,6.02632246585572,5.82909277007133,5.39925327001121,5.79088758494564,5.82359125603063,5.73506923863287,6.4082863760272,6.31352277353712,5.37533502619645,4.52276867410321,4.437360866953,6.19132745485182,5.97147405923183,4.95404868851136,4.85483833304009
116,"KHM","Cambodia",27.4457888917427,26.2857429362019,25.4656283422573,28.0340869915092,28.0893239418879,27.8742916555508,28.0358544598065,26.7953499375283,24.447155140413,22.1938152404445,20.1408488554582,18.9079815555917,17.8681771583586,16.4979479082228,15.4385065177157,17.0396522911435,16.9044143710096,16.5440859884848,17.0784472455351
120,"CMR","Cameroon",16.734176851979,15.6250817945247,15.8575319059376,16.0011918854665,16.3871903453991,17.2697108767217,16.6973907363193,16.6572401682217,16.7236611922507,16.8258381780095,17.2094159041593,17.1926623891151,16.6929418227731,16.4988006978593,16.8022835644401,17.4968650540914,16.9592035415957,16.5461644132745,17.0996372773511
124,"CAN","Canada",1.88031145780062,1.70101845949482,1.58716073171659,1.76827354801333,1.5498932753953,1.49323608111661,1.76566446625627,1.81134574390941,1.89423151227836,1.58654807741954,1.86983594598587,1.86222589313529,1.88999463244888,1.69989157622406,1.69707935336103,1.83978931118122,1.59798786504057,NA,NA
136,"CYM","Cayman Islands",NA,0.233902314810638,0.249992681417999,0.262355093309578,0.314234469058315,0.312849105478957,0.329023791194155,0.330633489890753,0.34097532455926,0.357975839277623,0.378695338763108,0.39945773256778,0.418316555239566,0.408587438369759,0.414317120759666,0.435397889334994,0.454181072913047,0.46893990167683,0.415554016813388
140,"CAF","Central African Republic",NA,NA,NA,NA,38.3338681608926,37.3635795959409,37.5690227836114,36.8141664735428,32.2589062460725,33.9856217226143,31.5273810283745,31.9189914897237,32.7901712257048,31.2413315121572,28.3418324649438,29.4959372264099,35.7553299980455,36.2171100024119,28.6110555239693
148,"TCD","Chad",29.2819873014385,32.1335493075332,29.351416386452,29.0575437948301,33.1566904523959,33.2509512944262,27.1563338879622,27.0843972280265,31.7128603274934,31.1688076695246,33.6210255108379,39.3716151096934,38.4300853118306,37.6181441617191,37.5903652533914,40.687470063118,37.4420946884713,35.2279823985979,35.2160714364369
152,"CHL","Chile",3.92221193789503,3.71204514365714,3.55057108879902,3.42443226132978,3.69712695588486,3.47828463189786,3.62618323583881,3.27493353961752,3.47337532789926,3.94662062999462,3.7094042753649,4.19908937129196,4.28097161377037,3.92743592461123,3.987812171379,4.04542684409947,3.50586436813615,3.23467925849162,3.49022733362425
