"code","iso","country","UWD.raw.1990","UWD.raw.1991","UWD.raw.1992","UWD.raw.1993","UWD.raw.1994","UWD.raw.1995","UWD.raw.1996","UWD.raw.1997","UWD.raw.1998","UWD.raw.1999","UWD.raw.2000","UWD.raw.2001","UWD.raw.2002","UWD.raw.2003","UWD.raw.2004","UWD.raw.2005","UWD.raw.2006","UWD.raw.2007","UWD.raw.2008","UWD.raw.2009","UWD.raw.2010","UWD.raw.2011","UWD.raw.2012","UWD.raw.2013","UWD.raw.2014","UWD.raw.2015","UWD.raw.2016","UWD.raw.2017","UWD.raw.2018","UWD.raw.2019","UWD.raw.2020","UWD.raw.2021","UWD.raw.2022","UWD.raw.2023"
586,"PAK","Pakistan",4514.02789141279,4337.18346227383,4165.65573558589,3990.2278407415,3770.80039401284,3557.47408274809,3323.10853957668,3110.55301829405,2914.40076664703,2715.81180699608,2553.48464513849,2418.07911377176,2383.46400323467,2364.77123042102,2362.04800533343,2369.13750330865,2281.50265906682,2243.76108438508,2273.63550143257,2254.3113445082,2168.1756530619,2063.33086514124,1949.07698241196,1858.3158603738,1765.48683105359,1673.80126618121,1573.95942727787,1465.84948816354,1334.3906783915,1220.09225890479,1108.52680354185,1010.04344365201,916.54185394595,844.01530675977
585,"PLW","Palau",904.04086251368,866.24424483592,833.97236086464,811.76019358735,781.57096090432,757.28794817889,734.06895325729,702.73490590788,688.03870809816,677.91373371981,664.46323863996,652.65062744375,641.25567802028,631.142072908,626.76995006801,619.6691839392,606.64235082112,591.55285188628,556.61936497557,529.4276993058,501.23979530362,477.31174579882,459.31641239175,455.21302912594,445.34407672291,438.62185192564,440.37555710274,432.94373534305,429.09598371947,396.24639935856,391.06218068458,378.74853234106,366.93699059953,359.09461321057
591,"PAN","Panama",490.53367701141,449.28585055723,407.71597399533,352.47524448578,325.6897976412,314.37976835158,303.39114467319,291.34105066845,292.28938958353,261.28689723165,251.65461213551,244.47649314561,231.49190424314,232.25888571784,230.31587709387,231.56881055604,206.64797739812,210.08653979534,194.28067476832,206.01123715547,188.81375762074,174.31453913448,167.03392598118,165.1531099743,161.49977748874,147.50343853951,158.52685430535,154.5533860347,141.51775218208,128.60300000703,125.67016550331,123.84170092516,118.95682980558,110.59076118496
598,"PNG","Papua New Guinea",2172.48745689391,2100.02592815514,2012.92958797707,1915.26555111873,1812.33092185584,1728.34544976556,1662.19558178973,1582.41433232025,1557.97513715121,1521.31991699968,1471.15394083252,1415.76383976666,1368.71581414924,1299.86017901591,1263.37228983352,1261.22361272133,1249.42907962862,1224.91692771403,1188.74661520681,1231.81379387092,1204.68031979099,1135.60372164753,1113.28241967441,1071.69557934457,1033.64263677798,1013.64302584144,983.25692850464,947.38664714737,906.65140512576,888.40772906835,906.69389497472,955.84969088081,875.81193851515,823.55114550362
600,"PRY","Paraguay",810.1938277851,741.45567581359,708.38208553503,655.81661472742,607.15313834924,562.53034611596,524.25608124164,480.69026370685,446.70317085405,415.01803772743,385.73372354788,356.52853836943,332.62053302793,305.8471771157,281.95834725539,261.4553257999,239.27701247146,216.88640727298,195.0009068379,180.67606596212,162.05643436179,143.72862459323,129.25880126323,117.39015401155,105.35284275253,97.57051659028,92.7307403609,85.7074657608,80.41303808989,76.1068168133,74.27411359422,72.67417413138,70.4748132266,66.7367338948
604,"PER","Peru",1039.70323054022,1212.46205066588,964.84573789133,880.4221528846,746.13259491215,663.59984918986,567.44403587539,498.55065562627,434.89058522696,371.48008592641,324.21653758949,286.55540104088,259.39628439398,237.43399835836,217.56742325371,199.18648553852,181.53781246123,163.64724864374,149.3068984814,138.30072743089,127.61587386191,118.40455720552,110.96649609726,104.96015970874,99.17602187693,93.78386336189,89.32517165271,85.61548194242,81.49387155436,76.10989976248,70.16196630833,67.42556932277,65.48036824548,79.85561526727
608,"PHL","Philippines",1615.80226880193,1462.15506756983,1385.45395635126,1294.45239515402,1165.25236412837,1062.74340621459,980.1437954521,888.32854309142,818.06801583869,800.10496836037,773.64596155818,736.2464923103,690.66709844171,643.51707385609,591.69023387738,589.29279139626,567.71098678124,535.25686025192,516.95232028749,508.88372858285,492.50398348371,477.33250111854,464.13494155835,437.0073228029,425.61904767657,419.18390832899,421.26556205315,410.35262718087,386.78099044628,357.51593235994,363.52396746615,379.59095937919,360.82530370522,320.66062662572
616,"POL","Poland",15.43761704447,13.10844441563,12.17367139295,10.18991833287,9.02179505616,8.64713925042,8.42076045042,7.35894100092,6.14129614927,5.42035366623,4.90410494612,4.62729951717,4.18248086402,3.64212473739,3.2982040899,3.34111667273,3.24539114836,3.7915356227,3.95803741557,4.45690868844,5.23390205616,5.44666529786,5.97991841691,7.21108820469,8.16071865076,9.18963870476,10.18152783424,12.21616565451,12.73015315833,12.45133571616,11.81279991132,13.65968747946,15.64061084814,14.47468531985
620,"PRT","Portugal",15.34035982481,13.04025619063,11.90285207722,11.42101075328,9.09711622268,7.68872050545,7.33470766093,6.54453470924,5.89395361974,5.06598473899,4.46479126382,4.13982615671,3.84086072645,3.79228981715,3.61034785181,3.56186366634,3.53017866977,3.53955718264,3.32747751273,3.11113114945,2.85328725556,2.5593327647,2.51512977803,2.53384621159,2.46403105988,2.40883167509,2.35304849362,2.30145063674,2.23489699967,2.20239978669,2.1116089563,2.01838171966,2.00145218866,2.13189567205
634,"QAT","Qatar",57.88722772131,54.41073929324,52.29582435629,49.71609762381,45.69562412512,41.80029919244,40.91374098937,40.17898219844,38.42447569804,36.60932982776,35.22874214904,34.26571607195,32.98437634701,31.75184407915,30.56469428797,29.50184690993,28.70471424396,28.17023970767,27.50117474885,26.54633992365,25.42629990269,24.18139222082,22.99623329362,21.76561307025,20.9539329532,20.2174802683,19.87942533681,19.62290719445,19.32756274844,19.16326383115,19.02267577068,19.19380331271,19.36475939111,19.17782250176
