"code","iso","country","GDP.raw.1990","GDP.raw.1991","GDP.raw.1992","GDP.raw.1993","GDP.raw.1994","GDP.raw.1995","GDP.raw.1996","GDP.raw.1997","GDP.raw.1998","GDP.raw.1999","GDP.raw.2000","GDP.raw.2001","GDP.raw.2002","GDP.raw.2003","GDP.raw.2004","GDP.raw.2005","GDP.raw.2006","GDP.raw.2007","GDP.raw.2008","GDP.raw.2009","GDP.raw.2010","GDP.raw.2011","GDP.raw.2012","GDP.raw.2013","GDP.raw.2014","GDP.raw.2015","GDP.raw.2016","GDP.raw.2017","GDP.raw.2018","GDP.raw.2019","GDP.raw.2020","GDP.raw.2021","GDP.raw.2022","GDP.raw.2023","GDP.raw.2024"
688,"SRB","Serbia",NA,NA,NA,NA,NA,72047357588.3685,76489050193.4953,83321980328.492,87773573531.0182,78710508289.7309,83476500192.7195,89134973785.65,94965333425.8138,99295458217.8878,105935214804.953,112189096216.522,116565218648.946,125694688437.607,132181657156.844,128027702183.999,130090193661.205,130160796840.3,129582940080.688,130168109173.416,127819524487.478,129475731449.586,133327890914.874,136478966455.327,142824351766.595,149608805463.023,148187485917.202,159966992905.688,164291663855.165,170449205399.559,177181823265.525
690,"SYC","Seychelles",1075888256.27019,1105587358.22452,1184891625.3785,1271428653.97734,1240449419.9454,1246466054.86781,1371087057.34599,1538272501.21873,1576228466.60951,1605735544.03299,1674030661.68622,1636010698.60561,1655852774.64824,1558370594.23847,1513949957.66088,1650292683.67165,1805521335.06998,1965780608.6428,1912194485.63125,1864783995.48965,1948794976.80544,2134121157.07031,2200506804.93759,2228095328.10173,2318638255.5212,2525321875.39859,2831328441.68385,3028223613.59189,3177801892.96287,3353035170.8655,2959393508.28619,2975737695.0276,3353967909.01052,3429742537.08762,3548606461.02571
694,"SLE","Sierra Leone",11346540769.3171,11613407020.4122,9405360421.41452,9534641800.66343,9348965613.22947,8601071481.61845,8751918847.34105,8237561501.12792,8384602992.92535,8218647660.99457,8765412122.87674,8209206785.54503,10386627881.3085,11371657370.8397,12108409526.3727,12635549111.7339,13176743657.9679,13670839663.6831,14174754975.085,14391742583.4471,15306433667.587,16546355080.4479,18296683399.0594,20979585331.9007,19340027565.1401,18496157833.492,19686836254.0756,20318362572.2206,20906346810.405,22056762316.0564,21780314099.0165,23064667140.0586,24290220825.1271,25677197753.3583,26779577207.271
702,"SGP","Singapore",138851072264.06,148137983965.055,157974058074.906,176077333603.748,195614327485.792,209650440132.87,225314243954.949,244051847639.663,238704635035.182,252354653467.943,275163265310.625,272216644397.966,282896685425.575,295763549271.64,325162394855.859,349114905160.14,380558868013.851,414891060548.988,422622486817.018,423163246585.281,484605490857.98,514723403092.175,537553947250.979,563451312808.197,585626166165.556,603059081876.328,625659194298.221,653669325502.578,676233833515.183,685079250541.009,658945471706.12,723237492898.215,752948090690.158,766662339477.273,800303664054.59
534,"SXM","Sint Maarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1707402664.34984,1762039424.83535,1843093298.53652,1868722332.27754,1893141506.94385,1923060378.63178,1925095229.39475,1943725499.47426,1797261623.53916,1674023699.68631,1857580414.01304,1610210354.93476,1683919292.28275,1917984073.91005,1990867468.71863,2050593492.7802
703,"SVK","Slovakia",92885438222.1815,79348497743.8815,74015097522.1558,75422367852.6683,80102725907.919,84783524130.1192,89971918686.4409,94907634357.3735,98538902697.2018,98072556294.3496,98846568914.7516,101737989973.593,106232014878.946,111391383568.997,117394820593.515,125007795142.016,136165599721.625,150896851472.16,158990018818.125,150237081039.457,160439052608.015,164550182572.079,167132256394.83,168307736905.758,172865428816.309,181814463067.023,185355878660.222,190684365780.378,198430193194.41,202946264175.835,197699063315.057,208880643198.039,210018189702.051,214455110281.819,218612696723.355
705,"SVN","Slovenia",50643486540.5717,46136161578.879,43615421143.9514,44855590452.4983,47245265638.6221,49185703513.9611,50618786903.2975,53236455603.8094,54867527949.7287,57757953165.1917,59778279826.0485,61469218937.7849,63486997507.7222,65515426868.4896,68493772681.3549,71133610154.8893,75336739609.8158,80715203698.0143,83437113002.5377,77103747066.9639,77961246515.3441,78472234250.3658,76184346582.2799,75556757901.1626,77644265151.0229,79502530173.2169,81914966768.1452,86153576574.5186,89926313607.9605,93078458704.6916,89276202782.8911,96790459870.841,99373318669.6156,101734262434.702,103495686631.162
90,"SLB","Solomon Islands",779667432.269328,826447490.339767,931406307.13554,968662555.08858,1047124233.9287,1152764570.5373,1171323015.36784,1160616218.88471,1175605719.51981,1169895441.29998,1002869473.92835,923075100.189104,897229155.371345,955759601.895476,1029196738.7339,1104936141.62258,1150650249.11691,1192530868.91202,1266776724.15414,1303068143.03703,1429572244.26505,1535792857.54814,1573664255.85698,1656084087.95035,1675782464.51987,1703864994.46685,1798513731.92895,1853826334.02878,1904729669.80876,1938048200.12585,1872517765.92696,1868248888.06751,1819964301.62021,1871671644.2971,1927776122.51779
706,"SOM","Somalia",NA,5704936549.24014,5220683080.54068,5429019472.59351,4460102937.99399,4638087646.1109,5011268876.15262,5070426496.63521,5404389795.76479,5799899011.20185,6212290060.63816,6654003409.88714,7161721655.7644,7708180160.90904,8256255998.02929,8843301749.83646,9416911086.33906,10047312254.9766,10719914696.4053,11437543512.304,12203212926.6565,13020138946.2043,13891752868.4567,15414191548.3736,16798078575.9074,18555525157.655,19860882712.835,22787541794.6534,23255669700.4148,23906905922.5063,23245985890.4208,24047321167.4183,24700978342.0083,25732304106.3615,26790260348.198
710,"ZAF","South Africa",440514077745.286,436028565317.32,426710491662.883,431974212807.832,445797387630.52,459617106649.492,479380642222.863,491844538927.673,494303761623.99,506167051890.428,527426068073.259,541666571912.244,561710263094.67,578275522662.262,604613427770.691,636519192589.613,672188496216.463,708220986149.727,730820628629.955,719579955942.789,741453264470.679,764946628434.862,783276527270.763,802744614772.334,814094030479.901,824855232040.714,830336826521.729,839951686494.254,853027918674.021,855245241715.343,802485866495.244,841475835218.983,858794557506.174,865717339517.612,870347572712.603
